Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.haberwater.com/,$44.00,10/12/2024,Pune,Robotics,Series C,https://entrackr.com/news/b2b-robotics-maker-haber-raises-44-mn-in-series-c-round-8427155
https://www.mintifi.com/,$180.00,10/12/2024,Mumbai,Supply Chain Financing,Series E,https://entrackr.com/news/mintifi-raises-180-mn-funding-at-850-mn-valuation-8425668
http://www.kreedology.com/,$1.18,10/12/2024,Bengaluru,Edtech,Debt,https://entrackr.com/snippets/kreedo-secures-rs-10-cr-debt-funding-from-recur-club-8415920
https://www.culture-circle.com/,$2.00,11/12/2024,Gurugram,E-Commerce - Sneakers,Seed,https://inc42.com/buzz/exclusive-sneakers-focussed-marketplace-culture-circle-bags-2-mn/
https://www.netrasemi.com/,$1.20,10/12/2024,Thiruvananthapuram,Semiconductor,Pre-Series A,https://inc42.com/buzz/semicon-startup-netrasemi-bags-inr-10-cr-to-build-edge-ai-for-iot-products/
https://www.avantifinance.in/,$14.20,11/12/2024,Bengaluru,Fintech NBFC,Series B,https://inc42.com/buzz/nbfc-avanti-finance-nets-14-2-mn-to-expand-loan-book/
https://www.legitquest.com/,$0.60,11/12/2024,Delhi,Legal-Tech,,https://economictimes.indiatimes.com/tech/funding/legitquest-raises-660000-in-ongoing-round-from-existing-investors-infoedge-waterbridge-ventures/articleshow/116222381.cms
https://varthana.com/,$15.00,09/12/2024,Bengaluru,Fintech - NBFC,Debt,https://entrackr.com/snippets/nbfc-varthana-secures-15-mn-from-blueorchard-microfinance-fund-8326106
https://sustainiam.com/,$1.45,10/12/2024,Bengaluru,Climate Tech,Pre-Series A,https://inc42.com/buzz/climate-tech-startup-sustainiam-bags-funding-from-orios/
https://www.pixxel.space/,$24.00,09/12/2024,Bengaluru,Spacetech,Series B,https://entrackr.com/news/google-backed-spacetech-startup-pixxel-raises-24-mn-more-in-series-b-8342822
https://savesage.club/,$0.29,09/12/2024,Gurugram,Fintech - Loyalty Management,Angel,https://entrackr.com/snippets/savesage-club-raises-angel-round-8331798
http://www.dcdc.co.in/,$10.00,09/12/2024,Delhi,Healthcare,Debt,https://entrackr.com/snippets/dcdc-health-services-raises-nearly-10-mn-from-bii-8326289
https://www.ev91riderz.com/,$0.59,13/12/2024,Bengaluru,EV,Seed,https://entrackr.com/snippets/ev-startup-voice-raises-seed-funding-round-8437948
https://www.rebelfoods.com/,$210.00,12/12/2024,Mumbai,Cloud Kitchen,,https://economictimes.indiatimes.com/tech/funding/temasek-leads-210-million-funding-in-rebel-foods/articleshow/116239414.cms?from=mdr
FirstClub,$18.00,12/12/2024,Bengaluru,Quick Commerce,Seed,https://economictimes.indiatimes.com/tech/funding/firstclub-of-former-cleartrip-ceo-ayyappan-raises-8-million-in-round-led-by-accel-rtp-global/articleshow/116221395.cms
https://www.solarsquare.in/,$40.00,12/12/2024,Mumbai,Solar Energy,Series B,https://entrackr.com/news/solarsquare-raises-40-mn-in-series-b-led-by-lightspeed-8431566
https://finxpert.org/,$6.00,12/12/2024,Mumbai,Edtech - Skilling,,https://economictimes.indiatimes.com/tech/funding/skilling-platform-finx-mops-up-6-million-in-round-led-by-elevar-equity/articleshow/116220716.cms
https://www.stage.in/,$10.00,13/12/2024,Noida,OTT Platform,Series B,https://entrackr.com/exclusive/exclusive-ott-app-stage-secures-10-mn-led-by-goodwater-capital-8436372
https://snapmint.com/,$18.00,12/12/2024,Mumbai,"Fintech - Buy Now, Pay Later",Debt + Equity,https://www.moneycontrol.com/news/business/snapmint-secures-18-mn-in-a-mix-of-debt-and-equity-to-expand-its-no-cost-emi-platform-12888089.html
https://www.inkers.ai/,$3.00,13/12/2024,Bengaluru,Proptech,Series A,https://entrackr.com/snippets/proptech-startup-inkers-technology-raises-3-mn-in-series-a-round-8437404
https://www.zetwerk.com/,$67.00,12/12/2024,Bengaluru,Manufacturing,Series F,https://entrackr.com/exclusive/exclusive-zetwerk-to-raise-67-mn-at-3-bn-valuation-8431785
