Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.olaelectric.com/,$50.00,Debt,EV,Bengaluru,01/04/2024,https://entrackr.com/2024/04/ipo-bound-ola-electric-raises-50-mn-debt-from-evolutionx/
https://www.singleinterface.com/,$30.00,,SaaS,Gurugram,04/04/2024,https://entrackr.com/2024/04/marketing-saas-startup-singleinterface-raises-30-mn-led-by-asia-partners/
https://www.namfin.in/,$19.00,Pre-Series C,Fintech - NBFC Lending,Jaipur,02/04/2024,https://inc42.com/buzz/nbfc-namdev-finvest-bags-19-mn-to-deepen-presence-in-rural-india/
https://nivarahousing.com/,$10.00,,Fintech - Lending,Bengaluru,04/04/2024,https://entrackr.com/2024/04/nivara-home-finance-raises-10-mn-from-baring-private-equity-india/
https://traya.health/,$8.97,Series A,E-Commerce - Health and Wellness,Mumbai,02/04/2024,https://entrackr.com/2024/04/traya-secures-rs-75-cr-from-xponentia-capital/
https://beepkart.com/,$6.50,Series A,E-Commerce - Used 2-Wheelers,Bengaluru,03/04/2024,https://entrackr.com/2024/04/exclusive-beepkart-bags-6-5-mn-in-extended-series-a-round/
https://innoviti.com/,$4.79,Series E,Fintech - POS and Payment Gateway,Bengaluru,01/04/2024,https://entrackr.com/2024/04/innoviti-kicks-off-series-e-round-with-rs-40-cr-led-by-bessemer/
https://m2pfintech.com/,$4.19,Debt,Fintech,Chennai,01/04/2024,https://entrackr.com/2024/04/exclusive-m2p-fintech-raises-debt-funding-from-anicut-capital/
https://planystech.com/,$4.00,Pre-Series A,Robotics,Chennai,03/04/2024,https://entrackr.com/2024/04/exclusive-deeptech-startup-planys-raises-4-mn/
https://rocksport.in/,$3.00,Series A,Adventure Sport,Delhi,03/04/2024,https://entrackr.com/2024/04/mahindra-backed-rocksport-raises-funds-at-30-mn-valuation/
https://www.metalbook.co.in/,$3.00,Debt,B2B E-Commerce - Metals,Gurugram,03/04/2024,https://entrackr.com/2024/04/metalbook-raises-rs-25-cr-debt-from-northern-arc/
https://www.bombayshavingcompany.com/,$2.87,Debt,E-Commerce - Personal care and grooming,Gurugram,01/04/2024,https://inc42.com/buzz/exclusive-bombay-shaving-company-raises-inr-24-cr-debt-from-alteria-capital/
https://assemblytravel.com/,$2.10,Seed,E-Commerce - Travel Bags,Gurugram,02/04/2024,https://inc42.com/buzz/travel-and-lifestyle-startup-assembly-bags-2-1-mn-from-prath-ventures-others/
https://home.wify.co.in/,$2.10,Pre-Series A,Construction and Home Improvement,Mumbai,02/04/2024,https://entrackr.com/2024/04/exclusive-wify-bags-2-million-in-pre-series-a-round/
https://vodex.ai/,$2.00,Seed,AI,Bengaluru,03/04/2024,https://entrackr.com/2024/04/gen-ai-saas-startup-vodex-raises-2-mn-in-seed-round/
https://www.onoark.com/,$1.30,Seed,Agritech,Bengaluru,03/04/2024,https://entrackr.com/2024/04/crop-price-and-mandi-discovery-platform-ono-raises-seed-round/
https://hudle.in/,$0.84,Pre-Series A,Sportstech,Delhi,04/04/2024,https://entrackr.com/2024/04/hudle-raises-rs-7-cr-in-pre-series-a-round/
https://www.mavehealth.com/,$0.72,Pre-Seed,Healthtech,Bengaluru,03/04/2024,https://entrackr.com/2024/04/mave-health-raises-rs-6-cr-led-by-all-in-capital-and-iseed-fund/
https://www.satsure.co/,,Series A,Spacetech,Bengaluru,02/04/2024,https://inc42.com/buzz/spacetech-startup-satsure-bags-funding-to-improve-credit-access-for-agri-sector/
https://thefreshpress.in/,,Pre-Series A,E-Commerce - Juice,Mumbai,02/04/2024,https://inc42.com/buzz/juice-startup-the-fresh-press-nets-funding-from-gruhas-collective-consumer-fund-for-expansion/
,,,,,,
