Company,Amount ($M),Series,Sector,HQ,Date,Source
https://jumbotail.com/,$120.00,Series D,B2B Marketplace,Bengaluru,30/06/2025,https://entrackr.com/news/jumbotail-turns-unicorn-after-120-mn-series-d-round-9449623
https://infra.market/,$50.00,Debt,B2B Marketplace - Construction Materials,Thane,30/06/2025,https://entrackr.com/news/inframarket-secures-150-mn-from-mars-growth-capital-9449081
https://www.eggoz.com/,$20.00,Series C,Dairy Products,Gurugram,30/06/2025,https://entrackr.com/snippets/eggoz-raises-20-mn-in-series-c-round-led-by-gaja-capital-9449466
https://www.appsforbharat.com/en,$20.00,Series C,Devotional Platform,Bengaluru,01/07/2025,https://entrackr.com/news/appsforbharat-raises-20-mn-in-series-c-round-9451578
https://aukerajewellery.com/,$15.00,Series B,Lab grown diamond jewellery,Bengaluru,30/06/2025,https://entrackr.com/news/lab-grown-diamond-brand-aukera-raises-15-mn-led-by-peak-xv-9449078
https://fincfriends.com/,$11.50,Debt,Fintech - NBFC,Gurugram,01/07/2025,https://entrackr.com/snippets/fincfriends-closes-115-mn-debt-funding-round-9452878
https://www.bambrew.in/,$10.30,,Sustainable Packaging,Bengaluru,01/07/2025,https://entrackr.com/snippets/bambrew-raises-rs-90-cr-led-by-ashok-goel-and-enrission-india-capital-9452773
https://www.eeki.com/,$7.00,,Agritech,Kota,01/07/2025,https://entrackr.com/snippets/agritech-startup-eeki-raises-7-mn-from-sixth-sense-ventures-9452600
https://www.zango.ai/,$4.80,Seed,AI - Regulatory Compliance,Bengaluru,01/07/2025,https://entrackr.com/snippets/zango-ai-raises-48-mn-in-seed-round-led-by-nexus-venture-partners-9452864
https://www.maieuticsemi.com/,$4.15,Seed,Deeptech,Bengaluru,03/07/2025,https://economictimes.indiatimes.com/tech/funding/deeptech-startup-maieutic-semiconductor-raises-4-15-million-from-endiya-partners-exfinity-venture-partners/articleshow/122210969.cms
https://lumafertility.com/,$4.00,Seed,Healthtech - Fertility,Mumbai,03/07/2025,https://entrackr.com/snippets/luma-fertility-raises-4-mn-led-by-peak-xvs-surge-9458476
https://gobblecube.ai/,$3.50,,Analytics,Gurugram,03/07/2025,https://economictimes.indiatimes.com/tech/funding/ai-backed-brand-analytics-platform-gobblecube-raises-3-5-million-in-round-led-by-infoedge-ventures/articleshow/122209192.cms
https://loopworm.in/,$3.25,Pre-Series A,Biotech,Bengaluru,01/07/2025,https://entrackr.com/snippets/biomanufacturing-startup-loopworm-raises-325-mn-in-pre-series-a-round-9453681
https://cimware.tech/,$2.30,Pre-Series A,Computer Hardware,Bengaluru,02/07/2025,https://entrackr.com/snippets/cimware-raises-23-mn-from-transition-vc-9455272
http://www.ioraecological.com/,$1.00,Debt,Environmental Services,Delhi,02/07/2025,https://entrackr.com/snippets/iora-raises-rs-85-cr-funding-from-caspian-debt-9456330
https://astrophelaerospace.in/,$0.80,Pre-Seed,Spacetech,Pune,01/07/2025,https://entrackr.com/snippets/astrophel-aerospace-raises-rs-684-cr-in-pre-seed-round-9452911
http://www.lamarkbiotech.com/,$0.76,Pre-Series A,Biotech,Bengaluru,01/07/2025,https://entrackr.com/snippets/lamark-biotech-raises-rs-65-cr-in-pre-series-a-round-led-by-ian-group-9453084
https://fitfeast.in/,$0.64,Seed,Nutrition Brand,Gurugram,03/07/2025,https://entrackr.com/snippets/fitfeast-raises-rs-55-cr-from-ipv-ropes-in-shane-watson-and-axar-patel-as-investors-9458574
https://www.garaaz.com/,$0.53,Seed,Automotive spare parts aggregator,Jaipur,01/07/2025,https://entrackr.com/snippets/automotive-spare-parts-aggregator-garaaz-raises-rs-455-cr-in-seed-round-9452385
https://forearthssake.co.in/,$0.35,Seed,Cafe  Chain,Gurugram,03/07/2025,https://entrackr.com/snippets/fes-cafe-raises-seed-round-led-by-aakash-anand-and-wolfpack-labs-9459270
https://blostem.com/,,Seed,Fintech,Delhi,30/06/2025,https://entrackr.com/snippets/blostem-raises-seed-round-led-by-ac-ventures-9449740
