Company,Amount ($M),Date,HQ,Sector,Series,Source
https://blostem.com/,,30/06/2025,Delhi,Fintech,Seed,https://entrackr.com/snippets/blostem-raises-seed-round-led-by-ac-ventures-9449740
https://jumbotail.com/,$120.00,30/06/2025,Bengaluru,B2B Marketplace,Series D,https://entrackr.com/news/jumbotail-turns-unicorn-after-120-mn-series-d-round-9449623
http://www.ioraecological.com/,$1.00,02/07/2025,Delhi,Environmental Services,Debt,https://entrackr.com/snippets/iora-raises-rs-85-cr-funding-from-caspian-debt-9456330
https://www.maieuticsemi.com/,$4.15,03/07/2025,Bengaluru,Deeptech,Seed,https://economictimes.indiatimes.com/tech/funding/deeptech-startup-maieutic-semiconductor-raises-4-15-million-from-endiya-partners-exfinity-venture-partners/articleshow/122210969.cms
https://aukerajewellery.com/,$15.00,30/06/2025,Bengaluru,Lab grown diamond jewellery,Series B,https://entrackr.com/news/lab-grown-diamond-brand-aukera-raises-15-mn-led-by-peak-xv-9449078
https://cimware.tech/,$2.30,02/07/2025,Bengaluru,Computer Hardware,Pre-Series A,https://entrackr.com/snippets/cimware-raises-23-mn-from-transition-vc-9455272
https://www.eeki.com/,$7.00,01/07/2025,Kota,Agritech,,https://entrackr.com/snippets/agritech-startup-eeki-raises-7-mn-from-sixth-sense-ventures-9452600
https://www.appsforbharat.com/en,$20.00,01/07/2025,Bengaluru,Devotional Platform,Series C,https://entrackr.com/news/appsforbharat-raises-20-mn-in-series-c-round-9451578
https://www.zango.ai/,$4.80,01/07/2025,Bengaluru,AI - Regulatory Compliance,Seed,https://entrackr.com/snippets/zango-ai-raises-48-mn-in-seed-round-led-by-nexus-venture-partners-9452864
https://fincfriends.com/,$11.50,01/07/2025,Gurugram,Fintech - NBFC,Debt,https://entrackr.com/snippets/fincfriends-closes-115-mn-debt-funding-round-9452878
https://www.eggoz.com/,$20.00,30/06/2025,Gurugram,Dairy Products,Series C,https://entrackr.com/snippets/eggoz-raises-20-mn-in-series-c-round-led-by-gaja-capital-9449466
http://www.lamarkbiotech.com/,$0.76,01/07/2025,Bengaluru,Biotech,Pre-Series A,https://entrackr.com/snippets/lamark-biotech-raises-rs-65-cr-in-pre-series-a-round-led-by-ian-group-9453084
https://astrophelaerospace.in/,$0.80,01/07/2025,Pune,Spacetech,Pre-Seed,https://entrackr.com/snippets/astrophel-aerospace-raises-rs-684-cr-in-pre-seed-round-9452911
https://loopworm.in/,$3.25,01/07/2025,Bengaluru,Biotech,Pre-Series A,https://entrackr.com/snippets/biomanufacturing-startup-loopworm-raises-325-mn-in-pre-series-a-round-9453681
https://fitfeast.in/,$0.64,03/07/2025,Gurugram,Nutrition Brand,Seed,https://entrackr.com/snippets/fitfeast-raises-rs-55-cr-from-ipv-ropes-in-shane-watson-and-axar-patel-as-investors-9458574
https://infra.market/,$50.00,30/06/2025,Thane,B2B Marketplace - Construction Materials,Debt,https://entrackr.com/news/inframarket-secures-150-mn-from-mars-growth-capital-9449081
https://www.garaaz.com/,$0.53,01/07/2025,Jaipur,Automotive spare parts aggregator,Seed,https://entrackr.com/snippets/automotive-spare-parts-aggregator-garaaz-raises-rs-455-cr-in-seed-round-9452385
https://www.bambrew.in/,$10.30,01/07/2025,Bengaluru,Sustainable Packaging,,https://entrackr.com/snippets/bambrew-raises-rs-90-cr-led-by-ashok-goel-and-enrission-india-capital-9452773
https://forearthssake.co.in/,$0.35,03/07/2025,Gurugram,Cafe  Chain,Seed,https://entrackr.com/snippets/fes-cafe-raises-seed-round-led-by-aakash-anand-and-wolfpack-labs-9459270
https://gobblecube.ai/,$3.50,03/07/2025,Gurugram,Analytics,,https://economictimes.indiatimes.com/tech/funding/ai-backed-brand-analytics-platform-gobblecube-raises-3-5-million-in-round-led-by-infoedge-ventures/articleshow/122209192.cms
https://lumafertility.com/,$4.00,03/07/2025,Mumbai,Healthtech - Fertility,Seed,https://entrackr.com/snippets/luma-fertility-raises-4-mn-led-by-peak-xvs-surge-9458476
