Company,Amount ($M),Series,Sector,HQ,Date,Source
https://waycool.in/,$12.00,Debt,Agritech,Chennai,01/10/2024,https://entrackr.com/2024/10/exclusive-waycool-raises-12-mn-debt-from-grand-anicut/
https://www.basichomeloan.com/,$10.60,Series B,Fintech,Gurugram,30/09/2024,https://entrackr.com/2024/09/basic-home-loan-raises-10-6-mn-in-series-b-round/
https://www.fermionic.design/,$6.00,,"Semiconductor ",Bengaluru,01/10/2024,https://inc42.com/buzz/fabless-semiconductor-startup-fermionic-design-nets-6-mn-from-ashish-kacholia-associates/
https://www.str8bat.com/,$3.50,Series A,Sportstech,Bengaluru,03/10/2024,https://entrackr.com/2024/10/sportstech-platform-str8bat-raises-3-5-mn-in-series-a/
https://www.furnishka.com/,$3.21,Pre-Series A,Furniture Retailer,Bengaluru,03/10/2024,https://entrackr.com/2024/10/furnishka-raises-rs-27-cr-in-pre-series-a-round-led-by-indiaquotient/
https://www.lissun.app/,$2.50,Pre-Series A,Mental Health,Gurugram,30/09/2024,https://entrackr.com/2024/09/mental-health-platform-lissun-raises-2-5-mn-in-pre-series-a/
https://zevoindia.in/,$2.00,Pre-Series A,Electric Mobility,Delhi,03/10/2024,https://inc42.com/buzz/emobility-startup-zevo-nets-2-mn-from-bizdateup-others/
https://clayco.in/?srsltid=AfmBOoqf87k3RYJvFTh-1SKNvi1KeKIRthtd-HvLyHf2rE_uFlKjDi8h,$2.00,Series A,D2C Skincare Brand,Mumbai,01/10/2024,https://entrackr.com/2024/10/unilever-ventures-leads-2-mn-round-in-skincare-brand-clayco-cosmetics/
https://consciouschemist.com/,$1.40,,D2C Beauty Brand,Gurugram,30/09/2024,https://inc42.com/buzz/beauty-startup-conscious-chemist-bags-funding-from-atomic-capital-beefs-up-board/
https://www.oncarecancer.com/,$1.00,Seed,Cancer Care,Gurugram,03/10/2024,https://entrackr.com/2024/10/oncare-bags-1-mn-in-seed-round-led-by-huddle-ventures/
https://aisteth.com/,$1.00,Pre-Series A,Healthtech,Bengaluru,03/10/2024,https://entrackr.com/2024/10/ai-health-highway-bags-1-mn-led-by-turbostart/
https://igdrones.com/,$1.00,Seed,Drone,Noida,01/10/2024,https://entrackr.com/2024/10/drone-tech-startup-ig-drones-raises-1-mn-in-seed-round/
https://zintlr.com/,$0.89,Seed,B2B SaaS Platform,Bengaluru,30/09/2024,https://entrackr.com/2024/09/b2b-saas-platform-zintlr-raises-rs-7-5-cr-in-seed-round/
,,,,,,
https://www.aikenist.com/,,Seed,Healthtech,Bengaluru,01/10/2024,https://entrackr.com/2024/10/venture-catalysts-leads-seed-round-in-aikenist/
