Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.lenskart.com/,$200.00,Secondary,Eyewear Retailer,Gurugram,03/06/2024,https://entrackr.com/2024/06/lenskart-raises-200-mn-in-secondary-round/
https://www.fibe.in/,$90.00,Series E,Fintech - Digital Lending,Pune,05/06/2024,https://entrackr.com/2024/06/exclusive-consumer-lending-startup-fibe-raises-66-mn/
https://www.atherenergy.com/,$15.00,,EV,Bengaluru,07/06/2024,https://entrackr.com/2024/06/hero-motocorp-invests-rs-124-cr-in-ather-energy-now-controls-nearly-42-stake/
https://www.lendingkart.com/,$13.00,Debt + Equity,Fintech - Lending,Ahmedabad,03/06/2024,https://entrackr.com/2024/06/exclusive-lendingkart-raises-rs-100-cr-debt-from-stride-ventures/
https://astrotalk.com/,$9.50,Extended Series A,Online Astrology,Noida,03/06/2024,https://entrackr.com/2024/06/exclusive-astrotalk-raises-9-5-mn-at-a-valuation-of-300-mn/
https://testsigma.com/,$8.20,,AI-based Test Automation,Bengaluru,05/06/2024,https://entrackr.com/2024/06/testsigma-raises-8-2-mn-led-by-massmutual-ventures/
https://www.logicladder.com/,$2.50,Series A,Climate Tech - SaaS,Gurugram,04/06/2024,https://entrackr.com/2024/06/logicladder-raises-2-5-mn-in-series-a-round/
https://www.clodura.ai/,$2.00,Pre-Series A,AI-based sales platform,Pune,06/06/2024,https://entrackr.com/2024/06/clodura-ai-raises-2-mn-led-by-bharat-innovation-fund/
https://maino.ai/,$1.80,,Digital Marketing Automation,Bengaluru,06/06/2024,https://entrackr.com/2024/06/digital-marketing-automation-startup-maino-ai-raises-1-8-mn/
https://chosenstore.in/,$1.20,Seed,E-Commerce,Chennai,06/06/2024,https://entrackr.com/2024/06/skin-care-startup-chosen-raises-1-2-mn-in-seed-round/
https://docplix.com/,$0.14,Bridge Round,Healthcare,Lucknow,06/06/2024,https://entrackr.com/2024/06/healthtech-startup-docplix-raises-rs-1-2-cr-in-bridge-round/
