Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.logicladder.com/,$2.50,04/06/2024,Gurugram,Climate Tech - SaaS,Series A,https://entrackr.com/2024/06/logicladder-raises-2-5-mn-in-series-a-round/
https://www.atherenergy.com/,$15.00,07/06/2024,Bengaluru,EV,,https://entrackr.com/2024/06/hero-motocorp-invests-rs-124-cr-in-ather-energy-now-controls-nearly-42-stake/
https://www.clodura.ai/,$2.00,06/06/2024,Pune,AI-based sales platform,Pre-Series A,https://entrackr.com/2024/06/clodura-ai-raises-2-mn-led-by-bharat-innovation-fund/
https://testsigma.com/,$8.20,05/06/2024,Bengaluru,AI-based Test Automation,,https://entrackr.com/2024/06/testsigma-raises-8-2-mn-led-by-massmutual-ventures/
https://www.fibe.in/,$90.00,05/06/2024,Pune,Fintech - Digital Lending,Series E,https://entrackr.com/2024/06/exclusive-consumer-lending-startup-fibe-raises-66-mn/
https://www.lenskart.com/,$200.00,03/06/2024,Gurugram,Eyewear Retailer,Secondary,https://entrackr.com/2024/06/lenskart-raises-200-mn-in-secondary-round/
https://astrotalk.com/,$9.50,03/06/2024,Noida,Online Astrology,Extended Series A,https://entrackr.com/2024/06/exclusive-astrotalk-raises-9-5-mn-at-a-valuation-of-300-mn/
https://maino.ai/,$1.80,06/06/2024,Bengaluru,Digital Marketing Automation,,https://entrackr.com/2024/06/digital-marketing-automation-startup-maino-ai-raises-1-8-mn/
https://www.lendingkart.com/,$13.00,03/06/2024,Ahmedabad,Fintech - Lending,Debt + Equity,https://entrackr.com/2024/06/exclusive-lendingkart-raises-rs-100-cr-debt-from-stride-ventures/
https://docplix.com/,$0.14,06/06/2024,Lucknow,Healthcare,Bridge Round,https://entrackr.com/2024/06/healthtech-startup-docplix-raises-rs-1-2-cr-in-bridge-round/
https://chosenstore.in/,$1.20,06/06/2024,Chennai,E-Commerce,Seed,https://entrackr.com/2024/06/skin-care-startup-chosen-raises-1-2-mn-in-seed-round/
