Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.udaan.com/,$114.00,Series G,B2B - E-Commerce,Bengaluru,02/06/2025,https://entrackr.com/news/udaan-closes-series-g-round-at-114-mn-9327813
https://www.snitch.com/,$40.00,Series B,D2C Clothing,Bengaluru,02/06/2025,https://entrackr.com/snippets/snitch-raises-40-mn-in-series-b-round-to-enter-quick-commerce-9327509
https://stablemoney.in/,$20.00,,Fintech,Bengaluru,03/06/2025,https://entrackr.com/news/stable-money-raises-20-mn-led-by-fundamentum-9330477
https://loantap.in/,$6.20,,Fintech,Pune,05/06/2025,https://entrackr.com/snippets/loantap-raises-62-mn-led-by-july-ventures-9336604
https://www.gyandhan.com/,$5.80,Series A,Fintech,Delhi,04/06/2025,https://entrackr.com/snippets/gyandhan-raises-rs-50-cr-in-series-a-round-from-classplus-and-pravega-9333649
https://www.plushforher.com/,$4.65,,Feminine Care,Chennai,03/06/2025,https://entrackr.com/exclusive/exclusive-feminine-care-brand-plush-to-kick-off-series-b-round-at-3x-valuation-surge-9330660
https://stridegreen.in/,$3.50,Seed,Fintech,Gurugram,05/06/2025,https://entrackr.com/snippets/stride-green-raises-35-mn-in-seed-round-9336653
https://truediamond.in/,$3.00,Pre-Series A,Lab-grown diamond,Mumbai,04/06/2025,https://entrackr.com/snippets/true-diamond-raises-3-mn-led-by-india-quotient-9334235
https://handpickd.farm/,$2.52,Seed,Agritech,Gurugram,04/06/2025,https://entrackr.com/exclusive/exclusive-anant-goels-handpickd-raises-fresh-funds-9334697
https://spense.money/,$1.85,Pre-Seed,Fintech,Bengaluru,02/06/2025,https://entrackr.com/snippets/growthcap-leads-185-mn-pre-seed-round-in-spense-9327516
https://gullylabs.com/,$1.01,Seed,Sneaker Brand,Delhi,03/06/2025,https://entrackr.com/snippets/gully-labs-raises-rs-87-cr-in-seed-round-led-by-zeropearl-vc-9331170
http://www.kharifoods.com/,$0.35,Seed,Snacking Brand,Delhi,05/06/2025,https://entrackr.com/snippets/khari-foods-raises-rs-3-cr-in-seed-round-9336946
https://thetarzanway.com/,$0.23,Seed,Travel Tech,Noida,05/06/2025,https://entrackr.com/snippets/travel-tech-startup-the-tarzan-way-raises-rs-2-cr-led-by-ipv-9336938
https://www.kosmc.ai/,$0.20,Pre-Seed,Social Commerce,Delhi,06/06/2025,https://entrackr.com/snippets/social-commerce-infrastructure-startup-kosmc-ai-raises-pre-seed-round-9340447
https://serveclub.co/,,Seed,Pickleball Gear,,03/06/2025,https://entrackr.com/snippets/serveclub-raises-seed-round-from-rare-rabbit-the-moms-co-founders-9331008
