Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.rapido.bike/,$200.00,Series E,Ridehailing,Bengaluru,05/09/2024,https://economictimes.indiatimes.com/tech/funding/rapido-rolls-into-unicorn-club-with-200-million-raise-at-1-1-billion-valuation/articleshow/113073029.cms?from=mdr
https://justo.co.in/,$7.00,Seed + Debt,Proptech,Mumbai,04/09/2024,https://inc42.com/buzz/justo-realfintech-bags-7-mn-to-expand-its-proptech-play/
https://nutrabay.com/,$5.00,Series A,D2C Protein Brand,Delhi,02/09/2024,https://entrackr.com/2024/09/d2c-retail-brand-nutrabay-raises-5-mn-in-series-a/
https://www.thehosteller.com/,$4.00,Series A,Backpacker Hostel Chain,Mumbai,04/09/2024,https://inc42.com/buzz/traveltech-startup-the-hosteller-nets-inr-32-cr-from-v-cube-ventures-others/
https://www.globalcarehealth.com/,$3.00,Series A,Medical Toursim,Gurugram,02/09/2024,https://entrackr.com/2024/09/medical-tourism-company-global-care-raises-3-mn/
https://invest4edu.com/,$3.00,Seed,Edtech,Mumbai,04/09/2024,https://entrackr.com/2024/09/invest4edu-raises-3-mn-in-seed-round-from-family-offices/
https://bigendiansemi.com/,$3.00,Seed,Semiconductor,Bengaluru,03/09/2024,https://entrackr.com/2024/09/bigendian-semiconductors-raises-3-mn-in-seed-round/
https://theater.xyz/,$1.50,Pre-Series A,Fashion,Chandigarh,03/09/2024,https://entrackr.com/2024/09/fashion-brand-theater-raises-1-5-mn-in-pre-series-a-round/
https://bosonwhitewater.com/,$1.20,,Water Recycling,Bengaluru,04/09/2024,https://entrackr.com/2024/09/zerodhas-rainmatter-backs-bosan-and-trunativ/
https://trunativ.co/,$1.20,,D2C Nutrition Brand,Mumbai,04/09/2024,https://entrackr.com/2024/09/zerodhas-rainmatter-backs-bosan-and-trunativ/
https://spolto.com/,$1.00,Seed,Sportstech,Pune,04/09/2024,https://entrackr.com/2024/09/sports-tech-startup-spolto-raises-1-mn-in-seed-round/
https://www.valyx.com/,$0.80,Pre-Seed,B2B Financial Management,Bengaluru,04/09/2024,https://entrackr.com/2024/09/valyx-bags-800k-in-pre-seed-round/
https://mytek.in/,$0.71,Debt,EPC and Manufacturing Marketplace,Thane,03/09/2024,https://entrackr.com/2024/09/infratech-startup-mytek-innovations-raises-rs-6-crore-debt/
https://slikk.club/,$0.30,Pre-Seed,Clothes Delivery,Bengaluru,04/09/2024,https://entrackr.com/2024/09/60-minute-clothes-delivery-app-slikk-raises-300k/
https://liaplus.com/,$0.24,Seed,Customer Support Solutions,Delhi,05/09/2024,https://entrackr.com/2024/09/ipv-leads-seed-round-in-liaplus-ai/
https://recircle.in/,,,Cleantech,Mumbai,03/09/2024,https://entrackr.com/2024/09/flipkart-ventures-backed-recircle-raises-bridge-round/
https://nauticalwings.com/,,Pre-Series A,EV,Bengaluru,05/09/2024,https://entrackr.com/2024/09/venture-catalysts-and-1crowd-back-nautical-wings-aerospace/
