Company,Amount ($M),Series,Sector,HQ,Date,Source
https://citymall.live/,$47.00,Series D,E-Commerce,Gurugram,02/09/2025,https://inc42.com/buzz/meesho-rival-citymall-bags-47-mn-to-expand-private-labels-portfolio/
https://seekho.in/,$28.00,Series B,Edutainment,Bengaluru,03/09/2025,https://entrackr.com/news/seekho-raises-28-mn-in-series-b-round-led-by-bessemer-9780217
https://bluetokaicoffee.com/,$25.00,,Coffee Chain,Gurugram,01/09/2025,https://entrackr.com/news/blue-tokai-raises-25-mn-in-a-bridge-funding-round-from-existing-investors-9776061
https://www.firstclub.site/,$23.00,Series A,Quick Commerce,Bengaluru,04/09/2025,https://inc42.com/buzz/firstclub-bags-23-mn-to-open-dark-stores-launch-cafes/
https://www.colive.com/,$20.00,,Co-Living,Bengaluru,04/09/2025,https://entrackr.com/snippets/colive-raises-20-mn-led-by-bain-capital-9894671
https://www.offgridenergylabs.com/,$15.00,,Battery Tech,Noida,02/09/2025,https://entrackr.com/snippets/offgrid-energy-labs-raises-15-mn-led-by-archean-chemical-industries-9776981
https://www.platinumrx.in/,$6.00,,Online Pharmacy,Bengaluru,03/09/2025,https://entrackr.com/snippets/online-pharmacy-platinumrx-raises-6-mn-led-by-stellaris-9780418
https://ecosoulhome.in/?srsltid=AfmBOooYmgScMrTD8LLUb3c4RHzDIDn_igJT0ldAHrEQh2jk1-KlFRHq,$5.20,Debt,Home Essentials,Noida,05/09/2025,https://entrackr.com/exclusive/exclusive-d2c-brand-ecosoul-secures-rs-45-cr-debt-from-bajaj-9999795
https://www.leafybus.com/,$4.10,Pre-Series A,EV- Bus,Delhi,02/09/2025,https://entrackr.com/snippets/intercity-ev-bus-startup-leafybus-raises-41-mn-from-enetra-ev-9777526
https://tucokids.com/,$4.00,,Personal Care Brand for Kids,Bengaluru,02/09/2025,https://entrackr.com/snippets/tuco-kids-raises-4-mn-led-by-rtp-global-9776941
https://www.flexifyme.com/,$2.40,Pre-Series A,Healthtech,Pune,04/09/2025,https://entrackr.com/snippets/flexifyme-raises-20-cr-in-pre-series-a-round-led-by-ivycap-ventures-9888299
https://www.flexifyme.com/,$2.40,Pre-Series A,Healthtech,Pune,04/09/2025,https://entrackr.com/snippets/flexifyme-raises-20-cr-in-pre-series-a-round-led-by-ivycap-ventures-9888299
https://www.autodukan.com/,$1.00,Pre-Series A,AI-driven automobile aftermarket,Pune,04/09/2025,https://entrackr.com/snippets/autodukan-raises-1-mn-in-pre-series-a-round-9893438
https://houseofzelena.com/,$0.80,Seed,Clothing Brand For Mom,Bengaluru,04/09/2025,https://entrackr.com/snippets/house-of-zelena-raises-rs-7-cr-in-seed-round-9888630
https://rxmen.com/,$0.57,Seed,Healthtech,Delhi,04/09/2025,https://entrackr.com/snippets/mens-health-startup-rxmen-raises-rs-5-cr-in-seed-round-led-by-ipv-9888031
https://www.cuzorlabs.com/,$0.57,Seed,Consumer Electronics,Bengaluru,01/09/2025,https://entrackr.com/snippets/consumer-electronics-brand-cuzor-raises-rs-5-cr-in-seed-round-9774557
https://quanterenewables.com/,$0.50,Seed,Solar Energy,Noida,04/09/2025,https://entrackr.com/snippets/solar-startup-quante-energy-raises-500k-in-seed-round-9885620
https://dectrocel.com/,$0.45,,Healthtech,Lucknow,05/09/2025,https://dectrocel.com/
https://zanskarhealth.in/,$0.32,Seed,Healthcare,Gurugram,02/09/2025,https://entrackr.com/snippets/zanskar-raises-rs-28-cr-seed-round-led-by-zeropearl-vc-9779156
https://www.waterscience.in/,$0.16,,Water Filtration Brand,Bengaluru,03/09/2025,https://entrackr.com/snippets/non-drinking-water-filtration-brand-waterscience-secures-funding-from-velocity-9780424
https://edgehax.com/,$0.16,Seed,Edge AI Computing,Bengaluru,03/09/2025,https://entrackr.com/snippets/edgehax-raises-rs-139-cr-in-seed-round-from-ipv-9781247
