Company,Amount ($M),Date,HQ,Sector,Series,Source
https://bluetokaicoffee.com/,$25.00,01/09/2025,Gurugram,Coffee Chain,,https://entrackr.com/news/blue-tokai-raises-25-mn-in-a-bridge-funding-round-from-existing-investors-9776061
https://seekho.in/,$28.00,03/09/2025,Bengaluru,Edutainment,Series B,https://entrackr.com/news/seekho-raises-28-mn-in-series-b-round-led-by-bessemer-9780217
https://www.platinumrx.in/,$6.00,03/09/2025,Bengaluru,Online Pharmacy,,https://entrackr.com/snippets/online-pharmacy-platinumrx-raises-6-mn-led-by-stellaris-9780418
https://www.offgridenergylabs.com/,$15.00,02/09/2025,Noida,Battery Tech,,https://entrackr.com/snippets/offgrid-energy-labs-raises-15-mn-led-by-archean-chemical-industries-9776981
https://quanterenewables.com/,$0.50,04/09/2025,Noida,Solar Energy,Seed,https://entrackr.com/snippets/solar-startup-quante-energy-raises-500k-in-seed-round-9885620
https://citymall.live/,$47.00,02/09/2025,Gurugram,E-Commerce,Series D,https://inc42.com/buzz/meesho-rival-citymall-bags-47-mn-to-expand-private-labels-portfolio/
https://houseofzelena.com/,$0.80,04/09/2025,Bengaluru,Clothing Brand For Mom,Seed,https://entrackr.com/snippets/house-of-zelena-raises-rs-7-cr-in-seed-round-9888630
https://zanskarhealth.in/,$0.32,02/09/2025,Gurugram,Healthcare,Seed,https://entrackr.com/snippets/zanskar-raises-rs-28-cr-seed-round-led-by-zeropearl-vc-9779156
https://rxmen.com/,$0.57,04/09/2025,Delhi,Healthtech,Seed,https://entrackr.com/snippets/mens-health-startup-rxmen-raises-rs-5-cr-in-seed-round-led-by-ipv-9888031
https://edgehax.com/,$0.16,03/09/2025,Bengaluru,Edge AI Computing,Seed,https://entrackr.com/snippets/edgehax-raises-rs-139-cr-in-seed-round-from-ipv-9781247
https://www.flexifyme.com/,$2.40,04/09/2025,Pune,Healthtech,Pre-Series A,https://entrackr.com/snippets/flexifyme-raises-20-cr-in-pre-series-a-round-led-by-ivycap-ventures-9888299
https://tucokids.com/,$4.00,02/09/2025,Bengaluru,Personal Care Brand for Kids,,https://entrackr.com/snippets/tuco-kids-raises-4-mn-led-by-rtp-global-9776941
https://www.cuzorlabs.com/,$0.57,01/09/2025,Bengaluru,Consumer Electronics,Seed,https://entrackr.com/snippets/consumer-electronics-brand-cuzor-raises-rs-5-cr-in-seed-round-9774557
https://www.waterscience.in/,$0.16,03/09/2025,Bengaluru,Water Filtration Brand,,https://entrackr.com/snippets/non-drinking-water-filtration-brand-waterscience-secures-funding-from-velocity-9780424
https://www.firstclub.site/,$23.00,04/09/2025,Bengaluru,Quick Commerce,Series A,https://inc42.com/buzz/firstclub-bags-23-mn-to-open-dark-stores-launch-cafes/
https://www.leafybus.com/,$4.10,02/09/2025,Delhi,EV- Bus,Pre-Series A,https://entrackr.com/snippets/intercity-ev-bus-startup-leafybus-raises-41-mn-from-enetra-ev-9777526
https://dectrocel.com/,$0.45,05/09/2025,Lucknow,Healthtech,,https://dectrocel.com/
https://ecosoulhome.in/?srsltid=AfmBOooYmgScMrTD8LLUb3c4RHzDIDn_igJT0ldAHrEQh2jk1-KlFRHq,$5.20,05/09/2025,Noida,Home Essentials,Debt,https://entrackr.com/exclusive/exclusive-d2c-brand-ecosoul-secures-rs-45-cr-debt-from-bajaj-9999795
https://www.autodukan.com/,$1.00,04/09/2025,Pune,AI-driven automobile aftermarket,Pre-Series A,https://entrackr.com/snippets/autodukan-raises-1-mn-in-pre-series-a-round-9893438
https://www.colive.com/,$20.00,04/09/2025,Bengaluru,Co-Living,,https://entrackr.com/snippets/colive-raises-20-mn-led-by-bain-capital-9894671
https://www.flexifyme.com/,$2.40,04/09/2025,Pune,Healthtech,Pre-Series A,https://entrackr.com/snippets/flexifyme-raises-20-cr-in-pre-series-a-round-led-by-ivycap-ventures-9888299
