Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.woodenstreet.com/,$43.00,Series C,Furniture Brand,Jaipur,07/12/2024,https://entrackr.com/snippets/wooden-street-raises-43-mn-in-series-c-round-from-premji-invest-7783562
https://www.ultraviolette.com/,$15.34,,EV,Bengaluru,04/12/2024,https://inc42.com/buzz/exclusive-ultraviolette-raises-inr-130-cr-from-zoho-others/
https://www.orangehealth.in/,$12.00,,Healthcare,Bengaluru,06/12/2024,https://entrackr.com/snippets/amazon-smbhav-venture-leads-12-mn-round-in-orange-health-7779370
https://www.dentalkart.com/,$10.00,,Dental Products Marketplace,Delhi,04/12/2024,https://entrackr.com/snippets/dentalkart-raises-85-cr-co-led-by-malabar-investment-whiteoak-7760354
https://www.hygenco.in/,$6.00,Debt,Cleantech,Gurugram,05/12/2024,https://entrackr.com/exclusive/exclusive-cleantech-firm-hygenco-raises-rs-50-cr-debt-7776806
https://www.advantageclub.ai/,$4.00,Seed,Employee Engagement,Gurugram,02/12/2024,https://entrackr.com/snippets/axilor-ventures-leads-4-mn-round-in-advantageclubai-7664689
https://zfunds.in/,$2.95,,Wealthtech,Gurugram,04/12/2024,https://entrackr.com/snippets/wealthtech-startup-zfunds-raises-rs-25-cr-led-by-elevation-capital-7759040
https://www.theindusvalley.in/,$2.73,,D2C Kitchenware Brand,Chennai,04/12/2024,https://entrackr.com/exclusive/exclusive-kitchenware-firm-the-indus-valley-raises-fresh-funds-led-by-dsg-7760364
https://moneyclubber.com/,$2.50,Series A,Fintech,Noida,05/12/2024,https://entrackr.com/snippets/the-money-club-raises-25-mn-in-series-a-7776809
https://wickedgud.com/,$2.36,,D2C Food Brand,Mumbai,04/12/2024,https://entrackr.com/snippets/shilpa-shetty-backed-wickedgud-raises-rs-20-cr-led-by-orios-venture-partners-7759626
https://agrileaf.in/,$2.00,,Biodegradable Tableware Manufacturer,Mangalore,03/12/2024,https://entrackr.com/snippets/agrileaf-secures-2-mn-co-led-by-capital-a-and-samarsh-capital-7756930
https://terractive.in/,$1.00,Pre-Series A,D2C Lifestyle Activewear Brand,Mumbai,05/12/2024,https://entrackr.com/snippets/lifestyle-brand-terractive-raises-pre-series-a-round-7776704
http://neuranicslab.com/,$0.70,Seed,Healthcare,Delhi,05/12/2024,https://entrackr.com/snippets/healthcare-diagnostics-startup-neuranics-raises-700k-in-seed-round-7776699
https://atmosphere.work/,$0.59,Seed,Space Transformation,Mumbai,05/12/2024,https://entrackr.com/snippets/atmosphere-the-store-makers-raises-rs-5-cr-in-seed-round-7776572
https://medial.app/,$0.50,Pre-Series A,Social Networking,Bengaluru,05/12/2024,https://entrackr.com/news/medial-raises-500k-in-pre-series-a-led-by-og-capital-7776415
https://raptorx.ai/,$0.47,Pre-Seed,Fintech - Fraud Prevention,Hyderabad,02/12/2024,https://entrackr.com/snippets/fraud-prevention-software-platform-raptorx-raises-pre-seed-round-7664465
https://app.goodlives.in/,$0.13,Pre-Seed,Mental Health and Wellness,Gurugram,03/12/2024,https://entrackr.com/snippets/mental-health-and-wellness-startup-goodlives-raises-pre-seed-round-7756631
https://www.getbumboo.com/,,Angel,Waste Management,Delhi,03/12/2024,https://entrackr.com/snippets/waste-management-startup-bumboo-raises-angel-funding-7756269
