Company,Amount ($M),Date,HQ,Sector,Series,Source
https://raptorx.ai/,$0.47,02/12/2024,Hyderabad,Fintech - Fraud Prevention,Pre-Seed,https://entrackr.com/snippets/fraud-prevention-software-platform-raptorx-raises-pre-seed-round-7664465
https://www.getbumboo.com/,,03/12/2024,Delhi,Waste Management,Angel,https://entrackr.com/snippets/waste-management-startup-bumboo-raises-angel-funding-7756269
https://www.ultraviolette.com/,$15.34,04/12/2024,Bengaluru,EV,,https://inc42.com/buzz/exclusive-ultraviolette-raises-inr-130-cr-from-zoho-others/
https://wickedgud.com/,$2.36,04/12/2024,Mumbai,D2C Food Brand,,https://entrackr.com/snippets/shilpa-shetty-backed-wickedgud-raises-rs-20-cr-led-by-orios-venture-partners-7759626
https://agrileaf.in/,$2.00,03/12/2024,Mangalore,Biodegradable Tableware Manufacturer,,https://entrackr.com/snippets/agrileaf-secures-2-mn-co-led-by-capital-a-and-samarsh-capital-7756930
https://www.dentalkart.com/,$10.00,04/12/2024,Delhi,Dental Products Marketplace,,https://entrackr.com/snippets/dentalkart-raises-85-cr-co-led-by-malabar-investment-whiteoak-7760354
https://app.goodlives.in/,$0.13,03/12/2024,Gurugram,Mental Health and Wellness,Pre-Seed,https://entrackr.com/snippets/mental-health-and-wellness-startup-goodlives-raises-pre-seed-round-7756631
https://moneyclubber.com/,$2.50,05/12/2024,Noida,Fintech,Series A,https://entrackr.com/snippets/the-money-club-raises-25-mn-in-series-a-7776809
https://www.theindusvalley.in/,$2.73,04/12/2024,Chennai,D2C Kitchenware Brand,,https://entrackr.com/exclusive/exclusive-kitchenware-firm-the-indus-valley-raises-fresh-funds-led-by-dsg-7760364
https://www.advantageclub.ai/,$4.00,02/12/2024,Gurugram,Employee Engagement,Seed,https://entrackr.com/snippets/axilor-ventures-leads-4-mn-round-in-advantageclubai-7664689
https://zfunds.in/,$2.95,04/12/2024,Gurugram,Wealthtech,,https://entrackr.com/snippets/wealthtech-startup-zfunds-raises-rs-25-cr-led-by-elevation-capital-7759040
https://atmosphere.work/,$0.59,05/12/2024,Mumbai,Space Transformation,Seed,https://entrackr.com/snippets/atmosphere-the-store-makers-raises-rs-5-cr-in-seed-round-7776572
https://terractive.in/,$1.00,05/12/2024,Mumbai,D2C Lifestyle Activewear Brand,Pre-Series A,https://entrackr.com/snippets/lifestyle-brand-terractive-raises-pre-series-a-round-7776704
https://www.hygenco.in/,$6.00,05/12/2024,Gurugram,Cleantech,Debt,https://entrackr.com/exclusive/exclusive-cleantech-firm-hygenco-raises-rs-50-cr-debt-7776806
http://neuranicslab.com/,$0.70,05/12/2024,Delhi,Healthcare,Seed,https://entrackr.com/snippets/healthcare-diagnostics-startup-neuranics-raises-700k-in-seed-round-7776699
https://medial.app/,$0.50,05/12/2024,Bengaluru,Social Networking,Pre-Series A,https://entrackr.com/news/medial-raises-500k-in-pre-series-a-led-by-og-capital-7776415
https://www.woodenstreet.com/,$43.00,07/12/2024,Jaipur,Furniture Brand,Series C,https://entrackr.com/snippets/wooden-street-raises-43-mn-in-series-c-round-from-premji-invest-7783562
https://www.orangehealth.in/,$12.00,06/12/2024,Bengaluru,Healthcare,,https://entrackr.com/snippets/amazon-smbhav-venture-leads-12-mn-round-in-orange-health-7779370
