Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.mpokket.in/,$60.00,Debt,Fintech - Lending,Kolkata,05/03/2024,https://entrackr.com/2024/03/lending-company-mpokket-raises-60-mn-debt-from-bpea-credit/
https://www.idfy.com/,$27.00,,Fintech - Fraud Detection,Mumbai,06/03/2024,https://entrackr.com/2024/03/id-verification-platform-idfy-raises-27-mn-in-primary-and-secondary/
https://theayurvedaexperience.com/,$27.00,Series C,"E-Commerce - Skincare, Bodycare, Haircare",Gurugram,08/03/2024,https://entrackr.com/2024/03/the-ayurveda-experience-raises-27-mn-in-series-c-led-by-jungle-ventures/
https://rozana.in/,$22.50,,E-Commerce - Rural Commerce,Delhi,05/03/2024,https://entrackr.com/2024/03/rural-commerce-startup-rozana-raises-22-5-mn-led-by-bertelsmann-india/
https://ei.study/,$20.00,,Edtech,Ahmedabad,05/03/2024,https://entrackr.com/2024/03/hcl-invests-20-mn-in-edtech-firm-educational-initiatives-via-secondary/
https://www.planetspark.in/,$17.00,Series B,Edtech,Gurugram,08/03/2024,https://entrackr.com/2024/03/exclusive-fiitjee-backed-planetspark-raises-fresh-funds-in-ongoing-round/
https://foxtale.in/,$14.00,Series A,E-Commerce - Skincare,Mumbai,07/03/2024,https://entrackr.com/2024/03/d2c-skincare-brand-foxtale-scoops-up-14-mn-in-new-round/
https://mufingreenfinance.com/,$5.00,Debt,Fintech - EV Lending,Delhi,08/03/2024,https://entrackr.com/2024/03/electric-vehicle-financing-firm-mufin-green-raises-5-mn/
https://www.abcoffee.in/,$3.40,Series A,QSR - Coffee,Mumbai,08/03/2024,https://entrackr.com/2024/03/abcoffee-raises-3-4-mn-in-series-a-round/
https://cardiotrack.io/,$2.00,Pre-Series A,Healthtech,Bengaluru,04/03/2024,https://entrackr.com/2024/03/cardiotrack-raises-2-mn-in-pre-series-a-round/
https://mycaptain.in/,$1.70,,Edtech,Bengaluru,07/03/2024,https://entrackr.com/2024/03/edtech-startup-mycaptain-raises-rs-14-cr-from-ipv-others/
https://hack2skill.com/,$1.00,Equity + Debt,Community Platform,"Noida ",06/03/2024,https://entrackr.com/2024/03/community-platform-hack2skill-raises-1-mn-debt-equity/
https://inknibs.in/,$0.88,Pre-Seed,E-Commerce - Stationary,Noida,05/03/2024,https://entrackr.com/2024/03/inknibs-raises-seed-round/
https://www.vijyafintech.com/,$0.84,Seed,Fintech - Wealthtech,Surat,05/03/2024,https://entrackr.com/2024/03/vijya-fintech-raise-rs-7-cr-in-an-angel-round/
https://dubpro.ai/,$0.50,Seed,AI,Noida,04/03/2024,https://entrackr.com/2024/03/dubpro-ai-raises-500k-in-seed-round/
https://urjasathi.com/,$0.42,Seed,Cleantech - Solar,Lucknow,05/03/2024,https://entrackr.com/2024/03/solartech-platform-urja-sathi-raises-seed-round/
https://www.freestand.in/,$0.40,Seed,B2B Marketing,Delhi,08/03/2024,https://entrackr.com/2024/03/vcats-and-nocking-point-lead-400k-seed-round-in-freestand/
