Company,Amount ($M),Series,Sector,HQ,Date,Source
https://darwinbox.com/,$140.00,,HR Tech,Hyderabad,05/03/2025,https://entrackr.com/news/darwinbox-raises-140-mn-co-led-by-partners-group-and-kkr-8795904
https://leapfinance.com/,$100.00,Debt,Lending - Education,Bengaluru,05/03/2025,https://entrackr.com/news/leap-finance-raises-100-mn-debt-from-hsbc-8796378
https://www.insurancedekho.com/,$70.00,,Insurance Tech,Gurugram,04/03/2025,https://entrackr.com/news/beams-fintech-fund-leads-70-mn-round-in-insurancedekho-8776738
https://nuuk.in/,$5.00,Series A,Consumer Electronics,Gurugram,05/03/2025,https://entrackr.com/snippets/nuuk-raises-5-mn-in-series-a-round-led-by-vertex-ventures-8795487
https://www.zetwerk.com/,$5.00,,B2B Manufacturing,Bengaluru,05/03/2025,https://inc42.com/buzz/exclusive-zetwerk-raises-inr-43-cr-ahead-of-ipo/
https://www.getrezolv.com/,$3.50,Seed,Debt Resolution Platform,Mumbai,04/03/2025,https://entrackr.com/snippets/kissht-co-founders-startup-rezolv-raises-35-mn-in-seed-round-8777381
https://fluxgen.com/,$3.22,Pre-Series A,Climate Tech,Bengaluru,04/03/2025,https://entrackr.com/snippets/climate-tech-startup-fluxgen-raises-rs-28-cr-in-pre-series-a-8777160
https://deciml.in/,$3.00,Seed,Fintech - Investment,Pune,04/03/2025,https://entrackr.com/snippets/round-up-investing-platform-deciml-raises-3-mn-is-seed-round-8776381
https://www.phot.ai/,$2.70,Seed,AI driven creative automation,Gurugram,06/03/2025,https://entrackr.com/snippets/photai-raises-27-mn-to-automate-e-commerce-creative-design-8817121
https://credresolve.com/,$1.10,Seed,Fintech,Bengaluru,03/03/2025,https://entrackr.com/snippets/credresolve-raises-11-mn-in-seed-round-8773410
https://www.arva.health/,$1.00,Pre-Seed,Healthcare - Fertility Care,Bengaluru,03/03/2025,https://entrackr.com/snippets/arva-health-raises-1-mn-in-pre-seed-led-by-all-in-capital-8773513
https://www.dotme.in/,$0.15,,Link in Bio,Bengaluru,04/03/2025,https://entrackr.com/snippets/dotme-bags-150k-from-jimmys-cocktails-mirza-l-baig-8776269
https://www.divinehindu.in/,$0.12,,Religious Products,Gurugram,04/03/2025,https://entrackr.com/snippets/pandas-box-divine-hindu-and-blep-petcare-get-funding-at-elevate-demo-day-8777526
https://blepworld.com/,$0.12,,Petcare,Delhi,04/03/2025,https://entrackr.com/snippets/pandas-box-divine-hindu-and-blep-petcare-get-funding-at-elevate-demo-day-8777526
https://pandasbox.in/,$0.12,,Toys,Delhi,04/03/2025,https://entrackr.com/snippets/pandas-box-divine-hindu-and-blep-petcare-get-funding-at-elevate-demo-day-8777526
https://gainhub.ai/,$0.10,,SaaS,Delhi,06/03/2025,https://entrackr.com/snippets/gainhubai-bags-100k-in-pre-series-bridge-round-8827135
https://silagroup.co.in/,,,Real Estate,Mumbai,04/03/2025,https://entrackr.com/snippets/ms-dhoni-family-office-invests-in-real-estate-platform-sila-8777883
