Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.batterysmart.in/,$65.00,Series B,EV - Battery,Gurugram,11/06/2024,https://entrackr.com/2024/06/battery-smart-raises-65-mn-in-series-b-round/
https://acertvindia.com/,$36.00,Series A,Consumer Electronics,Bengaluru,13/06/2024,https://entrackr.com/2024/06/consumer-electronics-startup-indkal-raises-36-mn-in-series-a/
https://foxtale.in/,$18.00,Series B,E-Commerce - Skincare,Mumbai,12/06/2024,https://entrackr.com/2024/06/d2c-skincare-brand-foxtale-scoops-up-18-mn-led-by-panthera-growth-partners/
https://etherealmachines.com/,$13.00,Series A,Manufacturing,Bengaluru,13/06/2024,https://entrackr.com/2024/06/ethereal-machines-raises-13-mn-led-by-peak-xv-and-steadview/
https://www.olaelectric.com/,$12.00,Debt,EV,Bengaluru,11/06/2024,https://entrackr.com/2024/06/exclusive-ola-electric-raises-rs-100-cr-debt-ahead-of-ipo/
https://www.reneecosmetics.in/,$12.00,Series B,E-Commerce - D2C Beauty Brand,Ahmedabad,13/06/2024,https://entrackr.com/2024/06/exclusive-renee-cosmetics-to-raise-rs-100-cr-at-a-valuation-of-rs-1400-cr/
https://www.smartworksoffice.com/,$12.00,,Managed Office Space,Gurugram,11/06/2024,https://inc42.com/buzz/smartworks-raises-12-mn-from-ananta-capital-others/
https://www.arthan.finance/,$6.00,Series B,Fintech - NBFC Lending,Mumbai,10/06/2024,https://entrackr.com/2024/06/arthan-finance-raises-rs-50-cr-in-series-b-round/
https://www.indigridtechnology.com/,$5.00,,EV,Manesar,13/06/2024,https://yourstory.com/2024/06/funding-indigrid-technology-5-million-cactus-partners
https://biguineindia.co.in/,$4.80,,Salon Chain,Mumbai,11/06/2024,https://entrackr.com/2024/06/jcb-salons-india-raises-rs-40-cr-from-blacksoil-for-strategic-expansion/
https://www.swaayattrobots.com/,$4.00,,Autonomous Car Maker,Bhopal,10/06/2024,https://yourstory.com/2024/06/swaayatt-robots-autonomous-driving-startup-raised-4million-funding
https://www.skyeair.tech/,$4.00,Series A,Drone,Delhi,12/06/2024,https://entrackr.com/2024/06/drone-logistics-startup-skye-air-raises-4-mn-in-series-a-round/
https://www.credable.in/,$3.60,Debt,Fintech,Mumbai,12/06/2024,https://entrackr.com/2024/06/credable-raises-rs-30-cr-from-sidbi/
https://palettebrands.in/,$2.00,Pre-Series A,D2C Consumer Brands,Bengaluru,12/06/2024,https://entrackr.com/2024/06/d2c-brand-palette-brands-raises-2-mn-in-pre-series-a-round/
https://finsall.com/,$1.80,Bridge,Fintech - Insurance,Bengaluru,12/06/2024,https://entrackr.com/2024/06/finsall-raises-rs-15-cr-led-by-unicorn-india-ventures-and-seafund/
https://clapingo.com/,,,Edtech - English Language Learning,Delhi,11/06/2024,https://entrackr.com/2024/06/on-demand-english-tutoring-platform-clapingo-raises-pre-series-a-round/
