Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.iombio.com/,$0.47,12/06/2025,Bengaluru,Biotech,Seed,https://entrackr.com/snippets/iom-bioworks-raises-rs-4-cr-in-seed-round-led-by-ipv-9356438
https://leumasware.com/,$2.20,11/06/2025,Bengaluru,Manufacturing,Seed,https://entrackr.com/snippets/deeptech-manufacturing-startup-leumas-raises-22-mn-in-seed-round-9353444
https://www.powerup.money/,$7.10,11/06/2025,Bengaluru,Fintech - Investment,,https://entrackr.com/snippets/powerup-money-raises-71-mn-from-accel-blume-and-others-9353039
https://www.machaxi.com/,$1.50,11/06/2025,Bengaluru,Sports Tech,,https://entrackr.com/snippets/machaxi-raises-15-mn-from-rainmatter-prakash-padukone-others-9353316
https://www.flicktv.in/,$2.30,10/06/2025,Bengaluru,OTT,Seed,https://entrackr.com/snippets/flick-tv-raises-23-mn-in-seed-round-led-by-stellaris-ventures-9350145
https://roomstory.ai/,$0.35,09/06/2025,Gurugram,Interior Discovery,Pre-Seed,https://entrackr.com/snippets/interior-discovery-platform-roomstoryai-raises-pre-seed-round-led-by-rukam-sitara-fund-9347781
https://www.refyne.co.in/,$4.00,11/06/2025,Bengaluru,Fintech,Debt,https://inc42.com/buzz/exclusive-on-demand-salary-startup-refyne-bags-inr-35-cr-debt/
https://www.wowmomo.com/,$10.00,10/06/2025,Kolkata,QSR Brand,Debt,https://entrackr.com/snippets/wow-momo-raises-rs-85-cr-in-debt-from-stride-ventures-9351425
https://www.pehlejaisa.com/,$0.30,13/06/2025,Gurugram,Agritech,Pre-Series A,https://entrackr.com/snippets/pehle-jaisa-raises-300k-in-pre-series-a-round-9359940
https://flexiloans.com/,$12.00,12/06/2025,Mumbai,FIntech,Series C,https://entrackr.com/news/flexiloans-raises-rs-375-cr-in-extended-series-c-round-9352911
https://www.plutope.io/,$0.50,12/06/2025,Gurugram,Fintech,Pre-Seed,https://entrackr.com/snippets/defi-startup-plutope-raises-500k-in-pre-seed-round-9357153
https://kisah.in/,$1.52,12/06/2025,Kolkata,Clothing,Pre-Series A,https://entrackr.com/snippets/mens-ethnicwear-brand-kisah-secures-rs-13-cr-to-expand-offline-and-d2c-biz-9355545
https://cred.club/,$72.00,09/06/2025,Bengaluru,Fintech,,https://entrackr.com/news/cred-raises-72-mn-from-lathe-kunal-shahs-qed-and-others-9349417
http://www.vecmocon.com/,$18.00,09/06/2025,Delhi,EV,Series A,https://entrackr.com/snippets/vecmocon-raises-18-mn-in-series-a-round-led-by-eif-9348232
