Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.eruditus.com/,$150.00,,Edtech,Mumbai,11/09/2025,https://entrackr.com/news/eruditus-secures-150-mn-refinancing-amid-dry-edtech-funding-environment-10440866
https://www.globalbees.com/,$8.30,Series C,E-Commerce,Delhi,12/09/2025,https://entrackr.com/snippets/firstcry-injects-rs-73-cr-in-globalbees-raises-stake-to-5151-10445814
https://trufrost.com/,$7.00,,Manufacturing,Gurugram,08/09/2025,https://entrackr.com/snippets/trufrost-butler-raises-7-mn-from-carpediem-capital-10059879
https://indrajaal.in/,$5.50,Pre-Series  A,Defense Tech - Drone,Hyderabad,08/09/2025,https://inc42.com/buzz/exclusive-indrajaal-raises-inr-48-cr-to-scale-anti-drone-capabilities/
https://www.ziffichess.com/,$5.00,Series A,Mobile Gaming - Chess,Gurugram,08/09/2025,https://entrackr.com/exclusive/exclusive-ziffi-chess-raises-over-5-mn-led-by-tanglin-ventures-10059353
https://www.presolv360.com/,$4.70,,Online Dispute Resolution Platform,Mumbai,10/09/2025,https://entrackr.com/snippets/presolv360-raises-47-mn-led-by-elevation-capital-10067726
https://www.indigrid.co.in/,$4.00,,Electronics systems design and manufacturing,Mumbai,09/09/2025,https://entrackr.com/snippets/indigrid-raises-4-mn-led-by-cactus-venture-partners-10063654
https://store.embercookware.com/,$3.20,Seed,Cookware Brand,Bengaluru,11/09/2025,https://entrackr.com/snippets/cookware-brand-ember-raises-32-mn-chef-saransh-goila-joins-as-partner-10235912
https://worldofasaya.com/,$3.00,Pre-Series A,Skincare Brand,Bengaluru,10/09/2025,https://entrackr.com/snippets/asaya-raises-3-mn-in-pre-series-a-round-led-by-rpsg-capital-10068246
https://www.zunroof.com/,$2.85,,Solar Rooftop,Gurugram,12/09/2025,https://entrackr.com/exclusive/exclusive-zunroof-secures-fresh-funds-from-godrej-10452934
https://endureair.tech/,$2.85,,Drone,Noida,10/09/2025,https://entrackr.com/snippets/endureair-raises-285-mn-led-by-ian-alpha-fund-10068245
https://www.wehouse.in/,$2.80,Series A,Proptech,Hyderabad,11/09/2025,https://entrackr.com/snippets/prop-tech-startup-wehouse-raises-rs-25-cr-from-anthill-ventures-and-others-10441100
https://www.wehouse.in/,$2.80,Series A,Proptech,Hyderabad,11/09/2025,https://inc42.com/buzz/exclusive-wehouse-nets-inr-25-cr-to-streamline-home-construction/
https://snapecabs.com/,$2.50,,Electric Mobility,Kolkata,11/09/2025,https://entrackr.com/snippets/snap-e-cabs-raises-25-mn-in-bridge-round-led-by-ipv-10387917
BacAlt Biosciences,$2.00,Pre-Seed,Biotech,Bengaluru,11/09/2025,https://entrackr.com/snippets/bacalt-biosciences-raises-2-mn-in-pre-seed-round-led-by-avaana-capital-10229378
https://peakamp.in/,$1.37,Seed,EV Battery,Gurugram,12/09/2025,https://entrackr.com/snippets/peakamp-raises-137-mn-in-seed-round-led-by-caret-capital-10445869
https://www.farmdidi.com/,$0.79,Seed,D2C Pickle Brand,Pune,12/09/2025,https://entrackr.com/snippets/d2c-pickle-brand-farmdidi-raises-rs-7-cr-led-by-samved-ventures-10445947
https://prowrrap.com/,$0.45,Seed,B2B procurement platform for packaging materials,Delhi,09/09/2025,https://entrackr.com/snippets/b2b-procurement-startup-prowrrap-raises-rs-4-cr-in-seed-round-10064332
https://www.criontech.com/,$0.40,,AR/VR,Chennai,11/09/2025,https://entrackr.com/snippets/crion-technologies-raises-rs-35-cr-led-by-sig-tattva-10253147
https://www.biokraftfoods.com/,$0.23,Pre-Seed,Biotech,Mumbai,11/09/2025,https://entrackr.com/snippets/biokraft-raises-rs-2-cr-in-pre-seed-round-from-gvfl-10243848
https://www.traqcheck.com/,,,Enterprise AI Solutions for HR Teams,Delhi,09/09/2025,https://entrackr.com/snippets/traqcheck-raises-bridge-round-at-17-mn-valuation-10065607
