Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.rebelfoods.com/,$210.00,,Cloud Kitchen,Mumbai,12/12/2024,https://economictimes.indiatimes.com/tech/funding/temasek-leads-210-million-funding-in-rebel-foods/articleshow/116239414.cms?from=mdr
https://www.mintifi.com/,$180.00,Series E,Supply Chain Financing,Mumbai,10/12/2024,https://entrackr.com/news/mintifi-raises-180-mn-funding-at-850-mn-valuation-8425668
https://www.zetwerk.com/,$67.00,Series F,Manufacturing,Bengaluru,12/12/2024,https://entrackr.com/exclusive/exclusive-zetwerk-to-raise-67-mn-at-3-bn-valuation-8431785
https://www.haberwater.com/,$44.00,Series C,Robotics,Pune,10/12/2024,https://entrackr.com/news/b2b-robotics-maker-haber-raises-44-mn-in-series-c-round-8427155
https://www.solarsquare.in/,$40.00,Series B,Solar Energy,Mumbai,12/12/2024,https://entrackr.com/news/solarsquare-raises-40-mn-in-series-b-led-by-lightspeed-8431566
https://www.pixxel.space/,$24.00,Series B,Spacetech,Bengaluru,09/12/2024,https://entrackr.com/news/google-backed-spacetech-startup-pixxel-raises-24-mn-more-in-series-b-8342822
FirstClub,$18.00,Seed,Quick Commerce,Bengaluru,12/12/2024,https://economictimes.indiatimes.com/tech/funding/firstclub-of-former-cleartrip-ceo-ayyappan-raises-8-million-in-round-led-by-accel-rtp-global/articleshow/116221395.cms
https://snapmint.com/,$18.00,Debt + Equity,"Fintech - Buy Now, Pay Later",Mumbai,12/12/2024,https://www.moneycontrol.com/news/business/snapmint-secures-18-mn-in-a-mix-of-debt-and-equity-to-expand-its-no-cost-emi-platform-12888089.html
https://varthana.com/,$15.00,Debt,Fintech - NBFC,Bengaluru,09/12/2024,https://entrackr.com/snippets/nbfc-varthana-secures-15-mn-from-blueorchard-microfinance-fund-8326106
https://www.avantifinance.in/,$14.20,Series B,Fintech NBFC,Bengaluru,11/12/2024,https://inc42.com/buzz/nbfc-avanti-finance-nets-14-2-mn-to-expand-loan-book/
https://www.stage.in/,$10.00,Series B,OTT Platform,Noida,13/12/2024,https://entrackr.com/exclusive/exclusive-ott-app-stage-secures-10-mn-led-by-goodwater-capital-8436372
http://www.dcdc.co.in/,$10.00,Debt,Healthcare,Delhi,09/12/2024,https://entrackr.com/snippets/dcdc-health-services-raises-nearly-10-mn-from-bii-8326289
https://finxpert.org/,$6.00,,Edtech - Skilling,Mumbai,12/12/2024,https://economictimes.indiatimes.com/tech/funding/skilling-platform-finx-mops-up-6-million-in-round-led-by-elevar-equity/articleshow/116220716.cms
https://www.inkers.ai/,$3.00,Series A,Proptech,Bengaluru,13/12/2024,https://entrackr.com/snippets/proptech-startup-inkers-technology-raises-3-mn-in-series-a-round-8437404
https://www.culture-circle.com/,$2.00,Seed,E-Commerce - Sneakers,Gurugram,11/12/2024,https://inc42.com/buzz/exclusive-sneakers-focussed-marketplace-culture-circle-bags-2-mn/
https://sustainiam.com/,$1.45,Pre-Series A,Climate Tech,Bengaluru,10/12/2024,https://inc42.com/buzz/climate-tech-startup-sustainiam-bags-funding-from-orios/
https://www.netrasemi.com/,$1.20,Pre-Series A,Semiconductor,Thiruvananthapuram,10/12/2024,https://inc42.com/buzz/semicon-startup-netrasemi-bags-inr-10-cr-to-build-edge-ai-for-iot-products/
http://www.kreedology.com/,$1.18,Debt,Edtech,Bengaluru,10/12/2024,https://entrackr.com/snippets/kreedo-secures-rs-10-cr-debt-funding-from-recur-club-8415920
https://www.legitquest.com/,$0.60,,Legal-Tech,Delhi,11/12/2024,https://economictimes.indiatimes.com/tech/funding/legitquest-raises-660000-in-ongoing-round-from-existing-investors-infoedge-waterbridge-ventures/articleshow/116222381.cms
https://www.ev91riderz.com/,$0.59,Seed,EV,Bengaluru,13/12/2024,https://entrackr.com/snippets/ev-startup-voice-raises-seed-funding-round-8437948
https://savesage.club/,$0.29,Angel,Fintech - Loyalty Management,Gurugram,09/12/2024,https://entrackr.com/snippets/savesage-club-raises-angel-round-8331798
