Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.perfios.com/,$80.00,,SaaS - Fintech,Bengaluru,13/03/2024,https://entrackr.com/2024/03/perfios-turns-unicorn-with-80-mn-funding-from-teachers-venture/
https://lohum.com/,$54.00,Series B,Battery Recycling,Noida,13/03/2024,https://entrackr.com/2024/03/battery-tech-startup-lohum-raises-54-mn-in-series-b/
https://cureskin.com/,$20.00,Series B,AI - Healthcare,Bengaluru,13/03/2024,https://economictimes.indiatimes.com/tech/funding/dermatology-startup-cureskin-raises-20-million/articleshow/108468694.cms?from=mdr
https://blacksoil.co.in/,$12.00,,Fintech - Lending,Mumbai,11/03/2024,https://entrackr.com/2024/03/blacksoil-nbfc-raises-12-mn-equity-capital-from-existing-backers/
https://freed.care/,$7.50,Series A,Fintech - Debt Relief Platform,Gurugram,13/03/2024,https://economictimes.indiatimes.com/tech/funding/debt-relief-platform-freed-raises-7-5-million-in-funding-round-led-by-sorin-investments/articleshow/108471566.cms
https://www.clearpani.com/,$5.40,,Bottled Water Brand,Ahmedabad,14/03/2024,https://entrackr.com/2024/03/jm-financial-private-equity-invests-rs-45-cr-in-clear-premium-water/
https://kitesseniorcare.com/,$5.40,Series A,Healthcare,Bengaluru,14/03/2024,https://entrackr.com/2024/03/kites-senior-care-raises-rs-45-cr-in-series-a-round/
https://kimbal.io/,$5.00,,Smart Metering,Delhi,11/03/2024,https://economictimes.indiatimes.com/tech/funding/kimbal-technologies-raises-5-million-in-funding-round-led-by-niveshaay/articleshow/108399511.cms
https://www.sugarfit.com/,$5.00,Series A,Health and Wellness,Bengaluru,13/03/2024,https://entrackr.com/2024/03/sugar-fit-raises-5-mn-more-in-series-a-led-by-b-capital/
https://gobblecube.ai/,$1.90,Seed,AI - Brand Analytics,Gurugram,15/03/2024,https://entrackr.com/2024/03/gobblecube-raises-1-9-mn-in-seed-round-led-by-kae-capital/
https://fluidanalytics.ai/index.html,$1.60,Pre-Series A,AI - Cleantech,Pune,15/03/2024,https://entrackr.com/2024/03/fluid-analytics-raises-1-6-mn-in-pre-series-a-round/
https://www.fionadiamonds.com/,$0.72,Seed,E-Commerce - Labgrown Diamonds,Mumbai,12/03/2024,https://entrackr.com/2024/03/venture-catalysts-leads-seed-round-in-fiona-diamonds/
https://attronautomotive.com/,$0.57,Seed,EV - Motor and controller solutions,Pune,11/03/2024,https://entrackr.com/2024/03/anicut-and-vcats-lead-seed-round-in-attron-automotive/
https://pumpumpum.com/,$0.24,,Fintech - Mobility,Gurugram,14/03/2024,https://entrackr.com/2024/03/mobility-startup-pumpumpum-raises-rs-2-cr-led-by-ipv/
https://thequorumclub.com/,,Pre-Series A,Hospitality,Gurugram,12/03/2024,https://entrackr.com/2024/03/nikhil-kamath-backed-gruhas-picks-up-5-stake-in-the-quorum-club/
