Company,Amount ($M),Date,HQ,Sector,Series,Source
https://attronautomotive.com/,$0.57,11/03/2024,Pune,EV - Motor and controller solutions,Seed,https://entrackr.com/2024/03/anicut-and-vcats-lead-seed-round-in-attron-automotive/
https://cureskin.com/,$20.00,13/03/2024,Bengaluru,AI - Healthcare,Series B,https://economictimes.indiatimes.com/tech/funding/dermatology-startup-cureskin-raises-20-million/articleshow/108468694.cms?from=mdr
https://pumpumpum.com/,$0.24,14/03/2024,Gurugram,Fintech - Mobility,,https://entrackr.com/2024/03/mobility-startup-pumpumpum-raises-rs-2-cr-led-by-ipv/
https://kimbal.io/,$5.00,11/03/2024,Delhi,Smart Metering,,https://economictimes.indiatimes.com/tech/funding/kimbal-technologies-raises-5-million-in-funding-round-led-by-niveshaay/articleshow/108399511.cms
https://freed.care/,$7.50,13/03/2024,Gurugram,Fintech - Debt Relief Platform,Series A,https://economictimes.indiatimes.com/tech/funding/debt-relief-platform-freed-raises-7-5-million-in-funding-round-led-by-sorin-investments/articleshow/108471566.cms
https://www.sugarfit.com/,$5.00,13/03/2024,Bengaluru,Health and Wellness,Series A,https://entrackr.com/2024/03/sugar-fit-raises-5-mn-more-in-series-a-led-by-b-capital/
https://gobblecube.ai/,$1.90,15/03/2024,Gurugram,AI - Brand Analytics,Seed,https://entrackr.com/2024/03/gobblecube-raises-1-9-mn-in-seed-round-led-by-kae-capital/
https://lohum.com/,$54.00,13/03/2024,Noida,Battery Recycling,Series B,https://entrackr.com/2024/03/battery-tech-startup-lohum-raises-54-mn-in-series-b/
https://www.fionadiamonds.com/,$0.72,12/03/2024,Mumbai,E-Commerce - Labgrown Diamonds,Seed,https://entrackr.com/2024/03/venture-catalysts-leads-seed-round-in-fiona-diamonds/
https://blacksoil.co.in/,$12.00,11/03/2024,Mumbai,Fintech - Lending,,https://entrackr.com/2024/03/blacksoil-nbfc-raises-12-mn-equity-capital-from-existing-backers/
https://thequorumclub.com/,,12/03/2024,Gurugram,Hospitality,Pre-Series A,https://entrackr.com/2024/03/nikhil-kamath-backed-gruhas-picks-up-5-stake-in-the-quorum-club/
https://fluidanalytics.ai/index.html,$1.60,15/03/2024,Pune,AI - Cleantech,Pre-Series A,https://entrackr.com/2024/03/fluid-analytics-raises-1-6-mn-in-pre-series-a-round/
https://kitesseniorcare.com/,$5.40,14/03/2024,Bengaluru,Healthcare,Series A,https://entrackr.com/2024/03/kites-senior-care-raises-rs-45-cr-in-series-a-round/
https://www.clearpani.com/,$5.40,14/03/2024,Ahmedabad,Bottled Water Brand,,https://entrackr.com/2024/03/jm-financial-private-equity-invests-rs-45-cr-in-clear-premium-water/
https://www.perfios.com/,$80.00,13/03/2024,Bengaluru,SaaS - Fintech,,https://entrackr.com/2024/03/perfios-turns-unicorn-with-80-mn-funding-from-teachers-venture/
