Company,Amount ($M),Series,Sector,HQ,Date,Source
https://zolve.com/,$251.00,Series B,Crossborder Neobanking,Bengaluru,11/03/2025,https://entrackr.com/news/neobanking-startup-zolve-raises-251-mn-in-series-b-round-8843977
https://www.purplestylelabs.com/,$40.00,Series E,Fashion Retail,Mumbai,13/03/2025,https://entrackr.com/news/purple-style-labs-raises-40-mn-in-series-e-funding-8849479
https://www.scimplify.com/,$40.00,Series B,Specialty Chemicals,Bengaluru,12/03/2025,https://entrackr.com/news/specialty-chemicals-startup-scimplify-raises-40-mn-in-series-b-round-8847517
https://rangsonsaerospace.com/,$36.50,,Aerospace,Mysore,13/03/2025,https://entrackr.com/snippets/rangsons-aerospace-raises-rs-300-cr-led-by-valuequest-8849243
https://www.infinite-uptime.com/,$35.00,Series C,IoT,Pune,11/03/2025,https://entrackr.com/news/infinite-uptime-raises-35-mn-in-series-c-round-8841757
https://www.giva.co/,$11.70,,D2C Jewellery Brand,Bengaluru,10/03/2025,https://inc42.com/buzz/exclusive-giva-funding-d2c-jewellery-brand-raises-inr-102-cr-to-open-new-stores/
https://amperehourenergy.com/,$5.00,,Energy Storage,Pune,12/03/2025,https://entrackr.com/snippets/energy-storage-startup-amperehour-raises-5-mn-8845730
https://www.gostops.com/,$4.20,Series A,Hospitality - Hostel Brand,Delhi,11/03/2025,https://entrackr.com/snippets/gostops-bags-rs-35-cr-in-series-a-round-led-by-blume-ventures-8841407
https://felicitygames.com/,$3.00,Seed,Gaming,Bengaluru,11/03/2025,https://entrackr.com/snippets/3one4-capital-leads-3-mn-round-in-felicity-games-8842082
https://ambitio.club/,$2.00,Seed,Edtech - Admissions,Bengaluru,11/03/2025,https://entrackr.com/snippets/admission-startup-ambitio-raises-2-mn-in-seed-round-8842295
https://www.allohealth.care/,$1.83,Pre-Series A,Healthcare,Bengaluru,12/03/2025,https://entrackr.com/snippets/allo-health-raises-rs-16-cr-in-pre-series-a-round-8846048
https://yenmo.in/,$1.05,,Fintech - Investment Platform,Bengaluru,10/03/2025,https://entrackr.com/snippets/yenmo-raises-rs-92-cr-led-by-y-combinator-8839320
,,,,,,
https://weskill.co.in/,,Pre-Seed,Edtech - Upskilling,Gurugram,12/03/2025,https://entrackr.com/snippets/upskilling-platform-weskill-raises-pre-seed-round-8845993
