Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.zeptonow.com/,$665.00,Series F,"E-Commerce - Quick Commerce, Grocery Delivery",Mumbai,20/06/2024,https://entrackr.com/2024/06/quick-commerce-zepto-raises-665-mn-at-3-6-bn-valuation/
https://ummeedhfc.com/en,$76.00,Series F,Fintech - Lending,Gurugram,19/06/2024,https://economictimes.indiatimes.com/markets/stocks/news/ummeed-housing-finance-raises-rs-630-cr-equity/articleshow/111099046.cms
https://www.ayefin.com/,$30.00,Debt,Fintech - SME Lending,Gurugram,19/06/2024,https://entrackr.com/2024/06/aye-finance-raises-30-mn-in-debt-from-fmo/
https://bira91.com/,$25.00,,Beer Brand,Delhi,18/06/2024,https://entrackr.com/2024/06/bira-91-closes-50-mn-round-from-kirin-holdings-and-tiger-pacific/
https://wrogn.com/,$15.00,,E-Commerce - D2C Fashion Brand,Bengaluru,19/06/2024,https://entrackr.com/2024/06/aditya-birlas-tmrw-invests-15-mn-in-virat-kohli-backed-wrogn/
https://www.alyve.health/,$5.50,Series A,Healthtech,Mumbai,18/06/2024,https://entrackr.com/2024/06/alyve-health-raises-5-5-mn-in-series-a-round/
https://www.aviom.in/,$5.00,Debt,Fintech - Lending,Delhi,19/06/2024,https://inc42.com/buzz/aviom-housing-finance-raises-5-mn-debt-from-insuresilience-investment-fund/
https://pantproject.com/,$4.25,Series A,E-Commerce - D2C Fashion Brand,Mumbai,19/06/2024,https://entrackr.com/2024/06/d2c-fashion-brand-the-pant-project-raises-4-25-mn-in-series-a/
https://www.supermoney.in/#/,$3.40,Series A,Fintech - Lending,Mumbai,19/06/2024,https://entrackr.com/2024/06/supermoney-raises-3-4-mn-in-series-a-round/
https://www.distil.market/,$3.10,Seed,Specialty Chemicals,Mumbai,21/06/2024,https://entrackr.com/2024/06/distil-raises-3-1-mn-led-by-jungle-ventures-and-india-quotient/
https://jupiter.money/,$2.40,,Fintech,Mumbai,21/06/2024,https://inc42.com/buzz/jupiter-raises-inr-20-cr-from-peak-xv-matrix-others-for-nbfc-arm-amica-finance/
https://popclub.co/,$2.40,Seed,Fintech,Bengaluru,19/06/2024,https://entrackr.com/2024/06/fintech-startup-pop-raises-2-4-mn-led-by-india-quotient/
https://unikon.ai/,$2.00,,Social Media and Networking,Gurugram,20/06/2024,https://entrackr.com/2024/06/bellavita-co-founder-aakash-anand-raises-2-mn-for-his-new-venture-unikon-ai/
https://eumeworld.com/,$1.80,Seed,E-Commerce - D2C Luggage Brand,Mumbai,21/06/2024,https://entrackr.com/2024/06/luggage-brand-eume-raises-rs-15-cr-in-new-round/
https://www.prosperr.io/,$1.55,Pre-Seed,Fintech - SaaS,Bengaluru,17/06/2024,https://entrackr.com/2024/06/prosperr-io-raises-1-55-mn-in-pre-seed-round-led-by-gokul-rajaram/
https://getayna.com/,$1.50,Seed,Generative AI,Bengaluru,18/06/2024,https://entrackr.com/2024/06/generative-ai-startup-ayna-secures-1-5-mn-in-seed-round/
https://www.greylabs.ai/,$1.50,Seed,Generative AI - Speech Analytics,Mumbai,18/06/2024,https://entrackr.com/2024/06/speech-analytics-startup-greylabs-ai-raises-over-1-5-mn-led-by-matrix/
https://letsgozero.in/,$1.50,Pre-Series A,E-Commerce -Ice Cream Brand,Mumbai,19/06/2024,https://entrackr.com/2024/06/ice-cream-brand-go-zero-raises-1-5-mn/
https://worldofasaya.com/,$1.50,Seed,E-Commerce - D2C Beauty Brand,Bengaluru,20/06/2024,https://entrackr.com/2024/06/beauty-brand-asaya-raises-1-5-mn-from-otp-ventures-and-others/
https://metisintel.in/,$0.16,,AI,Ahmedabad,20/06/2024,https://entrackr.com/2024/06/metis-raises-rs-1-3-cr-led-by-inflection-point-ventures/
https://www.landeed.com/,,,Proptech,Hyderabad,18/06/2024,https://entrackr.com/2024/06/y-combinator-backed-proptech-startup-landeed-raises-strategic-funding/
