Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.wiom.in/,$35.00,,Telecom,Delhi,18/06/2025,https://inc42.com/buzz/exclusive-telecom-startup-wiom-raises-35-mn-in-round-led-by-accel-prosus/
https://www.spinny.com/,$30.00,Series F,Used car marketplace,Gurugram,16/06/2025,https://entrackr.com/exclusive/exclusive-spinny-receives-30-mn-from-westbridge-9367136
https://clrservices.com/,$15.00,,Facility Management,Pune,18/06/2025,https://entrackr.com/snippets/clr-facility-services-raises-15-mn-from-bii-9373271
https://www.techfino.in/,$7.50,,Fintech - NBFC,Bengaluru,18/06/2025,https://entrackr.com/snippets/techfino-raises-rs-65-cr-from-stellaris-saison-capital-9373005
https://okinawascooters.com/,$7.00,,EV,Gurugram,19/06/2025,https://entrackr.com/exclusive/exclusive-okinawa-secures-7-mn-from-existing-investor-9376298
https://obenelectric.com/,$6.00,Extended Series A,EV,Bengaluru,18/06/2025,https://entrackr.com/snippets/oben-electric-closes-rs-100-cr-series-a-round-9373375
https://www.saswatfinance.com/,$2.60,Pre-Series A,Fintech - Lending,Mumbai,17/06/2025,https://entrackr.com/snippets/saswat-finance-raises-26-mn-led-by-ankur-capital-9369946
Eyewear Design and Labs,$2.20,Seed,Eyewear,Bengaluru,18/06/2025,https://inc42.com/buzz/ex-unacademy-cbo-abhinav-agarwals-new-eyewear-startup-raises-2-2-mn/
https://www.darwix.ai/,$1.50,Seed,GenAI for Enterprise Sales,Gurugram,17/06/2025,https://entrackr.com/snippets/darwix-ai-raises-15-mn-in-seed-funding-round-9370903
https://www.seven.ooo/,$0.46,Pre-Series A,Consumer Electronics - Payments,Mumbai,18/06/2025,https://entrackr.com/snippets/venture-catalysts-leads-pre-series-a-round-in-payment-ring-startup-seven-9374111
https://www.nuvie.co.in/,$0.45,Pre-Seed,F&B,Bengaluru,16/06/2025,https://entrackr.com/snippets/fb-startup-nuvie-raises-450k-in-pre-seed-round-led-by-pedalstart-9367474
,,,,,,
