Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.wiom.in/,$35.00,18/06/2025,Delhi,Telecom,,https://inc42.com/buzz/exclusive-telecom-startup-wiom-raises-35-mn-in-round-led-by-accel-prosus/
https://obenelectric.com/,$6.00,18/06/2025,Bengaluru,EV,Extended Series A,https://entrackr.com/snippets/oben-electric-closes-rs-100-cr-series-a-round-9373375
https://okinawascooters.com/,$7.00,19/06/2025,Gurugram,EV,,https://entrackr.com/exclusive/exclusive-okinawa-secures-7-mn-from-existing-investor-9376298
https://www.spinny.com/,$30.00,16/06/2025,Gurugram,Used car marketplace,Series F,https://entrackr.com/exclusive/exclusive-spinny-receives-30-mn-from-westbridge-9367136
Eyewear Design and Labs,$2.20,18/06/2025,Bengaluru,Eyewear,Seed,https://inc42.com/buzz/ex-unacademy-cbo-abhinav-agarwals-new-eyewear-startup-raises-2-2-mn/
https://clrservices.com/,$15.00,18/06/2025,Pune,Facility Management,,https://entrackr.com/snippets/clr-facility-services-raises-15-mn-from-bii-9373271
https://www.nuvie.co.in/,$0.45,16/06/2025,Bengaluru,F&B,Pre-Seed,https://entrackr.com/snippets/fb-startup-nuvie-raises-450k-in-pre-seed-round-led-by-pedalstart-9367474
https://www.saswatfinance.com/,$2.60,17/06/2025,Mumbai,Fintech - Lending,Pre-Series A,https://entrackr.com/snippets/saswat-finance-raises-26-mn-led-by-ankur-capital-9369946
https://www.seven.ooo/,$0.46,18/06/2025,Mumbai,Consumer Electronics - Payments,Pre-Series A,https://entrackr.com/snippets/venture-catalysts-leads-pre-series-a-round-in-payment-ring-startup-seven-9374111
https://www.techfino.in/,$7.50,18/06/2025,Bengaluru,Fintech - NBFC,,https://entrackr.com/snippets/techfino-raises-rs-65-cr-from-stellaris-saison-capital-9373005
https://www.darwix.ai/,$1.50,17/06/2025,Gurugram,GenAI for Enterprise Sales,Seed,https://entrackr.com/snippets/darwix-ai-raises-15-mn-in-seed-funding-round-9370903
,,,,,,
