Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.pw.live/,$210.00,Series B,Edtech,Noida,20/09/2024,https://entrackr.com/2024/09/physics-wallah-raises-210-mn-in-series-b-valuation-soars-to-2-8-bn/
https://redcliffelabs.com/?wpsrc=Google+Organic+Search,$42.00,Series C,Diagnostics Service Provider,Noida,17/09/2024,https://entrackr.com/2024/09/redcliffe-labs-raises-42-mn-in-series-c-round/
https://www.ayefin.com/,$30.00,Series G,Lending,Gurugram,20/09/2024,https://entrackr.com/2024/09/aye-finance-raises-30-mn-in-series-g-round/
http://www.bigbangboom.com/,$30.00,,Defense,Chennai,20/09/2024,https://inc42.com/buzz/big-bang-boom-pockets-30-mn-to-boost-its-anti-drone-tech-playbook/
https://everestfleet.com/,$30.00,Series C,Mobility,Thane,19/09/2024,https://entrackr.com/2024/09/exclusive-uber-invests-30-mn-in-everest-fleet-at-425-mn-valuation/
https://www.way2news.com/,$14.00,Series B,Hyperlocal News Platform,Hyderabad,17/09/2024,https://entrackr.com/2024/09/way2news-raises-14-mn-in-series-b-led-by-westbridge/
https://www.kaleidofin.com/,$13.50,,Fintech,Chennai,18/09/2024,https://entrackr.com/2024/09/kaleidofin-raises-13-8-mn-led-by-rabo-partnerships/
https://www.dailyobjects.com/,$10.00,Series B,D2C Lifestyle,Gurugram,18/09/2024,https://inc42.com/buzz/d2c-lifestyle-startup-dailyobjects-bags-10-mn-to-fuel-its-manufacturing-offline-play/
https://vahan.co/,$10.00,Series B,Blue collar recruitment platform,Bengaluru,19/09/2024,https://entrackr.com/2024/09/blue-collar-recruitment-platform-vahan-raises-10-mn-in-series-b/
https://nowpurchase.com/,$6.00,,SaaS-enabled marketplace,Kolkata,19/09/2024,https://entrackr.com/2024/09/nowpurchase-raises-6-mn-led-by-info-edge-ventures-others/
https://altiushub.com/,$2.25,Seed,SaaS,Hyderabad,18/09/2024,https://entrackr.com/2024/09/altiushub-raises-2-25-mn-led-by-endiya-partners/
https://www.bluecopa.com/,$1.80,Pre-Series A,Finance Operations,Hyderabad,18/09/2024,https://entrackr.com/2024/09/bluecopa-raises-1-8-mn-in-pre-series-a-round/
https://www.billionhearts.co/,$0.25,Pre-Seed,,,18/09/2024,https://entrackr.com/2024/09/koo-co-founder-mayank-bidawatka-finalizes-pre-seed-for-new-startup/
https://www.bookmybai.com/,$0.24,Pre-Series A,Marketplace for maids,Mumbai,19/09/2024,https://entrackr.com/2024/09/bookmybai-raises-rs-2-cr-in-pre-series-a-round-led-by-ipv/
https://www.kaatil.in/,,Seed,Hot Sauce Brand,Mumbai,17/09/2024,https://entrackr.com/2024/09/condiments-brand-kaatil-raises-seed-round/
https://venttup.com/,,Seed,B2B Engineering Services Marketplace,Bengaluru,16/09/2024,https://entrackr.com/2024/09/venttup-raises-seed-funding-from-unicorn-india-venture/
