Company,Amount ($M),Date,HQ,Sector,Series,Source
https://venttup.com/,,16/09/2024,Bengaluru,B2B Engineering Services Marketplace,Seed,https://entrackr.com/2024/09/venttup-raises-seed-funding-from-unicorn-india-venture/
http://www.bigbangboom.com/,$30.00,20/09/2024,Chennai,Defense,,https://inc42.com/buzz/big-bang-boom-pockets-30-mn-to-boost-its-anti-drone-tech-playbook/
https://redcliffelabs.com/?wpsrc=Google+Organic+Search,$42.00,17/09/2024,Noida,Diagnostics Service Provider,Series C,https://entrackr.com/2024/09/redcliffe-labs-raises-42-mn-in-series-c-round/
https://www.kaleidofin.com/,$13.50,18/09/2024,Chennai,Fintech,,https://entrackr.com/2024/09/kaleidofin-raises-13-8-mn-led-by-rabo-partnerships/
https://altiushub.com/,$2.25,18/09/2024,Hyderabad,SaaS,Seed,https://entrackr.com/2024/09/altiushub-raises-2-25-mn-led-by-endiya-partners/
https://www.dailyobjects.com/,$10.00,18/09/2024,Gurugram,D2C Lifestyle,Series B,https://inc42.com/buzz/d2c-lifestyle-startup-dailyobjects-bags-10-mn-to-fuel-its-manufacturing-offline-play/
https://everestfleet.com/,$30.00,19/09/2024,Thane,Mobility,Series C,https://entrackr.com/2024/09/exclusive-uber-invests-30-mn-in-everest-fleet-at-425-mn-valuation/
https://www.billionhearts.co/,$0.25,18/09/2024,,,Pre-Seed,https://entrackr.com/2024/09/koo-co-founder-mayank-bidawatka-finalizes-pre-seed-for-new-startup/
https://vahan.co/,$10.00,19/09/2024,Bengaluru,Blue collar recruitment platform,Series B,https://entrackr.com/2024/09/blue-collar-recruitment-platform-vahan-raises-10-mn-in-series-b/
https://www.bookmybai.com/,$0.24,19/09/2024,Mumbai,Marketplace for maids,Pre-Series A,https://entrackr.com/2024/09/bookmybai-raises-rs-2-cr-in-pre-series-a-round-led-by-ipv/
https://www.pw.live/,$210.00,20/09/2024,Noida,Edtech,Series B,https://entrackr.com/2024/09/physics-wallah-raises-210-mn-in-series-b-valuation-soars-to-2-8-bn/
https://nowpurchase.com/,$6.00,19/09/2024,Kolkata,SaaS-enabled marketplace,,https://entrackr.com/2024/09/nowpurchase-raises-6-mn-led-by-info-edge-ventures-others/
https://www.ayefin.com/,$30.00,20/09/2024,Gurugram,Lending,Series G,https://entrackr.com/2024/09/aye-finance-raises-30-mn-in-series-g-round/
https://www.kaatil.in/,,17/09/2024,Mumbai,Hot Sauce Brand,Seed,https://entrackr.com/2024/09/condiments-brand-kaatil-raises-seed-round/
https://www.bluecopa.com/,$1.80,18/09/2024,Hyderabad,Finance Operations,Pre-Series A,https://entrackr.com/2024/09/bluecopa-raises-1-8-mn-in-pre-series-a-round/
https://www.way2news.com/,$14.00,17/09/2024,Hyderabad,Hyperlocal News Platform,Series B,https://entrackr.com/2024/09/way2news-raises-14-mn-in-series-b-led-by-westbridge/
