Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.finbox.in/,$40.00,Series B,B2B Fintech SaaS,Bengaluru,17/09/2025,https://inc42.com/buzz/finbox-raises-40-mn-to-scale-b2b-credit-infrastructure/
https://www.incredmoney.com/,$30.00,,Fintech - Digital Lending,Mumbai,16/09/2025,https://inc42.com/buzz/incred-money-raises-inr-250-cr-at-inr-1650-cr-valuation/
https://indkal.com/,$20.00,,Consumer Electronics,Bengaluru,16/09/2025,https://inc42.com/buzz/indkal-nets-20-mn-for-expansion-of-its-smart-tv-brand-wobble/
https://ecosoulhome.in/?srsltid=AfmBOorY7yzH2UA9yZjFR8AAzKVt70uD5CqykVHrhg__tUNXJuk9bIRO,$20.00,Series B,D2C Home Essentials Brand,Noida,17/09/2025,https://inc42.com/buzz/ecosoul-raises-20-mn-to-offer-sustainable-homeware-products/
https://www.rebelfoods.com/,$17.00,Debt,Foodtech,Mumbai,17/09/2025,https://entrackr.com/exclusive/exclusive-rebel-foods-raises-rs-150-cr-debt-from-alteria-and-innoven-10473113
https://www.lucirajewelry.com/,$5.50,Seed,Lab-grown diamond jewellery,Mumbai,17/09/2025,https://entrackr.com/snippets/lab-grown-diamond-jewellery-startup-lucira-raises-55-mn-10472259
http://www.spacefields.in/,$5.00,Pre-Series A,Defense,Bengaluru,19/09/2025,https://entrackr.com/snippets/spacefields-raises-5-mn-in-pre-series-a-round-10479540
https://pelocal.com/,$5.00,Series A,Fintech,Chennai,16/09/2025,https://entrackr.com/snippets/fintech-startup-pelocal-secures-5-mn-in-series-a-funding-10469141
https://idodevices.com/,$4.00,,Consumer Electronics,Noida,16/09/2025,https://inc42.com/buzz/consumer-electronics-startup-ido-devices-bags-4-mn-from-blume-merak-ventures/
https://finalyzer.ai/,$4.00,Series A,IT product enterprise,Bengaluru,16/09/2025,https://entrackr.com/snippets/beyondsquare-raises-4-mn-in-series-a-led-by-avant-global-10468922
https://www.pascalailabs.com/,$3.10,Seed,Fintech-focussed AI SaaS,Bengaluru,15/09/2025,https://inc42.com/buzz/pascal-ai-raises-3-1-mn-from-kalaari-info-edge-ventures-to-automate-investment-research/
https://www.equilibriumearth.com/,$3.00,,Climate Tech,Bengaluru,19/09/2025,https://entrackr.com/snippets/equilibrium-raises-3-mn-from-kalaari-avaana-and-peak-xv-10478460
https://supplysix.com/,$1.10,Seed,D2C Nutrition Brand,Bengaluru,17/09/2025,https://entrackr.com/snippets/supply6-raises-11-mn-in-seed-round-led-by-zeropearl-vc-10473465
https://playsuper.club/,$1.00,Seed,Gaming,Gurugram,17/09/2025,https://entrackr.com/snippets/playsuper-raises-1-mn-in-seed-round-led-by-singapore-based-chimera-10472060
https://www.mynaksh.com/,$0.85,Pre-Seed,Astrology,Bengaluru,15/09/2025,https://entrackr.com/snippets/astrotech-startup-mynaksh-raises-rs-75-cr-led-by-eximius-ventures-10465510
https://uknowva.com/,$0.50,Pre-Series A,HR Tech,Mumbai,16/09/2025,https://entrackr.com/snippets/uknowva-raises-05-mn-in-pre-series-a-round-10469229
https://www.genovationsolutions.com/,$0.15,Pre-Seed,Deeptech,Kolkata,16/09/2025,https://entrackr.com/snippets/genovation-solutions-raises-150k-in-pre-seed-round-10469902
https://www.rapteehv.com/,,,EV,Chennai,18/09/2025,https://inc42.com/buzz/ev-startup-raptee-bags-funding-from-technology-development-board/
