Company,Amount ($M),Series,Sector,HQ,Date,Source
https://bizom.com/,$12.00,Series B,Retail Intelligence Platform,Bengaluru,18/12/2024,https://entrackr.com/snippets/pavestone-leads-12-mn-series-b-round-in-bizom-8449556
https://www.zingbus.com/,$9.00,Series A,Intercity bus service,Gurugram,17/12/2024,https://yourstory.com/2024/12/bp-ventures-invests-9m-intercity-ev-electric-bus-startup-zingbus
https://seekho.in/,$8.00,Series A,Educational OTT,Bengaluru,17/12/2024,https://entrackr.com/news/seekho-app-raises-8-mn-in-series-a-led-by-lightspeed-8448531
https://www.hostbooks.com/,$5.00,Series B,"SaaS ",Gurugram,16/12/2024,https://inc42.com/buzz/accounting-startup-hostbooks-bags-5-mn-to-expand-its-ai-product-suite/
https://quidcash.in/,$4.50,Pre-Series A,Fintech,Bengaluru,19/12/2024,https://entrackr.com/snippets/fintech-startup-quid-cash-raises-45-mn-in-pre-series-a-round-8496056
https://www.zunroof.com/,$2.35,,Solar Energy,Gurugram,19/12/2024,https://inc42.com/buzz/zunroof-bags-inr-20-cr-to-offer-rooftop-solar-solutions/
https://quanfluence.com/,$2.00,Seed,Computer Hardware,Bengaluru,18/12/2024,https://entrackr.com/snippets/pi-ventures-leads-2-mn-seed-round-in-quanfluence-8449685
https://www.curie.money/,$1.20,Seed,Fintech,Bengaluru,19/12/2024,https://entrackr.com/snippets/fintech-startup-curie-money-raises-12-mn-in-seed-round-8495734
https://fitsol.green/,$1.00,Seed,Climate Tech,Gurugram,19/12/2024,https://entrackr.com/snippets/climate-tech-startup-fitsol-raises-1-mn-in-seed-round-8504199
https://www.resilience360.ai/,$1.00,Seed,Climate Tech,Gurugram,18/12/2024,https://entrackr.com/snippets/climate-tech-startup-resilience-ai-bags-1-mn-in-seed-round-8447216
https://fibroheal.com/,$0.74,Pre-Series A,Healthcare,Bengaluru,16/12/2024,https://entrackr.com/snippets/healthtech-startup-fibroheal-woundcare-raises-rs-63-cr-in-pre-series-a-8443450
https://mbgcard.in/,$0.32,,SaaS,Pune,19/12/2024,https://entrackr.com/snippets/saas-startup-mbg-card-raises-rs-272-cr-led-by-ipv-8496935
https://www.crown.vet/,,,Healthcare,Mumbai,17/12/2024,https://entrackr.com/snippets/mars-veterinary-health-invests-in-crown-vet-8446837
