Company,Amount ($M),Series,Sector,HQ,Date,Source
https://pocketfm.com/,$103.00,Series D,OTT Audio,Gurugram,20/03/2024,https://entrackr.com/2024/03/pocket-fm-raises-103-mn-in-series-d-round/
https://www.ultrahuman.com/,$35.00,Series B + Debt,Healthtech,Bengaluru,20/03/2024,https://entrackr.com/2024/03/ultrahuman-raises-35-mn-in-series-b-round/
https://goodglamm.com/,$30.00,,E-Commerce - Beauty and Personalcare,Delhi,18/03/2024,https://entrackr.com/2024/03/exclusive-the-good-glamm-group-raises-30-mn-in-a-new-round/
https://jumbotail.com/,$18.20,Series C,B2B E-Commerce,Bengaluru,18/03/2024,https://entrackr.com/2024/03/jumbotail-raises-18-2-mn-in-series-c3-round-2/
https://www.subko.coffee/,$10.00,Series B,Coffee brand,Mumbai,22/03/2024,https://entrackr.com/2024/03/exclusive-subko-coffee-raises-rs-80-cr-led-by-nksquared/
https://optimoloan.com/,$10.00,Seed,Fintech - Lending,Bengaluru,20/03/2024,https://entrackr.com/2024/03/optimo-loan-raises-10-mn-seed-in-round/
https://liquidnitro.games/,$5.25,Seed,Gaming,Hyderabad,20/03/2024,https://entrackr.com/2024/03/liquidnitro-games-raises-5-25-mn-led-by-nexus-venture-partners/
https://www.brijhotels.com/,$4.00,Series A,Hospitality,Delhi,19/03/2024,https://entrackr.com/2024/03/brij-hotels-raises-4-mn-in-series-a-funding-round/
https://www.sprih.com/,$3.00,Seed,Climatetech,Pune,19/03/2024,https://entrackr.com/2024/03/sprih-raises-3-mn-in-seed-round-led-by-leo-capital/
https://www.procmart.com/,$3.00,Pre-Series B,E-Commerce - B2B,Noida,22/03/2024,https://entrackr.com/2024/03/procmart-raises-rs-25-cr-in-pre-series-b-round/
https://www.sufinn.com/,$3.00,,Fintech - Lending,Delhi,20/03/2024,https://economictimes.indiatimes.com/tech/funding/non-bank-lender-sugmya-finance-raises-3-million-from-existing-investors/articleshow/108649894.cms
https://www.beatoven.ai/,$1.30,Pre-Series A,AI - Music,Bengaluru,18/03/2024,https://entrackr.com/2024/03/ai-music-startup-beatoven-ai-raises-1-3-mn-in-pre-series-a/
https://www.vobble.fun/,$1.00,Seed,OTT Audio,Bengaluru,19/03/2024,https://entrackr.com/2024/03/audio-platform-vobble-raises-seed-round-led-by-lumikai/
https://www.relso.today/,$0.84,Pre-Seed,Furniture Manufacturing,Bengaluru,19/03/2024,https://entrackr.com/2024/03/relso-raises-840k-in-pre-seed-round-led-by-venture-catalysts-ipv/
https://yenmo.in/,$0.50,Seed,Fintech - Lending,Bengaluru,22/03/2024,https://economictimes.indiatimes.com/tech/funding/fintech-startup-yenmo-secures-500000-in-funding-round-led-by-y-combinator/articleshow/108708045.cms
https://www.bullagritech.in/,$0.10,,Agritech,Ahmedabad,20/03/2024,https://entrackr.com/2024/03/agri-supply-chain-startup-bull-agritech-raises-100k/
https://bnzgreen.io/,$0.10,Pre-Seed,Blockchain - Climatetech,Mumbai,18/03/2024,https://entrackr.com/2024/03/climatetech-startup-bnz-green-secures-100k-in-pre-seed-round/
