Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.relso.today/,$0.84,19/03/2024,Bengaluru,Furniture Manufacturing,Pre-Seed,https://entrackr.com/2024/03/relso-raises-840k-in-pre-seed-round-led-by-venture-catalysts-ipv/
https://optimoloan.com/,$10.00,20/03/2024,Bengaluru,Fintech - Lending,Seed,https://entrackr.com/2024/03/optimo-loan-raises-10-mn-seed-in-round/
https://goodglamm.com/,$30.00,18/03/2024,Delhi,E-Commerce - Beauty and Personalcare,,https://entrackr.com/2024/03/exclusive-the-good-glamm-group-raises-30-mn-in-a-new-round/
https://www.bullagritech.in/,$0.10,20/03/2024,Ahmedabad,Agritech,,https://entrackr.com/2024/03/agri-supply-chain-startup-bull-agritech-raises-100k/
https://jumbotail.com/,$18.20,18/03/2024,Bengaluru,B2B E-Commerce,Series C,https://entrackr.com/2024/03/jumbotail-raises-18-2-mn-in-series-c3-round-2/
https://bnzgreen.io/,$0.10,18/03/2024,Mumbai,Blockchain - Climatetech,Pre-Seed,https://entrackr.com/2024/03/climatetech-startup-bnz-green-secures-100k-in-pre-seed-round/
https://www.vobble.fun/,$1.00,19/03/2024,Bengaluru,OTT Audio,Seed,https://entrackr.com/2024/03/audio-platform-vobble-raises-seed-round-led-by-lumikai/
https://yenmo.in/,$0.50,22/03/2024,Bengaluru,Fintech - Lending,Seed,https://economictimes.indiatimes.com/tech/funding/fintech-startup-yenmo-secures-500000-in-funding-round-led-by-y-combinator/articleshow/108708045.cms
https://liquidnitro.games/,$5.25,20/03/2024,Hyderabad,Gaming,Seed,https://entrackr.com/2024/03/liquidnitro-games-raises-5-25-mn-led-by-nexus-venture-partners/
https://www.procmart.com/,$3.00,22/03/2024,Noida,E-Commerce - B2B,Pre-Series B,https://entrackr.com/2024/03/procmart-raises-rs-25-cr-in-pre-series-b-round/
https://www.beatoven.ai/,$1.30,18/03/2024,Bengaluru,AI - Music,Pre-Series A,https://entrackr.com/2024/03/ai-music-startup-beatoven-ai-raises-1-3-mn-in-pre-series-a/
https://www.sufinn.com/,$3.00,20/03/2024,Delhi,Fintech - Lending,,https://economictimes.indiatimes.com/tech/funding/non-bank-lender-sugmya-finance-raises-3-million-from-existing-investors/articleshow/108649894.cms
https://pocketfm.com/,$103.00,20/03/2024,Gurugram,OTT Audio,Series D,https://entrackr.com/2024/03/pocket-fm-raises-103-mn-in-series-d-round/
https://www.subko.coffee/,$10.00,22/03/2024,Mumbai,Coffee brand,Series B,https://entrackr.com/2024/03/exclusive-subko-coffee-raises-rs-80-cr-led-by-nksquared/
https://www.brijhotels.com/,$4.00,19/03/2024,Delhi,Hospitality,Series A,https://entrackr.com/2024/03/brij-hotels-raises-4-mn-in-series-a-funding-round/
https://www.ultrahuman.com/,$35.00,20/03/2024,Bengaluru,Healthtech,Series B + Debt,https://entrackr.com/2024/03/ultrahuman-raises-35-mn-in-series-b-round/
https://www.sprih.com/,$3.00,19/03/2024,Pune,Climatetech,Seed,https://entrackr.com/2024/03/sprih-raises-3-mn-in-seed-round-led-by-leo-capital/
