Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.eulermotors.com/,$60.00,,EV,Delhi,20/03/2025,https://entrackr.com/news/hero-motocorp-invests-over-60-mn-in-ev-startup-euler-motors-8874305
https://www.nivarahousing.com/,$28.00,Series B,Fintech - Lending,Bengaluru,17/03/2025,https://inc42.com/buzz/nivara-home-finance-bags-inr-245-cr-to-bolster-its-distribution-network/
https://discoverpilgrim.com/,$23.00,,D2C Personalcare Brand,Mumbai,18/03/2025,https://entrackr.com/news/d2c-brand-pilgrim-raises-rs-200-cr-in-primary-and-secondary-funding-8864052
https://www.navadhan.com/,$12.80,Series A,Fintech - Lending,Mumbai,19/03/2025,https://inc42.com/buzz/navadhan-nets-inr-111-cr-to-offer-loans-to-rural-msmes/
https://www.stage.in/,$12.50,Series B,Regional OTT,Noida,21/03/2025,https://entrackr.com/snippets/regional-ott-app-stage-raises-125-mn-in-series-b-8876590
https://www.protectt.ai/,$8.70,Series A,Cyber Security,Mumbai,18/03/2025,https://entrackr.com/snippets/protecttai-raises-rs-76-cr-in-series-a-round-led-by-bessemer-8864142
https://www.your-space.in/,$8.20,Debt,Student Housing,Delhi,18/03/2025,https://entrackr.com/exclusive/exclusive-student-housing-startup-your-space-raises-82-mn-debt-8864866
https://letsgozero.in/,$3.40,Series A,Ice Cream Brand,Mumbai,18/03/2025,https://entrackr.com/snippets/go-zero-secures-rs-30-cr-in-series-a-round-8864759
https://slikk.club/,$3.20,Seed,60 Minute Fashion Delivery,Bengaluru,18/03/2025,https://entrackr.com/snippets/fashion-delivery-platform-slikk-club-raises-32-mn-in-seed-round-8863595
https://chaikings.com/,$3.00,Series A,Chai Retail,Chennai,17/03/2025,https://entrackr.com/snippets/chai-kings-bags-3-mn-in-series-a-round-8861051
https://www.lighthouseproptech.com/,$2.50,,Proptech,Mumbai,20/03/2025,https://entrackr.com/snippets/turbostart-leads-25-mn-round-in-lighthouse-proptech-8873084
https://yummybee.in/,$2.10,,Cafe Chain,Hyderabad,18/03/2025,https://entrackr.com/snippets/yummy-bee-secures-rs-18-cr-to-fuel-expansion-into-mumbai-and-bengaluru-8865002
https://otipy.com/,$2.00,Debt,Grocery Delivery,Gurugram,17/03/2025,https://entrackr.com/snippets/otipy-raises-2-mn-in-venture-debt-from-nuvama-8861630
https://nourishyou.in/,$1.84,Series A,Plant-based Superfood Brand,Hyderabad,19/03/2025,https://entrackr.com/snippets/nourish-you-raises-rs-16-cr-led-by-sidbi-venture-8868097
https://qilagames.com/,$1.00,Pre-Seed,Gaming,Bengaluru,21/03/2025,https://entrackr.com/snippets/gaming-startup-qila-games-bags-1-mn-in-pre-seed-round-8875620
https://hypergro.ai/,$0.80,Pre-Series A,Video Generation,Bengaluru,18/03/2025,https://entrackr.com/snippets/hypergroai-raises-rs-7-cr-in-pre-series-a-round-8864637
https://www.harvestedlabs.com/,$0.58,Seed,Agritech,Hyderabad,19/03/2025,https://entrackr.com/snippets/harvested-robotics-raises-seed-round-from-arali-ventures-anand-mahindra-others-8868398
https://www.ihubrobotics.com/,$0.52,Pre-Seed,Robotics,Edappally,18/03/2025,https://entrackr.com/snippets/ihub-robotics-raises-rs-43-cr-in-pre-seed-round-8865541
https://www.iyaso.ai/,$0.50,Pre-Seed,Speech Therapy,Pune,20/03/2025,https://entrackr.com/snippets/speech-therapy-startup-iyaso-secures-pre-seed-funding-8872792
https://www.shoegr.com/,$0.10,Pre-Seed,Shoe care,Mohali,17/03/2025,https://entrackr.com/snippets/shoe-care-brand-shoegr-raises-100k-from-pedalstart-8861039
https://thegooat.com/,,Pre-Seed,D2C Nutrition Brand,Gurugram,18/03/2025,https://entrackr.com/snippets/gooat-raises-pre-seed-round-led-by-d2c-insider-super-angels-8864524
https://mypahadidukan.com/,,Pre-Seed,E-Commerce - Himalayan Products,Roorkee,20/03/2025,https://entrackr.com/snippets/my-pahadi-dukan-raises-pre-seed-funding-led-by-ipv-8872394
