Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.ihubrobotics.com/,$0.52,18/03/2025,Edappally,Robotics,Pre-Seed,https://entrackr.com/snippets/ihub-robotics-raises-rs-43-cr-in-pre-seed-round-8865541
https://nourishyou.in/,$1.84,19/03/2025,Hyderabad,Plant-based Superfood Brand,Series A,https://entrackr.com/snippets/nourish-you-raises-rs-16-cr-led-by-sidbi-venture-8868097
https://letsgozero.in/,$3.40,18/03/2025,Mumbai,Ice Cream Brand,Series A,https://entrackr.com/snippets/go-zero-secures-rs-30-cr-in-series-a-round-8864759
https://www.your-space.in/,$8.20,18/03/2025,Delhi,Student Housing,Debt,https://entrackr.com/exclusive/exclusive-student-housing-startup-your-space-raises-82-mn-debt-8864866
https://hypergro.ai/,$0.80,18/03/2025,Bengaluru,Video Generation,Pre-Series A,https://entrackr.com/snippets/hypergroai-raises-rs-7-cr-in-pre-series-a-round-8864637
https://yummybee.in/,$2.10,18/03/2025,Hyderabad,Cafe Chain,,https://entrackr.com/snippets/yummy-bee-secures-rs-18-cr-to-fuel-expansion-into-mumbai-and-bengaluru-8865002
https://chaikings.com/,$3.00,17/03/2025,Chennai,Chai Retail,Series A,https://entrackr.com/snippets/chai-kings-bags-3-mn-in-series-a-round-8861051
https://slikk.club/,$3.20,18/03/2025,Bengaluru,60 Minute Fashion Delivery,Seed,https://entrackr.com/snippets/fashion-delivery-platform-slikk-club-raises-32-mn-in-seed-round-8863595
https://otipy.com/,$2.00,17/03/2025,Gurugram,Grocery Delivery,Debt,https://entrackr.com/snippets/otipy-raises-2-mn-in-venture-debt-from-nuvama-8861630
https://thegooat.com/,,18/03/2025,Gurugram,D2C Nutrition Brand,Pre-Seed,https://entrackr.com/snippets/gooat-raises-pre-seed-round-led-by-d2c-insider-super-angels-8864524
https://www.harvestedlabs.com/,$0.58,19/03/2025,Hyderabad,Agritech,Seed,https://entrackr.com/snippets/harvested-robotics-raises-seed-round-from-arali-ventures-anand-mahindra-others-8868398
https://www.navadhan.com/,$12.80,19/03/2025,Mumbai,Fintech - Lending,Series A,https://inc42.com/buzz/navadhan-nets-inr-111-cr-to-offer-loans-to-rural-msmes/
https://mypahadidukan.com/,,20/03/2025,Roorkee,E-Commerce - Himalayan Products,Pre-Seed,https://entrackr.com/snippets/my-pahadi-dukan-raises-pre-seed-funding-led-by-ipv-8872394
https://www.nivarahousing.com/,$28.00,17/03/2025,Bengaluru,Fintech - Lending,Series B,https://inc42.com/buzz/nivara-home-finance-bags-inr-245-cr-to-bolster-its-distribution-network/
https://www.shoegr.com/,$0.10,17/03/2025,Mohali,Shoe care,Pre-Seed,https://entrackr.com/snippets/shoe-care-brand-shoegr-raises-100k-from-pedalstart-8861039
https://www.protectt.ai/,$8.70,18/03/2025,Mumbai,Cyber Security,Series A,https://entrackr.com/snippets/protecttai-raises-rs-76-cr-in-series-a-round-led-by-bessemer-8864142
https://qilagames.com/,$1.00,21/03/2025,Bengaluru,Gaming,Pre-Seed,https://entrackr.com/snippets/gaming-startup-qila-games-bags-1-mn-in-pre-seed-round-8875620
https://www.lighthouseproptech.com/,$2.50,20/03/2025,Mumbai,Proptech,,https://entrackr.com/snippets/turbostart-leads-25-mn-round-in-lighthouse-proptech-8873084
https://discoverpilgrim.com/,$23.00,18/03/2025,Mumbai,D2C Personalcare Brand,,https://entrackr.com/news/d2c-brand-pilgrim-raises-rs-200-cr-in-primary-and-secondary-funding-8864052
https://www.eulermotors.com/,$60.00,20/03/2025,Delhi,EV,,https://entrackr.com/news/hero-motocorp-invests-over-60-mn-in-ev-startup-euler-motors-8874305
https://www.iyaso.ai/,$0.50,20/03/2025,Pune,Speech Therapy,Pre-Seed,https://entrackr.com/snippets/speech-therapy-startup-iyaso-secures-pre-seed-funding-8872792
https://www.stage.in/,$12.50,21/03/2025,Noida,Regional OTT,Series B,https://entrackr.com/snippets/regional-ott-app-stage-raises-125-mn-in-series-b-8876590
