Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.northernarc.com/,$75.00,Debt,Fintech - NBFC Lending,Chennai,25/06/2024,https://inc42.com/buzz/ipo-bound-northern-arc-bags-75-mn-debt-from-dutch-fmo/
https://www.upgrad.com/,$35.00,Debt,Edtech,Mumbai,28/06/2024,https://entrackr.com/2024/06/exclusive-upgrad-raises-35-mn-debt-from-evolutionx/
https://www.smartworksoffice.com/,$20.00,,Co-working space provider,Gurugram,27/06/2024,https://entrackr.com/2024/06/smartworks-raises-more-than-20-mn-from-keppel-and-others/
https://www.zyod.com/,$18.00,Series A,B2B Fashion Manufacturing,Gurugram,25/06/2024,https://entrackr.com/2024/06/b2b-fashion-startup-zyod-raises-18-mn-led-by-rtp-global/
https://thehouseofrare.com/,$18.00,,E-Commerce - Fashion,Bengaluru,29/06/2024,https://entrackr.com/2024/06/rare-rabbit-raises-18-mn-from-a91-partners-zerodha-founders-fund-others/
https://rupeek.com/,$15.00,,Fintech - Gold Lending,Bengaluru,26/06/2024,https://entrackr.com/2024/06/rupeek-raises-15-mn-from-elevation-readies-for-secondary/
https://www.bluestone.com/,$12.00,,E-Commerce - Jewelry  Retailer,Bengaluru,24/06/2024,https://entrackr.com/2024/06/exclusive-ipo-bound-bluestone-raises-rs-100-cr-debt-from-neo-markets/
https://cloudphysician.net/,$10.50,Series A,AI Healthtech,Bengaluru,25/06/2024,https://entrackr.com/2024/06/ai-health-startup-cloudphysician-raises-10-5-mn-led-by-peak-xv/
https://www.matter.in/,$10.00,Series A,EV,Ahmedabad,26/06/2024,https://entrackr.com/2024/06/exclusive-electric-mobility-startup-matter-raises-10-mn/
https://sidsfarm.com/,$10.00,Series A,E-Commerce - D2C Dairy  Brand,Hyderabad,25/06/2024,https://entrackr.com/2024/06/d2c-dairy-startup-sids-farm-raises-10-mn-in-series-a-round/
https://twobrothersindiashop.com/,$7.00,Series A,Agritech,Pune,27/06/2024,https://economictimes.indiatimes.com/tech/funding/agritech-startup-two-brothers-organic-farms-raises-rs-58-2-crore-from-nithin-kamaths-rainmatter/articleshow/111319920.cms
https://novavente.com/,$3.00,,Consulting,Mumbai,26/06/2024,https://entrackr.com/2024/06/novavente-raises-3-mn-from-highbrow-securities/
https://www.morphing.in/,$2.76,Seed,Fabless Semiconductor,Bengaluru,26/06/2024,https://entrackr.com/2024/06/morphing-machines-raises-2-76-mn-in-seed-round/
https://www.cheq.one/,$2.20,Extended Seed,Credit Card Bill Payments,Bengaluru,24/06/2024,https://entrackr.com/2024/06/exclusive-fintech-startup-cheq-closes-new-round-at-6-7-mn/
https://letsdressup.in/,$1.30,Pre-Series A,E-Commerce - D2C Fashion Brand,Gurugram,26/06/2024,https://inc42.com/buzz/d2c-fashion-startup-letsdressup-bags-pre-series-a-funding-from-gvfl-others/
https://www.plusgold.in/,$1.20,Seed,Fintech - Gold Investment,Bengaluru,25/06/2024,https://entrackr.com/2024/06/plus-gold-raises-1-2-mn-led-by-jito/
https://lxme.in/,$1.20,Seed,Fintech - Investment,Mumbai,25/06/2024,https://entrackr.com/2024/06/lxme-raises-1-2-mn-in-seed-round-led-by-kalaaris-cxxo/
https://nitrocommerce.ai/,$1.00,Seed,Revenue as a Service,Gurugram,26/06/2024,https://entrackr.com/2024/06/cornerstone-ventures-leads-rs-15-cr-round-in-nitro-commerce/
https://www.ohiapp.com/,$1.00,Pre-Series A,Social Netwoeking,Jaipur,26/06/2024,https://entrackr.com/2024/06/social-networking-app-o-hi-bags-1-mn-in-pre-series-a-round/
https://autocracymachinery.com/,$0.60,Pre- Series A,Machine Manufacturing,Hyderabad,27/06/2024,https://entrackr.com/2024/06/autocracy-machinery-raises-seed-round-led-by-venture-catalysts/
https://www.machaxi.com/,$0.58,Pre-Series A,Sports Tech,Bengaluru,27/06/2024,https://entrackr.com/2024/06/ipv-leads-rs-4-8-cr-round-in-e-sports-startup-machaxi/
