Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.giva.co/,$61.50,Series C,Jewelry Brand,Bengaluru,25/06/2025,https://entrackr.com/news/giva-raises-rs-530-cr-in-series-c-round-led-by-creaegis-9407202
https://ekamobility.com/,$23.00,,EV,Pune,23/06/2025,https://inc42.com/buzz/eka-mobility-bags-inr-200-cr-from-enam-holdings/
https://www.batterysmart.in/,$21.00,Series B,EV - Battery Tech,Gurugram,25/06/2025,https://entrackr.com/news/battery-smarts-extended-series-b-round-pushes-valuation-to-450-mn-9405291
https://www.gokwik.co/,$13.00,,E-Commerce Enabler,Delhi,24/06/2025,https://entrackr.com/snippets/e-commerce-enabler-gokwik-raises-13-mn-led-by-rtp-global-9396485
https://sahi.com/,$10.50,,Fintech - Stock Trading,Bengaluru,25/06/2025,https://entrackr.com/news/former-swiggy-ctos-stock-trading-app-sahi-raises-105-mn-led-by-accel-and-elevation-9404619
http://www.fabheads.in/,$10.00,Series A,Hardware,Chennai,24/06/2025,https://entrackr.com/snippets/fabheads-raises-10-mn-in-series-a-round-led-by-accel-9396012
https://kazam.energy/,$6.20,Series B,EV,Bengaluru,23/06/2025,https://entrackr.com/snippets/ev-startup-kazam-raises-62-mn-from-ifc-vertex-and-avaana-capital-9389336
https://www.flipspaces.com/,$5.90,,Interior Design,Mumbai,26/06/2025,https://entrackr.com/snippets/flipspaces-raises-rs-50-cr-from-asiana-fund-9420511
https://www.rabitat.com/,$5.00,Series A,D2C,Delhi,23/06/2025,https://entrackr.com/snippets/d2c-brand-rabitat-raises-rs-40-cr-in-series-a-round-9389652
https://www.stayvista.com/,$4.60,Series B,Hospitality,Mumbai,26/06/2025,https://entrackr.com/snippets/stayvista-raises-rs-40-cr-in-series-b-round-led-by-jsw-ventures-9439300
https://zilo.one/,$4.50,Seed,Quick Commerce - Fashion,Mumbai,27/06/2025,https://entrackr.com/snippets/quick-fashion-delivery-startup-zilo-raises-45-mn-in-seed-round-9441409
https://www.everacabs.com/,$4.00,,Electric Taxi Service,Delhi,24/06/2025,https://entrackr.com/snippets/evera-cabs-secures-4-mn-from-mufin-green-finance-9396942
https://www.indiabonds.com/,$3.77,,Fintech - Investment,Mumbai,25/06/2025,https://entrackr.com/snippets/bond-investment-platform-indiabonds-raises-rs-325-cr-in-maiden-funding-9404893
https://fantail.in/,$1.60,Seed,B2B Textile Manufacturing,Surat,24/06/2025,https://entrackr.com/snippets/b2b-textile-manufacturing-startup-fantail-raises-rs-1375-cr-in-seed-round-9396255
https://utopiathx.com/,$1.50,Seed,Biotech,Hyderabad,24/06/2025,https://entrackr.com/snippets/bio-tech-startup-utopia-therapeutics-raises-15-mn-led-by-whale-tank-9396662
https://www.armory.in/,$1.50,,Defense Tech,Gurugram,25/06/2025,https://entrackr.com/snippets/defence-tech-startup-armory-raises-rs-13-cr-led-by-growx-ventures-9404571
https://skippi.in/,$1.40,Pre-Series A,Popsicle brand,Hyderabad,24/06/2025,https://entrackr.com/snippets/ice-popsicle-brand-skippi-raises-rs-12-cr-in-extended-pre-series-a-round-9396900
https://www.sthyrenergy.com/,$1.00,Seed,Renewable Energy,Chennai,25/06/2025,https://entrackr.com/snippets/deeptech-startup-sthyr-energy-raises-1-mn-in-seed-round-9405438
https://www.auraml.com/,$1.00,Pre-Seed,Deeptech,Bengaluru,25/06/2025,https://entrackr.com/snippets/auraml-raises-1-mn-in-pre-seed-round-led-by-turbostart-9404901
https://pazy.io/,$0.72,Pre-Seed,Fintech - Payments,Bengaluru,25/06/2025,https://entrackr.com/snippets/business-payments-platform-pazy-raises-pre-seed-funding-round-9410494
https://innovodigm.com/,$0.64,Seed,Medtech,Kolkata,24/06/2025,https://entrackr.com/snippets/med-tech-startup-innovodigm-raises-seed-funding-round-led-by-ian-group-9402512
https://www.indiansnackhouse.com/,$0.26,Pre-Seed,D2C Snack Brand,Chennai,25/06/2025,https://entrackr.com/snippets/d2c-brand-indian-snack-house-raises-pre-seed-funding-round-led-by-titan-capital-9405715
https://truliv.in/,,,Co-Living,Chennai,23/06/2025,https://entrackr.com/snippets/co-living-startup-truliv-raises-strategic-investment-from-bccl-9392137
