Company,Amount ($M),Series,Sector,HQ,Date,Source
https://m2pfintech.com/,$101.80,Series D,API Infrastructure Platform,Chennai,24/09/2024,https://entrackr.com/2024/09/m2p-fintech-raises-over-100-mn-in-primary-and-secondary-funding/
https://www.qure.ai/,$65.00,Series D,Healthtech,Mumbai,24/09/2024,https://inc42.com/buzz/qure-bags-65-mn-to-build-ai-based-products-for-disease-detection/
https://www.nurix.ai/,$27.50,Seed + Series A,AI Agents,Bengaluru,24/09/2024,https://entrackr.com/2024/09/mukesh-bansals-nurix-ai-bags-27-5-mn-from-accel-general-catalyst-meraki-labs/
https://www.homelane.com/,$26.90,,Interior Design,Bengaluru,25/09/2024,https://entrackr.com/2024/09/homelane-to-acquire-designcafe-secure-rs-225-cr-funding/
https://www.adonmo.com/,$25.00,,Adtech,Hyderabad,26/09/2024,https://entrackr.com/2024/09/zomato-backed-adonmo-raises-25-mn-in-new-round/
https://www.giva.co/,$12.00,Extended Series B,Jewelry,Bengaluru,26/09/2024,https://entrackr.com/2024/09/exclusive-giva-raises-12-mn-from-premji-invest-in-extended-series-b/
https://kapiva.in/,$10.00,Series C,D2C Ayurvedic Nutrition Brand,Bengaluru,23/09/2024,https://entrackr.com/2024/09/exclusive-kapiva-raises-10-mn-from-existing-investors/
https://www.thewellnessco.in/,$7.18,,Health and Wellness,Gurugram,23/09/2024,https://inc42.com/buzz/the-wellness-co-snags-inr-60-cr-from-easemytrip-to-push-its-health-wellness-tourism-play/
https://twopointo.in/,$6.30,Seed,Climate Financing,,26/09/2024,https://inc42.com/buzz/climate-financing-platform-two-point-o-capital-raises-6-3-mn-to-aid-clean-energy-projects-facing-capital-dearth/
https://www.ahammune.com/,$5.00,Series A,Biotech,Pune,25/09/2024,https://inc42.com/buzz/ahammune-biosciences-raises-5-mn-to-speed-up-drug-development-for-vitiligo/
https://corover.ai/,$4.00,Series A,Conversational AI,Bengaluru,24/09/2024,https://entrackr.com/2024/09/venture-catalysts-leads-4-mn-series-a-round-in-corover/
https://www.thehealthfactory.in/,$3.50,Seed,Healthy Bread Brand,Mumbai,25/09/2024,https://entrackr.com/2024/09/peak-xvs-surge-leads-3-5-mn-seed-round-in-the-health-factory/
https://beintelligent.in/,$2.00,Seed,D2C Personal Care Brand for Kids,Bengaluru,24/09/2024,https://entrackr.com/2024/09/kids-personal-care-brand-tuco-intelligent-raises-2-mn-in-seed-round/
https://jhana.ai/,$1.60,Seed,Legaltech,Bengaluru,24/09/2024,https://entrackr.com/2024/09/ai-paralegal-startup-jhana-raises-1-6-mn-in-seed-round/
https://firstcoffee.co.in/,$1.20,Seed,Specialty Coffee Brand,Delhi,26/09/2024,https://entrackr.com/2024/09/first-coffee-raises-1-2-mn-in-seed-round-led-by-beenext/
https://www.oright.io/,$1.00,Seed,Agritech,Gurugram,24/09/2024,https://entrackr.com/2024/09/dairy-tech-startup-oright-raises-1-mn-in-seed-funding/
https://www.carefi.in/,$0.96,Debt,Fintech,Gurugram,26/09/2024,https://entrackr.com/2024/09/fintech-startup-care-fi-secures-rs-8-cr-in-debt/
https://www.flent.in/,$0.78,Pre-Seed,Proptech,Bengaluru,25/09/2024,https://entrackr.com/2024/09/proptech-startup-flent-raises-rs-6-5-cr-in-pre-seed-round/
https://sharangshakti.com/,$0.60,Pre-Seed,Defense,Noida,23/09/2024,https://entrackr.com/2024/09/defense-tech-startup-sharang-shakti-raises-pre-seed-round/
https://www.traqcheck.com/,,Pre-Seed,Enterprise Software - AI-based background checks,Delhi,24/09/2024,https://economictimes.indiatimes.com/tech/funding/traqcheck-secures-funding-from-alok-oberoi-others/articleshow/113632553.cms
