Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.avanse.com/,$120.00,,Fintech - Lending,Mumbai,26/03/2024,https://economictimes.indiatimes.com/industry/services/education/avanse-financial-services-secures-rs-1000-crore-investment-from-mubadala-and-avendus-pe/articleshow/108783536.cms?from=mdr
https://sharechat.com/,$49.00,Debt,Social Media,Bengaluru,27/03/2024,https://entrackr.com/2024/03/google-backed-sharechat-raises-49-mn-debt/
https://www.ayefin.com/,$16.40,Debt,Fintech - Lending,Gurugram,27/03/2024,https://inc42.com/buzz/aye-finance-secures-inr-137-cr-debt-from-german-fund-invest-in-visions/
https://sindhujamicrocredit.com/,$14.50,Series C,Fintech - Lending,Noida,28/03/2024,https://entrackr.com/2024/03/sindhuja-microcredit-raises-rs-120-cr-in-series-c-round/
https://www.kreditbee.in/,$9.40,Series D,Fintech - Digital Lending,Bengaluru,29/03/2024,https://entrackr.com/2024/03/fintech-firm-kreditbee-recharges-series-d-round-with-9-4-mn/
https://www.adonmo.com/,$7.00,Series B,Adtech,Hyderabad,26/03/2024,https://entrackr.com/2024/03/exclusive-zomato-backed-adonmo-raises-7-mn/
https://www.bambrew.in/,$7.00,Equity Series A + Debt,Cleantech,Bengaluru,29/03/2024,https://entrackr.com/2024/03/bambrew-raises-rs-60-cr-led-by-blume-ventures/
https://www.mobikwik.com/,$6.00,Debt,Fintech,Gurugram,28/03/2024,https://entrackr.com/2024/03/exclusive-ahead-of-ipo-mobikwik-raises-debt-from-blacksoil-capital-2/
https://www.superk.in/,$6.00,Series B,Supermarket chain - grocery,Bengaluru,27/03/2024,https://inc42.com/buzz/superk-nets-6-mn-to-offer-walk-in-retail-stores-to-small-towns/
https://www.aeria.world/,$1.80,Pre-Seed,Real Estate,Gurugram,26/03/2024,https://economictimes.indiatimes.com/tech/funding/real-estate-management-platform-aeria-secures-1-8-million-in-funding-led-by-kalaari-capital/articleshow/108785063.cms
http://www.ginglanidistillers.com/,$1.50,Series A,F&B - Alcohol,Delhi,27/03/2024,https://inc42.com/buzz/alco-beverage-startup-woodsmen-mountain-whiskey-bags-funding-from-anthill-others/
https://justdeliveries.co.in/,$1.00,Pre-Series A,Logistics,Mumbai,26/03/2024,https://economictimes.indiatimes.com/tech/funding/logistics-startup-justdeliveries-raises-1-million-in-funding-led-by-nabventures/articleshow/108792448.cms
