Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.kreditbee.in/,$9.40,29/03/2024,Bengaluru,Fintech - Digital Lending,Series D,https://entrackr.com/2024/03/fintech-firm-kreditbee-recharges-series-d-round-with-9-4-mn/
http://www.ginglanidistillers.com/,$1.50,27/03/2024,Delhi,F&B - Alcohol,Series A,https://inc42.com/buzz/alco-beverage-startup-woodsmen-mountain-whiskey-bags-funding-from-anthill-others/
https://justdeliveries.co.in/,$1.00,26/03/2024,Mumbai,Logistics,Pre-Series A,https://economictimes.indiatimes.com/tech/funding/logistics-startup-justdeliveries-raises-1-million-in-funding-led-by-nabventures/articleshow/108792448.cms
https://www.superk.in/,$6.00,27/03/2024,Bengaluru,Supermarket chain - grocery,Series B,https://inc42.com/buzz/superk-nets-6-mn-to-offer-walk-in-retail-stores-to-small-towns/
https://www.bambrew.in/,$7.00,29/03/2024,Bengaluru,Cleantech,Equity Series A + Debt,https://entrackr.com/2024/03/bambrew-raises-rs-60-cr-led-by-blume-ventures/
https://www.avanse.com/,$120.00,26/03/2024,Mumbai,Fintech - Lending,,https://economictimes.indiatimes.com/industry/services/education/avanse-financial-services-secures-rs-1000-crore-investment-from-mubadala-and-avendus-pe/articleshow/108783536.cms?from=mdr
https://www.mobikwik.com/,$6.00,28/03/2024,Gurugram,Fintech,Debt,https://entrackr.com/2024/03/exclusive-ahead-of-ipo-mobikwik-raises-debt-from-blacksoil-capital-2/
https://www.ayefin.com/,$16.40,27/03/2024,Gurugram,Fintech - Lending,Debt,https://inc42.com/buzz/aye-finance-secures-inr-137-cr-debt-from-german-fund-invest-in-visions/
https://www.adonmo.com/,$7.00,26/03/2024,Hyderabad,Adtech,Series B,https://entrackr.com/2024/03/exclusive-zomato-backed-adonmo-raises-7-mn/
https://www.aeria.world/,$1.80,26/03/2024,Gurugram,Real Estate,Pre-Seed,https://economictimes.indiatimes.com/tech/funding/real-estate-management-platform-aeria-secures-1-8-million-in-funding-led-by-kalaari-capital/articleshow/108785063.cms
https://sharechat.com/,$49.00,27/03/2024,Bengaluru,Social Media,Debt,https://entrackr.com/2024/03/google-backed-sharechat-raises-49-mn-debt/
https://sindhujamicrocredit.com/,$14.50,28/03/2024,Noida,Fintech - Lending,Series C,https://entrackr.com/2024/03/sindhuja-microcredit-raises-rs-120-cr-in-series-c-round/
