Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.m1xchange.com/,$18.00,,Fintech,Gurugram,27/03/2025,https://entrackr.com/news/jindal-stainless-invests-18-mn-in-amazon-backed-m1xchange-8896011
https://dcdc.co.in/,$17.40,,Healthcare,Delhi,24/03/2025,https://entrackr.com/snippets/abc-impact-leads-rs-150-cr-round-in-dcdc-kidney-care-8884598
https://www.growindigo.co.in/,$10.00,,Agritech,Mumbai,25/03/2025,https://entrackr.com/snippets/grow-indigo-raises-10-mn-from-british-international-investment-8889005
https://thegreenfortune.com/,$4.50,Pre-Series A,Windows and Doors Brand,Hyderabad,26/03/2025,https://entrackr.com/snippets/greenfortune-secures-45-mn-in-pre-series-a-round-8891346
https://nabhdrishti.in/,$3.00,,Aerospace,Bengaluru,26/03/2025,https://entrackr.com/snippets/nabhdrishti-aerospace-raises-3-mn-led-by-accel-8892749
https://www.vahdam.in/,$3.00,,Tea Brand,Delhi,26/03/2025,https://entrackr.com/snippets/vahdam-india-raises-3-mn-led-by-sidbi-venture-8892047
https://fireflydiamonds.com/,$3.00,Seed,Labgrown Diamonds,Mumbai,25/03/2025,https://entrackr.com/snippets/firefly-diamonds-raises-3-mn-in-seed-round-led-by-westbridge-capital-8887831
https://pizzawings.co.in/,$2.80,,QSR - Pizza Brand,Rohtak,25/03/2025,https://entrackr.com/snippets/qsr-brand-pizza-wings-raises-28-mn-to-expand-across-india-8888022
https://www.expertia.ai/,$2.33,Pre-Series A,Recruiter Platform,Bengaluru,27/03/2025,https://entrackr.com/snippets/expertia-ai-secures-pre-series-a-funding-led-by-rockstud-capital-8896432
https://milabeaute.com/,$2.16,Pre-Series A,Personal Care,Delhi,26/03/2025,https://entrackr.com/snippets/mila-beaut%C3%A9-raises-216-mn-in-pre-series-a-round-led-by-rukam-capital-8893216
https://www.onestack.in/,$2.00,Series A,Fintech,Mumbai,27/03/2025,https://entrackr.com/snippets/fintech-onestack-raises-2-mn-in-series-a-round-8896264
https://www.irame.ai/,$1.00,Seed,Enterprise Productivity,Gurugram,25/03/2025,https://entrackr.com/snippets/irameai-bags-1-mn-in-seed-round-from-senseai-ventures-8888537
https://www.carefi.in/,$0.87,Debt,Healthcare Focused Fintech,Gurugram,25/03/2025,https://entrackr.com/snippets/carefi-secures-rs-75-cr-in-debt-from-vivriti-capital-8888658
https://gramiyaa.com/,$0.84,Pre-Series A,Cold Pressed Oil Brand,Bengaluru,25/03/2025,https://entrackr.com/snippets/cold-pressed-oil-brand-gramiyaa-raises-pre-series-a-funding-8888234
https://weareantithesis.com/,$0.58,Pre-Seed,Personal Care,Delhi,26/03/2025,https://entrackr.com/snippets/antithesis-raises-rs-5-cr-in-pre-seed-round-co-led-by-rukam-and-v3-ventures-8891747
https://www.osso.care/,$0.25,Pre-Seed,Healthcare,Gurugram,27/03/2025,https://entrackr.com/snippets/osso-raises-250k-in-pre-seed-round-8895369
https://taxinamobility.com/,$0.17,,Mobility,Salem,24/03/2025,https://entrackr.com/snippets/mobility-solutions-startup-taxina-bags-funding-from-navyug-global-ventures-8886292
