Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.autonxt.in/,,09/04/2024,Thane,EV - Tractors,Pre-Series A,https://entrackr.com/2024/04/autonxt-automation-raises-pre-series-a-round-led-by-saama-capital/
https://www.platinumrx.in/,$0.80,08/04/2024,Bengaluru,Healthcare E-Commerce - Medicine,Seed,https://entrackr.com/2024/04/platinumrx-raises-800k-funding-led-by-indiaquotient/
https://entrackr.com/2024/04/exclusive-5c-network-raises-3-mn-in-a-new-round/,$5.00,12/04/2024,Gurugram,Insurance,Series A,https://entrackr.com/2024/04/exclusive-claimbuddy-bags-new-investment-from-bharat-innovation-fund/
,,,,,,
https://www.neysa.ai/,$20.00,10/04/2024,Mumbai,AI - SaaS,Seed,https://entrackr.com/2024/04/gen-ai-startup-neysa-raises-20-mn-from-matrix-nexus-and-nttvc/
https://paytring.com/,,09/04/2024,Gurugram,Fintech,Pre-Seed,https://entrackr.com/2024/04/fintech-startup-paytring-closes-pre-seed-round-from-unlimit/
https://www.5cnetwork.com/,$3.00,12/04/2024,Bengaluru,Healthcare,,https://entrackr.com/2024/04/exclusive-5c-network-raises-3-mn-in-a-new-round/
https://recykal.com/,$13.00,10/04/2024,Kondapur,Waste Management,Series B,https://entrackr.com/2024/04/exclusive-morgan-stanley-backed-recykal-raises-nearly-10-mn-in-ongoing-round/
https://axio.co.in/,$6.00,08/04/2024,Bengaluru,Fintech - Lending,Debt,https://inc42.com/buzz/exclusive-digital-lender-axio-raises-6-mn-debt-from-alteria-capital/
https://www.eyemyeye.com/,$2.50,11/04/2024,Gurugram,E-Commerce - Eyewear,Pre-Series A,https://entrackr.com/2024/04/exclusive-eyemyeye-raises-2-5-mn-in-a-new-tranche/
https://www.butterflylearnings.com/,$3.82,11/04/2024,Thane,Healthcare,Series A,/04/butterfly-learnings-raises-rs-32-cr-in-series-a-round/
