Company,Amount ($M),Series,Sector,HQ,Date,Source
https://juspay.io/in,$60.00,Series D,Fintech - Payments,Bengaluru,07/04/2025,https://entrackr.com/news/juspay-secures-60-mn-from-kedaara-softbank-and-accel-8934673
https://easebuzz.in/,$30.00,,Fintech - Digital Payments,Pune,07/04/2025,https://entrackr.com/news/easebuzz-raises-30-mn-plans-ipo-in-2-3-years-8933729
https://www.mosaicwellness.in/,$20.00,,Health and Wellness,Thane,10/04/2025,https://entrackr.com/exclusive/exclusive-mosaic-wellness-raises-20-mn-at-400-mn-valuation-8946136
https://www.gonoise.com/,$20.00,,Smartwatch Brand,Gurugram,09/04/2025,https://entrackr.com/exclusive/exclusive-bose-doubles-down-on-noise-with-20-mn-investment-8943009
https://innovist.com/,$16.00,Series B,Personal Care,Gurugram,07/04/2025,https://entrackr.com/news/innovist-raises-rs-136-cr-led-by-icici-venture-accel-exits-8934341
https://eloelo.in/,$13.50,Series B,Live Social Entertainment,Bengaluru,10/04/2025,https://entrackr.com/snippets/eloelo-raises-135-mn-in-series-b-round-led-by-play-ventures-8946507
https://www.xindus.net/,$10.00,Series A,Cross Border Logistics,Gurugram,10/04/2025,https://entrackr.com/snippets/cross-border-logistics-startup-xindus-bags-10-mn-in-pre-series-a-round-8946129
https://www.corporate.agrostar.in/,$6.70,,Agritech,Pune,09/04/2025,https://inc42.com/buzz/agrostar-bags-inr-58-cr-from-accel-india-others/
https://inatilifestyle.com/,$3.49,Seed,Fashion Brand,Bengaluru,08/04/2025,https://entrackr.com/snippets/fashion-brand-outzidr-raises-rs-30-cr-in-seed-round-from-stellaris-8938030
https://www.vimano.biz/,$3.00,Seed,Nanotech,Bengaluru,07/04/2025,https://entrackr.com/snippets/vimano-raises-rs-25-cr-in-seed-round-led-by-ankur-capital-8933840
https://www.letstryfoods.com/,$2.50,,D2C Snack Brand,Delhi,09/04/2025,https://entrackr.com/snippets/snack-brand-lets-try-raises-25-mn-led-by-swc-global-8942343
https://eatbetterco.com/,$1.96,Pre-Series A,Snack Brand,Jaipur,09/04/2025,https://entrackr.com/snippets/eat-better-co-bags-rs-17-cr-in-pre-series-a-round-8942690
https://bowerschool.com/,$1.33,Seed,Edtech,Hyderabad,10/04/2025,https://entrackr.com/snippets/bower-raises-rs-115-cr-in-seed-round-8947167
https://www.cautio.in/en,$1.27,Seed,Video Telemetics,Bengaluru,08/04/2025,https://entrackr.com/snippets/dashcam-startup-cautio-raises-rs-11-cr-in-seed-round-8938078
https://www.askmyguru.live/,$1.20,Seed,Spritual Tech,Bengaluru,10/04/2025,https://entrackr.com/snippets/lumikai-leads-12-mn-seed-round-in-askmyguru-8946838
https://www.calligotech.com/,$1.10,Pre-Series A,Semiconductor,Pune,07/04/2025,https://entrackr.com/snippets/semiconductor-startup-calligo-technologies-bags-11-mn-in-pre-series-a-8934376
https://www.bhagva.in/,$1.00,Pre-Series A,Digital spiritual platform,Delhi,09/04/2025,https://entrackr.com/snippets/digital-spiritual-platform-bhagva-raises-1-mn-in-pre-series-a-round-8943087
Amicco,$1.00,Seed,B2B Automotive Marketplace,Gurugram,09/04/2025,https://entrackr.com/snippets/amicco-raises-1-mn-in-seed-round-led-by-eximius-8941824
https://scoutflo.com/,$0.16,Pre-Seed,DevOps,Thane,08/04/2025,https://entrackr.com/snippets/scoutflo-raises-rs-14-cr-in-pre-seed-round-8937512
