Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.dezerv.in/,$32.00,Series B,Fintech - Wealthtech,Mumbai,09/07/2024,https://entrackr.com/2024/07/wealthtech-startup-dezerv-raises-32-mn-in-series-b/
https://arya.ag/,$29.00,Pre-Series D,AgriCommerce,Noida,10/07/2024,https://yourstory.com/2024/07/aryaag-raises-29m-in-pre-series-d-funding-led-by-blue-earth-capital
https://www.goatbrandlabs.com/,$21.00,Equity + Debt,E-Commerce,Bengaluru,08/07/2024,https://entrackr.com/2024/07/goat-brand-labs-raises-21-mn-in-debt-and-equity/
https://infra.market/,$18.00,Debt,B2B E-Commerce - Construction Materials,Thane,12/07/2024,https://entrackr.com/2024/07/exclusive-infra-market-raises-rs-150-cr-debt-led-by-yubi/
https://immuneel.com/,$12.00,Series A,Biotech,Bengaluru,10/07/2024,https://entrackr.com/2024/07/exclusive-kiran-mazumdar-shaws-immuneel-therapeutics-raises-rs-100-cr/
https://www.simplismart.ai/,$7.00,,Gen AI,Bengaluru,10/07/2024,https://entrackr.com/2024/07/exclusive-gen-ai-startup-simplismart-to-raise-7-mn-led-by-accel/
https://planetmarathi.com/,$5.00,,OTT,Mumbai,11/07/2024,https://entrackr.com/2024/07/planet-marathi-ott-raises-5-mn-from-a-ma-capital-usa/
https://circuithouse.tech/,$4.30,Seed,Consumer Electronics,Bengaluru,11/07/2024,https://entrackr.com/2024/07/circuit-house-technologies-raises-4-3-mn/
https://carefi.in/,$2.60,Debt,Healthcare - Fintech,Gurugram,08/07/2024,https://entrackr.com/2024/07/healthcare-focused-fintech-startup-care-fi-raises-2-6-mn/
https://www.houseofbiryan.com/,$2.00,Seed,Restaurant,Mumbai,09/07/2024,https://economictimes.indiatimes.com/tech/funding/biryani-to-taste-better-restaurant-chain-house-of-biryan-raises-2-million-in-funding/articleshow/111611384.cms
https://jugyah.com/,$1.50,Seed,Real Estate Rental,Mumbai,11/07/2024,https://yourstory.com/2024/07/startup-news-updates-daily-roundup-july-11-2024
https://qarmatek.com/,$1.00,Pre-Series A,Electronics Repair,Ahmedabad,09/07/2024,https://entrackr.com/2024/07/qarmatek-raises-1-mn-in-pre-series-a-round/
http://centriti.in/,$0.72,,B2B E-Commerce,Delhi,09/07/2024,https://entrackr.com/2024/07/centriti-raises-rs-6-cr-led-by-emergent-india-ventures/
https://felicitygames.com/,$0.70,Pre-Seed,Gaming,Bengaluru,09/07/2024,https://entrackr.com/2024/07/felicity-games-raises-700k-from-devc-nandan-reddy-kunal-shah-and-others/
https://gethelium.co/,$0.55,Pre-Seed,AI,Delhi,09/07/2024,https://entrackr.com/2024/07/helium-bags-pre-seed-round-led-by-merak-ventures/
https://timbuckdo.com/,$0.23,Seed,Gig Work for Students,Bengaluru,10/07/2024,https://yourstory.com/2024/07/startup-news-and-updates-daily-roundup-july-10-2024
https://medront.com/,$0.09,Seed,Data Security,Mumbai,11/07/2024,https://yourstory.com/2024/07/startup-news-updates-daily-roundup-july-11-2024
https://www.bloq.in/,$0.09,Seed,Stock Market Algos,"Kollam, Kerala",11/07/2024,https://yourstory.com/2024/07/startup-news-updates-daily-roundup-july-11-2024
https://mypickup.in/,$0.09,Seed,Electric Mobility Service,Bengaluru,11/07/2024,https://yourstory.com/2024/07/startup-news-updates-daily-roundup-july-11-2024
