Company,Amount ($M),Date,HQ,Sector,Series,Source
http://centriti.in/,$0.72,09/07/2024,Delhi,B2B E-Commerce,,https://entrackr.com/2024/07/centriti-raises-rs-6-cr-led-by-emergent-india-ventures/
https://circuithouse.tech/,$4.30,11/07/2024,Bengaluru,Consumer Electronics,Seed,https://entrackr.com/2024/07/circuit-house-technologies-raises-4-3-mn/
https://carefi.in/,$2.60,08/07/2024,Gurugram,Healthcare - Fintech,Debt,https://entrackr.com/2024/07/healthcare-focused-fintech-startup-care-fi-raises-2-6-mn/
https://jugyah.com/,$1.50,11/07/2024,Mumbai,Real Estate Rental,Seed,https://yourstory.com/2024/07/startup-news-updates-daily-roundup-july-11-2024
https://www.bloq.in/,$0.09,11/07/2024,"Kollam, Kerala",Stock Market Algos,Seed,https://yourstory.com/2024/07/startup-news-updates-daily-roundup-july-11-2024
https://immuneel.com/,$12.00,10/07/2024,Bengaluru,Biotech,Series A,https://entrackr.com/2024/07/exclusive-kiran-mazumdar-shaws-immuneel-therapeutics-raises-rs-100-cr/
https://planetmarathi.com/,$5.00,11/07/2024,Mumbai,OTT,,https://entrackr.com/2024/07/planet-marathi-ott-raises-5-mn-from-a-ma-capital-usa/
https://gethelium.co/,$0.55,09/07/2024,Delhi,AI,Pre-Seed,https://entrackr.com/2024/07/helium-bags-pre-seed-round-led-by-merak-ventures/
https://www.goatbrandlabs.com/,$21.00,08/07/2024,Bengaluru,E-Commerce,Equity + Debt,https://entrackr.com/2024/07/goat-brand-labs-raises-21-mn-in-debt-and-equity/
https://qarmatek.com/,$1.00,09/07/2024,Ahmedabad,Electronics Repair,Pre-Series A,https://entrackr.com/2024/07/qarmatek-raises-1-mn-in-pre-series-a-round/
https://arya.ag/,$29.00,10/07/2024,Noida,AgriCommerce,Pre-Series D,https://yourstory.com/2024/07/aryaag-raises-29m-in-pre-series-d-funding-led-by-blue-earth-capital
https://mypickup.in/,$0.09,11/07/2024,Bengaluru,Electric Mobility Service,Seed,https://yourstory.com/2024/07/startup-news-updates-daily-roundup-july-11-2024
https://medront.com/,$0.09,11/07/2024,Mumbai,Data Security,Seed,https://yourstory.com/2024/07/startup-news-updates-daily-roundup-july-11-2024
https://timbuckdo.com/,$0.23,10/07/2024,Bengaluru,Gig Work for Students,Seed,https://yourstory.com/2024/07/startup-news-and-updates-daily-roundup-july-10-2024
https://felicitygames.com/,$0.70,09/07/2024,Bengaluru,Gaming,Pre-Seed,https://entrackr.com/2024/07/felicity-games-raises-700k-from-devc-nandan-reddy-kunal-shah-and-others/
https://www.houseofbiryan.com/,$2.00,09/07/2024,Mumbai,Restaurant,Seed,https://economictimes.indiatimes.com/tech/funding/biryani-to-taste-better-restaurant-chain-house-of-biryan-raises-2-million-in-funding/articleshow/111611384.cms
https://www.dezerv.in/,$32.00,09/07/2024,Mumbai,Fintech - Wealthtech,Series B,https://entrackr.com/2024/07/wealthtech-startup-dezerv-raises-32-mn-in-series-b/
https://www.simplismart.ai/,$7.00,10/07/2024,Bengaluru,Gen AI,,https://entrackr.com/2024/07/exclusive-gen-ai-startup-simplismart-to-raise-7-mn-led-by-accel/
https://infra.market/,$18.00,12/07/2024,Thane,B2B E-Commerce - Construction Materials,Debt,https://entrackr.com/2024/07/exclusive-infra-market-raises-rs-150-cr-debt-led-by-yubi/
