Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.haberwater.com/,$38.00,Series C,Hardware - Industrial Robotics,Pune,10/10/2024,https://entrackr.com/2024/10/exclusive-b2b-robotics-startup-haber-raises-38-mn-in-series-c/
https://www.millenniumbabycare.com/,$14.50,,D2C Babycare,Dhar,11/10/2024,https://entrackr.com/2024/10/millenium-babycares-raises-14-5-mn-led-by-bharat-value-fund/
https://www.economysolutions.in/,$12.00,Series A,Vacuum  and Process Solutions,Mumbai,10/10/2024,https://entrackr.com/2024/10/economy-process-solutions-raises-12-mn-in-series-a/
https://urjamobility.in/,$12.00,Pre-Series A,EV - Battery Leasing,Delhi,09/10/2024,https://entrackr.com/2024/10/urjamobility-secures-12-mn-in-pre-series-a-funding/
https://xdlinx.space/,$7.00,Seed,Spacetech,Hyderabad,07/10/2024,https://inc42.com/buzz/spacetech-startup-xdlink-space-labs-raises-7-mn-from-ashish-kacholia-others/
https://www.dezy.com/in,$6.00,,Dental Clinic Chain,Bengaluru,08/10/2024,https://yourstory.com/2024/10/dental-care-brand-dezy-funding-chiratae-ventures-peak-xv-surge
https://www.bioprimeagri.com/,$6.00,Series A,Biotech,Pune,08/10/2024,https://entrackr.com/2024/10/bioprime-raises-6-mn-in-series-a-round-led-by-edaphon/
https://www.swarafincare.com/,$2.31,Series A,Fintech - NBFC Lending,Gurugram,09/10/2024,https://entrackr.com/2024/10/swara-fincare-raises-rs-19-4-cr-in-series-a-funding/
https://figr.design/,$2.25,Seed,Product Design,Bengaluru,09/10/2024,https://entrackr.com/2024/10/figr-bags-2-25-mn-in-seed-round-led-by-kalaari/
https://www.frammer.com/,$2.00,Seed,Media SaaS Platform,Delhi,07/10/2024,https://entrackr.com/2024/10/lumikai-leads-2-mn-round-in-media-saas-platform-frammer-ai/
https://nayan.co/,$2.00,Pre-Series A,AI,Delhi,07/10/2024,https://entrackr.com/2024/10/ai-startup-nayan-tech-raises-2-mn-in-pre-series-a-round/
https://aereo.io/,$1.80,Series B,Drone,Bengaluru,07/10/2024,https://entrackr.com/2024/10/aereo-raises-1-8-mn-more-in-series-b/
https://zenstatement.com/,$1.62,Seed,Finance Automation and Cashflow Management,Bengaluru,09/10/2024,https://entrackr.com/2024/10/zenstatement-raises-1-62-mn-in-seed-round/
https://datazip.io/,$1.00,Seed,Data Engineering,Bengaluru,10/10/2024,https://entrackr.com/2024/10/equirus-innovatex-fund-leads-1-mn-round-in-data-engineering-startup-datazip/
https://sorichfoils.in/,$1.00,Pre-IPO,Pharmaceutical Packaging,Gujarat,08/10/2024,https://entrackr.com/2024/10/pharmaceutical-packaging-startup-sorich-raises-1-mn/
https://www.holidaytribe.com/,$0.64,Seed,Traveltech,Gurugram,07/10/2024,https://entrackr.com/2024/10/holiday-tribe-raises-rs-5-4-cr-from-powerhouse-ventures-and-gsf/
https://onlygood.ai/,$0.50,Seed,Carbon Management,Gurugram,10/10/2024,https://entrackr.com/2024/10/onlygood-ai-raises-seed-round/
https://irasus.com/,$0.48,Seed,Energy Analytics,Gurugram,09/10/2024,https://entrackr.com/2024/10/energy-analytics-company-irasus-technologies-raises-seed-round/
https://www.socialhardware.in/index.html,$0.38,Seed,Hardware,Bengaluru,10/10/2024,https://entrackr.com/2024/10/assistive-technology-startup-social-hardware-raises-rs-3-2-cr/
https://dorjeteas.com/,$0.21,Seed,D2C Tea Brand,Darjeeling,12/10/2024,https://entrackr.com/2024/10/dorje-teas-raises-seed-funding-from-coast-fund-vc-untitled-ventures-and-others/
https://beautesecrets.com/,$0.19,,D2C Beauty Tools Brand,Gurugram,07/10/2024,https://entrackr.com/2024/10/d2c-brand-beaute-secrets-raises-rs-1-6-cr-from-velocity/
https://www.jivi.ai/,,,AI Healthcare,Gurugram,08/10/2024,https://entrackr.com/2024/10/andrew-ngs-ai-fund-enters-india-with-investment-in-jivi/
