Company,Amount ($M),Series,Sector,HQ,Date,Source
https://makeo.app/,$16.00,,Healthcare - Dental and Cosmetic,Mumbai,09/01/2024,https://entrackr.com/2024/01/toothsi-parent-makeo-scoops-up-16-mn-in-a-new-round/
https://akshayakalpa.org/,$12.00,Series C,Dairy,Bengaluru,10/01/2024,https://entrackr.com/2024/01/exclusive-akshayakalpa-initiates-new-round-with-12-mn-led-by-a91-partners/
https://slurrpfarm.com/,$7.10,Series C,E-Commerce - D2C Children Snacks Brand,Gurugram,08/01/2024,https://entrackr.com/2024/01/exclusive-anushka-sharma-backed-slurrp-farm-raises-7-2-mn-in-new-round/
https://convegenius.com/,$7.00,Series A,Edtech,Noida,11/01/2024,https://entrackr.com/2024/01/edtech-startup-convegenius-raises-7-mn-in-series-a-round/
https://karkhana.io/,$6.30,Series A,Manufacturing,Mumbai,09/01/2024,https://entrackr.com/2024/01/karkhana-io-raises-6-3-mn-in-series-a-round/
https://piersight.space/,$6.00,Seed,Spacetech,Ahmedabad,09/01/2024,https://entrackr.com/2024/01/piersight-raises-6-mn-in-seed-round-led-by-alpha-wave-and-elevation/
https://www.fisdom.com/,$5.00,Series C,Fintech - Investment,Bengaluru,09/01/2024,https://inc42.com/buzz/exclusive-fisdom-raises-around-5-mn-from-existing-investor-payu/
https://riskcovry.com/,$4.50,Series A bridge,SaaS - Insurance,Mumbai,08/01/2024,https://inc42.com/buzz/riskcovry-nets-4-5-mn-funding-from-morphosis-venture-capital-iifl/
https://www.amahahealth.com/,$4.40,Series A,Healthcare - Mental Health,Mumbai,09/01/2024,https://entrackr.com/2024/01/exclusive-mental-health-startup-amaha-raises-4-4-mn-in-series-a/
https://www.thebakersdozen.in/,$3.97,,E-Commerce - D2C Bakery Brand,Mumbai,11/01/2024,https://entrackr.com/2024/01/the-bakers-dozen-raises-rs-33-cr-led-by-wipro-consumer-care-ventures/
https://www.fittr.com/,$3.50,,Healthcare,Pune,09/01/2024,https://entrackr.com/2024/01/zerodha-backed-rainmatter-invests-in-fittr/
https://www.yulu.bike/,$3.00,Debt,EV,Bengaluru,12/01/2024,https://entrackr.com/2024/01/yulu-raises-rs-25-cr-debt-from-northern-arc/
https://mymuse.in/,$2.70,Debt + Pre-Series A,E-Commerce - D2C Personal Health,Mumbai,09/01/2024,https://entrackr.com/2024/01/d2c-intimacy-brand-mymuse-raises-pre-series-a-round/
https://glamplus.in/,$1.98,Pre-Series A,SaaS - Spa Management,Bengaluru,10/01/2024,https://entrackr.com/2024/01/saas-startup-glamplus-raises-rs-16-5-cr-in-pre-series-a-round/
https://www.linkedin.com/company/acciorobotics/?originalSubdomain=in,$1.80,Pre-Series A,Robotics - Logistics,Bengaluru,09/01/2024,https://entrackr.com/2024/01/accio-robotics-raises-1-8-mn-in-pre-series-a-round/
https://www.evify.co.in/,$1.30,Pre-Series A,Logistics - EV,Surat,10/01/2024,https://entrackr.com/2024/01/evify-raises-1-3-mn-in-pre-series-a-round/
https://www.flexifyme.com/,$1.20,Seed,Health and Wellness,Pune,11/01/2024,https://entrackr.com/2024/01/flexifyme-raises-seed-round-led-by-ivycap-and-flipkart-ventures/
https://www.kidbea.com/,$1.00,Pre-Series A,E-Commerce - Kids Clothing,Noida,08/01/2024,https://entrackr.com/2024/01/plant-based-kids-clothing-brand-kidbea-raises-1-mn-led-by-vcats/
https://salty.co.in/,$0.65,Seed,E-Commerce - Jewellery,Delhi,11/01/2024,https://entrackr.com/2024/01/fashion-jewellery-brand-salty-raises-rs-5-4-cr-from-anicut-capital-others/
https://mylapay.com/,$0.55,Seed,Fintech,Chennai,10/01/2024,https://entrackr.com/2024/01/fintech-startup-mylapay-raises-rs-4-6-cr-in-seed-round-led-by-cdm-capital/
https://unirecstore.com/,$0.19,Seed,E-Commerce - Sustainable Clothing Brand,Mumbai,09/01/2024,https://entrackr.com/2024/01/beyondseed-leads-seed-round-in-unirec/
https://ambitio.club/,$0.19,Pre-Seed,Edtech,Delhi,10/01/2024,https://entrackr.com/2024/01/edtech-startup-ambitio-raises-pre-seed-round/
https://incruiter.com/,$0.13,Debt,SaaS - HRTech,Bengaluru,08/01/2024,https://entrackr.com/2024/01/getvantage-invests-in-hrtech-platform-incruiter/
