Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.infinityfincorp.com/,$35.00,,Fintech - NBFC,Mumbai,09/01/2025,https://entrackr.com/snippets/infinity-fincorp-solutions-closes-35-mn-round-8603735
https://www.grayquest.com/,$9.30,Series B,Fintech,Mumbai,09/01/2025,https://entrackr.com/news/grayquest-raises-93-mn-from-iifl-fintech-fund-claypond-and-pravega-8605812
https://www.vehant.com/,$9.00,Debt,Security and Surveillance,Noida,08/01/2025,https://entrackr.com/snippets/vehant-technologies-raises-9-mn-from-true-north-8601401
https://www.beyondsnack.in/,$8.30,Series A,D2C Snacks - Banana Chips,Alappuzha,09/01/2025,https://entrackr.com/snippets/beyond-snack-raises-83-mn-in-series-a-round-8604226
https://mintoak.com/,$8.27,Secondary,Fintech,Mumbai,09/01/2025,https://entrackr.com/news/paypal-ventures-backed-mintoak-secures-rs-71-cr-in-secondary-funding-8603722
https://emoenergy.in/,$6.20,Series A,Energy,Bengaluru,07/01/2025,https://entrackr.com/snippets/emo-energy-raises-62-mn-in-series-a-round-8598190
https://obenelectric.com/,$6.00,Series A,EV,Bengaluru,07/01/2025,https://entrackr.com/snippets/oben-electric-raises-6-mn-in-series-a-8598547
https://www.brainsightai.com/,$5.00,Pre-Series A,Deeptech,Bengaluru,08/01/2025,https://entrackr.com/snippets/neuroscience-startup-brainsight-ai-raises-5-mn-8602138
https://www.rasluxuryoils.com/,$5.00,Series A,Skincare,Mumbai,08/01/2025,https://entrackr.com/snippets/ras-luxury-skincare-raises-5-mn-led-by-unilever-ventures-8600516
https://hbits.co/,$4.66,Series A,Real Estate - Proptech,Mumbai,08/01/2025,https://entrackr.com/snippets/proptech-startup-hbits-raises-rs-40-cr-in-series-a-8601862
https://www.zoplar.com/,$3.40,Series A,Healthtech,Gurugram,07/01/2025,https://entrackr.com/snippets/blume-ventures-leads-34-mn-round-in-zoplar-8598758
https://www.moonrider.ai/,$2.20,Seed,EV - Tractor,Bengaluru,07/01/2025,https://entrackr.com/snippets/electric-tractor-startup-moonrider-raises-22-mn-in-seed-round-8597800
https://quashbugs.com/,$0.64,Pre-Seed,AI,Bengaluru,10/01/2025,https://entrackr.com/snippets/agentic-ai-startup-quash-raises-pre-seed-round-led-by-arali-ventures-8608038
https://consint.ai/,$0.58,Seed,GenAI,Noida,06/01/2025,https://entrackr.com/snippets/genai-startup-consintai-raises-rs-5-cr-in-seed-round-8594981
https://www.kibisports.com/,$0.10,Pre-Seed,Sports,Bengaluru,07/01/2025,https://entrackr.com/snippets/kibi-sports-raises-100k-in-pre-seed-funding-8598246
https://www.blackcarrot.in/,,Seed,Dinnerware,Mumbai,06/01/2025,https://inc42.com/buzz/d2c-dinnerware-startup-blackcarrot-bags-funding-led-by-we-founder-circle/
