Company,Amount ($M),Series,Sector,HQ,Date,Source
https://paywithring.com/,$100.00,Debt,Fintech - Lending,Mumbai,17/04/2024,https://entrackr.com/2024/04/consumer-lending-app-ring-raises-rs-100-cr-debt-from-trifecta-capital/
https://gpsrenewables.com/,$50.00,Debt,CleanTech,Bengaluru,16/04/2024,https://inc42.com/buzz/gps-renewables-raises-50-mn-debt-funding-to-build-biogas-plants-across-india/
https://sharechat.com/,$49.00,Debt,Social Media,Bengaluru,15/04/2024,https://entrackr.com/2024/03/google-backed-sharechat-raises-49-mn-debt/
https://altumcredo.com/,$40.00,Series C,Fintech - Lending,Pune,18/04/2024,https://entrackr.com/2024/04/altum-credo-raises-40-mn-in-series-c-provides-partial-exit-to-early-backers/
https://www.ecozensolutions.com/,$30.00,Equity + Debt,Agritech,Pune,19/04/2024,https://entrackr.com/2024/04/agri-focused-deeptech-startup-ecozen-raises-30-mn/
https://www.procmart.com/,$30.00,Series B,B2B E-Commerce,Noida,16/04/2024,https://entrackr.com/2024/04/procmart-raises-30-mn-in-series-b-round-led-by-fundamentum-and-edelweiss/
https://www.jjgmachining.com/,$12.00,,Aerospace,Bengaluru,15/04/2024,https://entrackr.com/2024/04/jjg-aero-raises-12-mn-from-cx-partners/
https://www.emversity.com/,$11.00,Seed,Edtech,Bengaluru,18/04/2024,https://entrackr.com/2024/04/former-unacademy-coo-vivek-sinha-raises-11-mn-for-his-new-startup/
https://varthana.com/,$10.00,Debt,Fintech - Education Lending,Bengaluru,15/04/2024,https://inc42.com/buzz/varthana-bags-10-mn-debt-funding-to-offer-loans-to-affordable-private-schools/
https://www.wowmomo.com/,$9.00,Series D,QSR,Kolkata,17/04/2024,https://entrackr.com/2024/04/wow-momo-raises-9-mn-more-in-series-d-round/
https://lightfurygames.com/,$8.50,Seed,Gaming,,17/04/2024,https://entrackr.com/2024/04/lightfury-games-raises-8-5-mn-in-seed-round-led-by-blume/
https://fincfriends.com/,$7.80,Equity + Debt,Fintech - NBFC Lending,Bengaluru,15/04/2024,https://inc42.com/buzz/rupeeredees-nbfc-arm-fincfriends-bags-7-8-mn-in-debt-equity/
https://www.clickpost.ai/,$6.00,Series A,SaaS - Logistics,Gurugram,16/04/2024,https://entrackr.com/2024/04/clickpost-raises-6-mn-in-series-a-round/
https://goodflippin.com/,$3.60,Series A,QSR - Burger Chain,Mumbai,18/04/2024,https://entrackr.com/2024/04/exclusive-good-flippin-burgers-raises-capital-from-tanglin-venture/
https://medulance.com/,$3.00,Series A,Healthcare,Delhi,16/04/2024,https://entrackr.com/2024/04/medulance-bags-3-mn-in-series-a-round-led-by-alkemi-growth-capital/
https://includ.com/,$1.50,Seed,E-Commerce - Kids Clothing,Gurugram,18/04/2024,https://entrackr.com/2024/04/premium-kidswear-brand-includ-raises-1-5-mn-led-by-incubate-fund-asia/
https://amwoodo.com/,$1.00,Seed,Sustainability,Kolkata,16/04/2024,https://entrackr.com/2024/04/amwoodo-raises-1-mn-from-zerodha-backed-rainmatter/
https://circleofgames.com/,$1.00,,Gaming,Bengaluru,17/04/2024,https://entrackr.com/2024/04/circle-of-games-raises-1-mn-from-nazara-and-the-hashgraph-association/
https://varcolegcare.com/,$0.50,Seed,Healthcare,Delhi,16/04/2024,https://entrackr.com/2024/04/varco-leg-care-raises-500k-in-seed-funding/
https://dotplanck.com/,$0.35,Bridge Round,Renewable Energy,Delhi,16/04/2024,https://entrackr.com/2024/04/planckdot-raises-350k-in-bridge-round/
https://sapienceautomata.com/,$0.21,Seed,AI - Driver Assistance,Bengaluru,18/04/2024,https://entrackr.com/2024/04/driver-assistance-startup-sapience-automata-raises-seed-round/
