Company,Amount ($M),Date,HQ,Sector,Series,Source
https://sapienceautomata.com/,$0.21,18/04/2024,Bengaluru,AI - Driver Assistance,Seed,https://entrackr.com/2024/04/driver-assistance-startup-sapience-automata-raises-seed-round/
https://paywithring.com/,$100.00,17/04/2024,Mumbai,Fintech - Lending,Debt,https://entrackr.com/2024/04/consumer-lending-app-ring-raises-rs-100-cr-debt-from-trifecta-capital/
https://www.jjgmachining.com/,$12.00,15/04/2024,Bengaluru,Aerospace,,https://entrackr.com/2024/04/jjg-aero-raises-12-mn-from-cx-partners/
https://medulance.com/,$3.00,16/04/2024,Delhi,Healthcare,Series A,https://entrackr.com/2024/04/medulance-bags-3-mn-in-series-a-round-led-by-alkemi-growth-capital/
https://circleofgames.com/,$1.00,17/04/2024,Bengaluru,Gaming,,https://entrackr.com/2024/04/circle-of-games-raises-1-mn-from-nazara-and-the-hashgraph-association/
https://dotplanck.com/,$0.35,16/04/2024,Delhi,Renewable Energy,Bridge Round,https://entrackr.com/2024/04/planckdot-raises-350k-in-bridge-round/
https://altumcredo.com/,$40.00,18/04/2024,Pune,Fintech - Lending,Series C,https://entrackr.com/2024/04/altum-credo-raises-40-mn-in-series-c-provides-partial-exit-to-early-backers/
https://fincfriends.com/,$7.80,15/04/2024,Bengaluru,Fintech - NBFC Lending,Equity + Debt,https://inc42.com/buzz/rupeeredees-nbfc-arm-fincfriends-bags-7-8-mn-in-debt-equity/
https://gpsrenewables.com/,$50.00,16/04/2024,Bengaluru,CleanTech,Debt,https://inc42.com/buzz/gps-renewables-raises-50-mn-debt-funding-to-build-biogas-plants-across-india/
https://www.wowmomo.com/,$9.00,17/04/2024,Kolkata,QSR,Series D,https://entrackr.com/2024/04/wow-momo-raises-9-mn-more-in-series-d-round/
https://goodflippin.com/,$3.60,18/04/2024,Mumbai,QSR - Burger Chain,Series A,https://entrackr.com/2024/04/exclusive-good-flippin-burgers-raises-capital-from-tanglin-venture/
https://lightfurygames.com/,$8.50,17/04/2024,,Gaming,Seed,https://entrackr.com/2024/04/lightfury-games-raises-8-5-mn-in-seed-round-led-by-blume/
https://includ.com/,$1.50,18/04/2024,Gurugram,E-Commerce - Kids Clothing,Seed,https://entrackr.com/2024/04/premium-kidswear-brand-includ-raises-1-5-mn-led-by-incubate-fund-asia/
https://www.emversity.com/,$11.00,18/04/2024,Bengaluru,Edtech,Seed,https://entrackr.com/2024/04/former-unacademy-coo-vivek-sinha-raises-11-mn-for-his-new-startup/
https://varthana.com/,$10.00,15/04/2024,Bengaluru,Fintech - Education Lending,Debt,https://inc42.com/buzz/varthana-bags-10-mn-debt-funding-to-offer-loans-to-affordable-private-schools/
https://www.procmart.com/,$30.00,16/04/2024,Noida,B2B E-Commerce,Series B,https://entrackr.com/2024/04/procmart-raises-30-mn-in-series-b-round-led-by-fundamentum-and-edelweiss/
https://amwoodo.com/,$1.00,16/04/2024,Kolkata,Sustainability,Seed,https://entrackr.com/2024/04/amwoodo-raises-1-mn-from-zerodha-backed-rainmatter/
https://sharechat.com/,$49.00,15/04/2024,Bengaluru,Social Media,Debt,https://entrackr.com/2024/03/google-backed-sharechat-raises-49-mn-debt/
https://varcolegcare.com/,$0.50,16/04/2024,Delhi,Healthcare,Seed,https://entrackr.com/2024/04/varco-leg-care-raises-500k-in-seed-funding/
https://www.clickpost.ai/,$6.00,16/04/2024,Gurugram,SaaS - Logistics,Series A,https://entrackr.com/2024/04/clickpost-raises-6-mn-in-series-a-round/
https://www.ecozensolutions.com/,$30.00,19/04/2024,Pune,Agritech,Equity + Debt,https://entrackr.com/2024/04/agri-focused-deeptech-startup-ecozen-raises-30-mn/
