Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.rayzonsolar.com/,$16.20,,Solar,Surat,18/04/2025,https://entrackr.com/exclusive/exclusive-sachin-tendulkar-and-others-invest-18-mn-in-rayzon-solar-at-844-mn-valuation-8976444
https://www.ofbusiness.com/,$11.70,,B2B Marketplace - Construction Materials,Gurugram,16/04/2025,https://inc42.com/buzz/ipo-bound-ofbusiness-snags-inr-100-cr-from-cornerstone/
https://www.garudaaerospace.com/,$11.70,Series B,Drone,Chennai,16/04/2025,https://inc42.com/buzz/garuda-aerospace-bags-inr-100-cr-from-venture-catalysts-others/
https://varthana.com/,$8.77,Debt,Fintech,Bengaluru,17/04/2025,https://inc42.com/buzz/exclusive-varthana-bags-inr-75-cr-debt-funding-from-ofbusiness-oxyzo/
https://optimizedelectrotech.com/,$6.00,Series A,Deeptech,Ahmedabad,17/04/2025,https://entrackr.com/snippets/optimized-electrotech-raises-6-mn-in-series-a-round-8960093
https://magmagroup.in/,$5.00,Series A,Manufacturing,Ahmedabad,16/04/2025,https://entrackr.com/snippets/magma-raises-5-mn-in-series-a-round-led-by-capria-ventures-8969008
https://www.peppermintrobotics.com/,$4.00,Series A,Robotics,Pune,16/04/2025,https://entrackr.com/snippets/peppermint-raises-4-mn-to-expand-in-eu-japan-and-apac-8967307
https://jewelbox.co.in/,$3.20,Pre-Series A,Jewellery Brand,Kolkata,16/04/2025,https://entrackr.com/snippets/jewelbox-raises-32-mn-in-pre-series-a-round-8966846
http://i-pec.in/,$3.00,,EV Charging,Bengaluru,16/04/2025,https://entrackr.com/snippets/ev-charging-startup-ipec-bags-3-mn-from-gruhas-8968756
https://centa.org/,$2.33,Series A,Edtech,Bengaluru,15/04/2025,https://entrackr.com/snippets/centa-raises-rs-20-cr-in-series-a1-round-led-by-colossa-ventures-8963164
https://www.nothingbeforecoffee.com/,$2.30,Pre-Series A,QSR - Coffee Chain,Jaipur,16/04/2025,https://entrackr.com/snippets/nothing-before-coffee-bags-23-mn-in-pre-series-a-round-8967106
https://www.goodmonk.in/,$2.00,Pre-Series A,Nutrition Brand,Bengaluru,17/04/2025,https://entrackr.com/snippets/good-monk-raises-2-mn-in-pre-series-a-round-led-by-rpsg-capital-8971461
https://enjoyrio.in/,$1.17,Pre-Series A,Beverage Brand,Pune,15/04/2025,https://entrackr.com/snippets/beverage-startup-rio-innobev-raises-rs-10-cr-led-by-atomic-capital-8965035
https://thatsassything.com/,$0.70,Seed,Wellness and Fitness,Delhi,17/04/2025,https://entrackr.com/snippets/that-sassy-thing-raises-rs-6-cr-in-seed-round-led-by-ipv-8971464
https://curacare.in/,$0.58,Pre-Seed,Healthcare,Bengaluru,14/04/2025,https://entrackr.com/snippets/cura-care-raises-rs-5-cr-in-pre-seed-round-led-by-zeropearl-vc-8960594
https://www.planckred.com/,$0.50,Pre-Seed,Data Infrastructure,Delhi,17/04/2025,https://entrackr.com/snippets/deep-tech-startup-planck-bags-pre-seed-funding-ok-8971726
https://beastlife.in/,$0.22,,Nutrition Brand,Gurugram,14/04/2025,https://entrackr.com/snippets/indian-cricketer-rinku-singh-invests-rs-19-cr-in-beastlife-at-120-cr-valuation-8960958
,,,,,,
https://sportsskill.app/,,Pre-Seed,Sports Tech,Pune,14/04/2025,https://entrackr.com/snippets/sports-tech-startup-sportsskill-bags-pre-seed-round-led-by-waimea-bay-investments-8960409
https://uppercase.co.in/,,,D2C Luggage Brand,Mumbai,17/04/2025,https://entrackr.com/snippets/jasprit-bumrah-invests-in-luggage-brand-uppercase-8959902
