Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.urbancompany.com/,$63.00,,Home Services,Gurugram,17/07/2024,https://entrackr.com/2024/07/urban-company-concludes-63-mn-secondary-led-by-dharana-capital/
https://blacksoil.co.in/,$25.00,Debt,Fintech - NBFC Lending,Mumbai,19/07/2024,https://entrackr.com/2024/07/blacksoil-nbfc-raises-over-rs-200-cr-debt/
https://www.lenskart.com/,$20.00,,E-Commerce - Eyewear Retailer,Gurugram,18/07/2024,https://entrackr.com/2024/07/exclusive-lenskart-raises-nearly-20-mn-led-by-peyush-and-neha-bansal/
https://newme.asia/,$18.00,Series A,E-Commerce - Fast Fashion,Bengaluru,18/07/2024,https://entrackr.com/2024/07/fast-fashion-brand-newme-raises-18-mn-in-series-a/
https://stablemoney.in/,$15.00,,Fintech,Bengaluru,21/07/2024,https://entrackr.com/2024/07/exclusive-wealthtech-startup-stable-money-raises-15-mn-in-new-round/
https://aereo.io/,$15.00,Series B,Drones,Bengaluru,18/07/2024,
https://nammayatri.in/,$11.00,Pre-Series A,Ride-hailing,Bengaluru,16/07/2024,https://entrackr.com/2024/07/namma-yatri-raises-11-mn-from-blume-antler-google-and-others/
https://www.seedsfincap.com/,$8.50,Series A,Fintech - NBFC Lending,Gurugram,17/07/2024,https://entrackr.com/2024/07/seeds-fincap-raises-8-5-mn-led-by-lok-capital-and-z47/
https://www.corvi.com/,$8.00,Series B,Consumer Lighting,Mumbai,17/07/2024,https://entrackr.com/2024/07/hero-enterprise-backed-corvi-led-raises-8-mn-in-series-b/
https://www.sliceit.com/,$8.00,Debt,Fintech - Payments and Lending,Bengaluru,19/07/2024,https://entrackr.com/2024/07/exclusive-slice-concludes-30-mn-debt-round-from-existing-investor/
https://www.bytexl.com/,$5.90,Series A,Edtech,Hyderabad,18/07/2024,https://inc42.com/buzz/edtech-startup-bytexl-bags-5-9-mn-to-boost-it-skill-offerings-for-students/
https://www.freshbus.com/,$5.30,Series A,EV,Bengaluru,18/07/2024,https://entrackr.com/2024/07/exclusive-ixigo-backed-freshbus-kicks-off-series-a-round/
https://helloboon.com/,$5.00,Series A,Watertech,Gurugram,17/07/2024,https://entrackr.com/2024/07/watertech-startup-boon-raises-5-mn-in-series-a/
https://omnicard.in/,$3.00,Pre-Series A,Fintech - Spend Management,Noida,17/07/2024,https://inc42.com/buzz/omnicard-nets-3-mn-to-boost-upi-enabled-corporate-card-offerings-for-enterprises/
https://www.ninecamp.co/,$2.00,Seed,Food and Beverages,Delhi,17/07/2024,https://entrackr.com/2024/07/ninecamp-ventures-raises-2-mn-in-seed-round/
https://icanheal.in/,$1.79,Seed,Healthcare,Mumbai,17/07/2024,https://entrackr.com/2024/07/icanheal-raises-rs-15-cr-in-seed-round-led-by-ivycap-ventures/
https://multipl.in/,$1.50,Seed,Fintech,Bengaluru,17/07/2024,https://entrackr.com/2024/07/fintech-startup-multipl-raises-1-5-mn/
https://skininspired.in/,$1.50,Seed,E-Commerce - Skincare brand,Udaipur,15/07/2024,https://entrackr.com/2024/07/skininspired-raises-1-5-mn-in-seed-round-led-by-unilever-ventures/
https://lifetimehealth.in/,$1.50,Seed,Healthcare,Bengaluru,18/07/2024,https://entrackr.com/2024/07/lifetime-health-raises-1-5-mn-in-seed-round-2/
https://perpetuitycapital.in/,$0.84,,Fintech - EV Financing,Kolkata,15/07/2024,https://entrackr.com/2024/07/ev-financing-startup-perpetuity-capital-raises-rs-7-cr/
https://www.honestly.club/,$0.38,Pre-Seed,E-Commerce - Beauty and Personal Care,Bengaluru,18/07/2024,https://entrackr.com/2024/07/honestly-raises-rs-3-2-cr-in-pre-seed-round-from-better-capital/
https://www.frendy.in/,$0.24,Debt,Retail Tech,Ahmedabad,16/07/2024,https://entrackr.com/2024/07/frendy-raises-rs-2-cr-in-debt-from-uc-inclusive-credit/
https://mypickup.in/,$0.18,Seed,EV Ride Hailing,Bengaluru,18/07/2024,https://entrackr.com/2024/07/ipv-leads-seed-round-in-ev-ride-hailing-startup-mypickup/
