Company,Amount ($M),Series,Sector,HQ,Date,Source
https://qpiai.tech/,$32.00,Series A,Deeptech,Bengaluru,16/07/2025,https://inc42.com/buzz/qpiai-bags-32-mn-to-integrate-ai-quantum-computing-into-enterprise-solutions/
https://www.truemeds.in/,$20.00,Series C,Healthtech,Mumbai,16/07/2025,https://entrackr.com/exclusive/exclusive-peak-xv-joins-truemeds-series-c-round-with-20-mn-9500136
https://payphi.com/,$6.00,Series B,Fintech,Pune,16/07/2025,https://entrackr.com/exclusive/exclusive-phi-commerce-tops-up-series-b-with-fresh-funding-9501296
https://www.burgersinghonline.com/,$5.50,,QSR Brand,Gurugram,17/07/2025,https://entrackr.com/exclusive/exclusive-burger-singh-scoops-up-rs-47-cr-in-fresh-funding-round-9504604
https://lofoods.fit/,$3.50,Series B,Healthy Food Brand,Bengaluru,17/07/2025,https://entrackr.com/snippets/lo-foods-raises-35-mn-in-series-b-round-9504677
http://www.omspace.in/,$3.00,Pre-Seed,Spacetech,Ahmedabad,18/07/2025,https://entrackr.com/snippets/space-tech-startup-omspace-raises-3-mn-in-pre-seed-round-9510349
https://www.trupeer.ai/,$3.00,Seed,Video AI,Bengaluru,15/07/2025,https://entrackr.com/snippets/trupeer-bags-3-mn-seed-round-led-by-rtp-global-9498489
https://knotnow.co/,$3.00,Pre-Series A,Quick Commerce - Fashion,Bengaluru,16/07/2025,https://entrackr.com/snippets/quick-fashion-delivery-startup-knot-raises-3-mn-led-by-kae-capital-9500840
http://www.zeushygia.com/,$2.50,Series A,Biotech,Hyderabad,16/07/2025,https://entrackr.com/snippets/zeus-hygia-raises-25-mn-from-nabventures-9501055
https://www.dcgpac.com/,$1.75,Pre-Series A,B2B Packaging,Gurugram,17/07/2025,https://entrackr.com/snippets/gvfl-leads-rs-15-cr-round-in-b2b-packaging-platform-dcg-tech-9505558
https://shop.zuppa.io/,$1.50,,Dronetech,Chennai,16/07/2025,https://entrackr.com/snippets/dronetech-startup-zuppa-raises-15-mn-in-bridge-round-9502008
https://www.deepalgorithms.in/,$1.25,Seed,Cybersecurity,Hyderabad,16/07/2025,https://entrackr.com/snippets/cybersecurity-startup-deep-algorithm-raises-rs-108-cr-in-seed-round-9501281
https://www.dial4242.com/,$1.04,Pre-Series A,On-Demand Ambulance Service,Mumbai,15/07/2025,https://entrackr.com/snippets/ambulance-startup-dial4242-raises-rs-9-cr-in-pre-series-a-round-9498560
https://www.theweddingcompany.com/,$1.00,Pre-Seed,Wedding Planning,Bengaluru,15/07/2025,https://entrackr.com/snippets/the-wedding-company-raises-1-mn-in-pre-seed-round-9496868
https://navana.ai/,$0.80,Pre-Series A,Voice AI,Bengaluru,15/07/2025,https://entrackr.com/snippets/voice-ai-startup-navanaai-raises-rs-7-cr-in-pre-series-a-round-9500014
https://app.zulu.club/,$0.25,Pre-Seed,Quick Commerce - Fashion,Gurugram,16/07/2025,https://entrackr.com/snippets/zulu-club-raises-250k-in-pre-seed-round-from-tdv-partners-9501275
https://culture-circle.com/,,,Fashion Commerce,Gurugram,16/07/2025,https://entrackr.com/snippets/oyos-ritesh-agarwal-invests-in-culture-circle-at-over-rs-100-cr-valuation-9503107
