Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.eruditus.com/,$150.00,Series F,Edtech,Mumbai,18/10/2024,https://entrackr.com/2024/10/eruditus-raises-150-mn-in-series-f-led-by-tpgs-the-rise-fund/
https://www.purplle.com/,$60.00,Series F,Beauty E-Commerce,Mumbai,14/10/2024,https://entrackr.com/2024/10/purplle-closes-series-f-round-at-180-mn/
https://www.giva.co/,$30.33,Series B,Online Jewelry Brand,Bengaluru,14/10/2024,https://entrackr.com/2024/10/giva-raises-rs-255-cr-a91-and-india-quotient-get-exit-worth-rs-166-cr/
https://www.primuslife.in/,$20.00,Seed,Eldercare,Bengaluru,16/10/2024,https://economictimes.indiatimes.com/tech/funding/eldercare-startup-primus-senior-living-raises-20-million-from-general-catalyst-others/articleshow/114257469.cms
https://wrogn.com/,$9.00,,Men Fashion Brand,Bengaluru,17/10/2024,https://entrackr.com/2024/10/wrogn-raises-9-mn-from-aditya-birla-digital-fashion/
https://store.troogood.com/,$9.00,,D2C Snack Brand,Hyderabad,15/10/2024,https://entrackr.com/2024/10/troo-good-raises-9-mn-led-by-puro-wellness/
https://www.sliceit.com/,$8.60,,Fintech - Consumer Lending,Bengaluru,17/10/2024,https://entrackr.com/2024/10/exclusive-slice-raises-8-6-mn-from-ceo-rajan-bajaj/
https://www.simplismart.ai/,$7.00,Series A,SaaS,Bengaluru,18/10/2024,https://entrackr.com/2024/10/saas-startup-simplismart-raises-7-mn-in-series-a-funding/
https://yufoodsco.com/,$6.50,Series B,Consumer Food Brand,Gurugram,18/10/2024,https://entrackr.com/2024/10/consumer-food-brand-yu-raises-rs-55-cr-in-series-b-round/
https://www.suraasa.com/?audience=Ln%20Page%20Description,$6.00,Series A,Edtech,Gurugram,17/10/2024,https://entrackr.com/2024/10/suraasa-raises-6-mn-in-new-round-from-reach-capital-ets-and-others-2/
https://www.agnitsemi.com/,$3.50,Seed,Semiconductor,Bengaluru,17/10/2024,https://inc42.com/buzz/agnit-semiconductors-nets-3-5-mn-led-by-3one4-capital/
https://thegoodbug.com/,$3.50,Series A,Health and Wellness Brand,Mumbai,14/10/2024,https://inc42.com/buzz/the-good-bug-raises-3-5-mn-from-sharrp-fireside-ventures/
https://yoholife.in/,$3.20,Pre-Series B,D2C Footwear Brand,Delhi,15/10/2024,https://entrackr.com/2024/10/d2c-footwear-brand-yoho-raises-rs-27-cr-in-pre-series-b-round/
https://www.perceptyne.com/,$3.00,Seed,Robotics,Hyderabad,14/10/2024,https://entrackr.com/2024/10/deeptech-robotics-startup-perceptyne-raises-3-mn-in-seed-round/
https://optimizedelectrotech.com/,$2.97,Grant,Defense,Ahmedabad,16/10/2024,https://inc42.com/buzz/optimized-electrotech-bags-inr-25-cr-grant-from-centre/
https://redfortcapital.com/,$2.69,Debt,Fintech - NBFC,Mumbai,16/10/2024,https://entrackr.com/2024/10/red-fort-capital-bags-rs-22-6-cr-in-debt-from-major-psu-banks/
https://febi.ai/,$2.00,Pre-Series A,Accounting,Gurugram,17/10/2024,https://entrackr.com/2024/10/accounting-and-tax-management-platform-febi-ai-raises-2-mn/
https://www.datasciencewizards.ai/,$1.40,Seed,Data Science,Thane,15/10/2024,https://entrackr.com/2024/10/data-science-wizards-raises-1-4-mn-in-seed-funding/
https://www.tablesprint.com/,$1.00,Seed,No-code app builder,Bengaluru,16/10/2024,https://entrackr.com/2024/10/no-code-app-builder-tablesprint-raises-1-mn-in-seed-round/
https://elixia.tech/,$1.00,Pre-Series A,Logistics Automation,Mumbai,14/10/2024,https://entrackr.com/2024/10/jiif-leads-1-mn-round-in-logistics-automation-startup-elixia/
https://www.lifechartayurveda.in/,$0.50,Seed,Wellness Brand,Gurugram,16/10/2024,https://entrackr.com/2024/10/gut-wellness-brand-lifechart-raises-500k-in-seed-round/
https://getalchemystai.com/,$0.30,Pre-Seed,Gen AI - SaaS,Bengaluru,16/10/2024,https://entrackr.com/2024/10/alchemyst-ai-raises-300k-in-pre-seed-round-led-by-ipv-and-others/
https://www.evenflowbrands.com/,,,E-Commerce Roll-up,Bengaluru,15/10/2024,https://entrackr.com/2024/10/evenflow-raises-bridge-round-eyes-public-listing-by-2027/
