Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.wowmomo.com/,$42.00,Series D,Quick Service Restaurant,Kolkata,16/01/2024,https://entrackr.com/2024/01/wow-momo-raises-42-mn-led-by-khazanah/
https://www.stockgro.club/,$24.65,Debt,Edtech - Fintech,Bengaluru,17/01/2024,https://entrackr.com/2024/01/exclusive-stockgro-raises-rs-205-cr-debt-from-trifecta-and-hindustan-media/
https://www.getonecard.app/,$14.43,Debt,Fintech - Credit Card,Pune,15/01/2024,https://inc42.com/buzz/onecards-parent-secures-14-4-mn-from-alteria-capital/
https://finagg.in/,$11.00,Series A,Fintech,Noida,18/01/2024,https://entrackr.com/2024/01/finagg-raises-11-mn-in-series-a-led-by-blue-orchard-and-tata-capital/
https://alt-mobility.com/,$6.00,Series A,EV - Logistics,Delhi,19/01/2024,https://entrackr.com/2024/01/alt-mobility-raises-6-mn-led-by-shell-ventures-and-others/
https://aquaexchange.com/,$6.00,Series A,IoT - Aquaculture,Vijaywada,19/01/2024,https://entrackr.com/2024/01/aquaexchange-raises-6-mn-in-series-a-led-by-ocean-14-capital/
https://groyyo.com/,$5.40,Debt,Manufacturing,Gurugram,19/01/2024,https://entrackr.com/2024/01/groyyo-raises-5-4-mn-in-debt-round-from-lighthouse-and-trifecta/
https://www.buyeazzy.com/,$4.25,Series A,E-Commerce,Delhi,18/01/2024,https://entrackr.com/2024/01/buyeazzy-raises-4-25-mn-in-series-a-round/
https://upswing.one/,$4.20,Pre-Series A,Fintech,Bengaluru,17/01/2024,https://entrackr.com/2024/01/upswing-raises-4-2-mn-in-pre-series-a-round/
https://www.indrawater.com/,$4.00,Series A,Cleantech,Mumbai,18/01/2024,https://entrackr.com/2024/01/cleantech-startup-indra-raises-4-mn-in-series-a-round/
https://www.kisankonnect.in/,$3.75,Pre-Series A,E-Commerce - Agritech - Fruits and Vegetables,Ahmednagar,16/01/2024,https://entrackr.com/2024/01/agritech-startup-kisankonnect-raises-rs-31-cr-in-pre-series-a/
https://inprime.in/,$3.00,Series A,Fintech - Lending,Bengaluru,16/01/2024,https://entrackr.com/2024/01/inprime-raises-3-mn-led-by-matrix-partners-india/
https://www.jeh.aero/,$2.75,Seed,Manufacturing - Spacetech,Hyderabad,18/01/2024,https://economictimes.indiatimes.com/tech/funding/jeh-aerospace-raises-2-75-million-in-funding-round-led-by-general-catalyst/articleshow/106937736.cms
https://adya.ai/,$1.26,Pre-Series A,SaaS - Digital Commerce,Hyderabad,16/01/2024,https://entrackr.com/2024/01/adya-ai-raises-rs-10-5-cr-in-pre-series-a-round/
https://zingavita.com/,$1.20,Pre-Series A,E-Commerce - Health and Wellness Products,Chandigarh,16/01/2024,https://entrackr.com/2024/01/anicut-capital-leads-rs-10-cr-round-in-zingavita/
https://bharatsure.com/,$1.00,,Fintech - Insurance,Mumbai,18/01/2024,https://entrackr.com/2024/01/insurtech-startup-bharatsure-raises-1-mn-led-by-capital-a/
https://bonvaero.com/,$0.72,,Drone,Bhubaneswar,18/01/2024,https://entrackr.com/2024/01/drone-startup-bonv-aero-raises-rs-6-cr-led-by-ipv/
https://medial.app/,$0.12,Pre-Seed,Social Media,Pre-Seed,17/01/2024,https://entrackr.com/2024/01/medial-raises-120k-pre-seed-round/
