Company,Amount ($M),Series,Sector,HQ,Date,Source
https://wework.co.in/,$57.90,,Coworking,Bengaluru,13/01/2025,https://entrackr.com/snippets/wework-india-raises-rs-500-cr-via-rights-issue-8614271
https://foxtale.in/,$30.00,,D2C Skincare,Mumbai,15/01/2025,https://entrackr.com/news/d2c-skincare-brand-foxtale-raises-30-mn-8623443
https://www.ecozensolutions.com/,$23.00,Debt,Climate-focused deeptech,Pune,15/01/2025,https://entrackr.com/news/climate-tech-startup-ecozen-raises-23-mn-in-debt-8623678
https://www.eulermotors.com/,$20.00,Debt,EV,Delhi,15/01/2025,https://inc42.com/buzz/euler-motors-raises-20-mn-in-debt-from-responsability-investments/
https://www.bgauss.com/,$18.60,,EV,Mumbai,14/01/2025,https://entrackr.com/news/ev-two-wheeler-manufacturer-bgauss-raises-rs-161-cr-8620040
https://bharatpe.com/,$17.30,Debt,Fintech,Gurugram,14/01/2025,https://inc42.com/buzz/bharatpe-raises-inr-150-cr-debt-eyes-ebitda-profitability-in-fy25/
https://www.sarla-aviation.com/,$10.00,Series A,Aerospace - Flying Taxi,Bengaluru,15/01/2025,https://entrackr.com/snippets/aerospace-startup-sarla-aviation-raises-10-mn-led-by-accel-8622762
https://www.zypp.app/,$6.50,Series C,EV,Gurugram,15/01/2025,https://entrackr.com/exclusive/exclusive-zypp-electric-raises-65-mn-in-ongoing-series-c-8622270
https://astrosure.ai/,$6.00,Seed,Astrology,Chennai,16/01/2025,https://entrackr.com/snippets/astrosureai-raises-6-mn-in-seed-round-8626771
https://www.emizainc.com/,$6.00,,Logistics,Mumbai,16/01/2025,https://entrackr.com/exclusive/exclusive-emiza-supply-chain-kicks-off-new-funding-round-8625857
https://www.wevois.com/,$4.20,Series A,Waste Management,Jaipur,16/01/2025,https://entrackr.com/snippets/wevois-raises-rs-36-cr-in-series-a-round-from-negen-capital-8626156
https://www.bobabhai.com/,$3.47,Series A,QSR,Bengaluru,13/01/2025,https://entrackr.com/snippets/bubble-tea-brand-boba-bhai-raises-rs-30-cr-in-series-a-round-8614194
https://www.constelli.com/,$3.00,Pre-Series A,Aerospace,Hyderabad,17/01/2025,https://entrackr.com/snippets/pravega-ventures-leads-3-mn-pre-series-a-round-in-constelli-8629310
https://www.fambo.in/,$2.50,Pre-Series A,Foodtech,Noida,16/01/2025,https://entrackr.com/snippets/foodtech-startup-fambo-raises-rs-21-cr-in-pre-series-a-funding-8626412
https://www.tyreplex.com/,$2.31,,B2B Tyre Marketplace,Delhi,15/01/2025,https://inc42.com/buzz/tyreplex-pockets-inr-20-cr-to-digitise-indias-tyre-space/
https://www.zerocircle.in/,$2.30,,Biotech,Pune,16/01/2025,https://entrackr.com/snippets/biotech-startup-zerocircle-raises-rs-20-cr-led-by-rainmatter-8626169
https://kisaansay.com/,$2.00,Pre-Seed,D2C Food Brand,Gurugram,16/01/2025,https://entrackr.com/snippets/kisaansay-raises-2-mn-in-pre-seed-round-led-by-jungle-ventures-8625838
https://www.erlysign.com/,$1.85,Pre-Series A,Healthtech,Nagpur,15/01/2025,https://inc42.com/buzz/erlysign-bags-inr-16-cr-to-develop-cancer-diagnostic-solutions/
https://www.orbitaid.com/,$1.50,Pre-Seed,Spacetech,Bengaluru,15/01/2025,https://entrackr.com/snippets/spacetech-startup-orbitaid-raises-15-mn-led-by-unicorn-india-ventures-8622828
https://parkmate.in/,$1.20,,Parking Management,Noida,15/01/2025,https://entrackr.com/snippets/cactus-partners-leads-12-mn-round-in-parkmate-8623699
https://greenstitch.io/,$1.20,Seed,SaaS - Fashion,Bengaluru,15/01/2025,https://entrackr.com/snippets/greenstitch-bags-12-mn-in-seed-round-8623238
https://www.reput.ai/#/home,$1.00,Pre-Seed,Supply Chain Solution,Bengaluru,13/01/2025,https://entrackr.com/snippets/reputai-closes-1-mn-in-pre-seed-round-led-by-growthcap-ventures-8619352
https://tractorfactory.in/#/,$0.50,Pre-Seed,Pre-Owned Tractor Marketplace,Jabalpur,14/01/2025,https://entrackr.com/snippets/tractor-factory-raises-500k-in-pre-seed-round-led-by-all-in-capital-8619966
https://www.houseofchikankari.in/,$0.46,Seed,D2C Clothing Brand,Delhi,16/01/2025,https://entrackr.com/snippets/house-of-chikankari-bags-rs-4-cr-in-seed-round-8625846
https://sukoonunlimited.com/,$0.43,Pre-Seed,Agetech,Bengaluru,15/01/2025,https://entrackr.com/snippets/agetech-startup-sukoon-unlimited-raises-pre-seed-round-8622991
https://motorfloor.com/,,Pre-Seed,Autotech,Bhubaneshwar,16/01/2025,https://entrackr.com/snippets/autotech-startup-motorfloor-raises-pre-seed-round-8626200
