Company,Amount ($M),Date,HQ,Sector,Series,Source
https://foxtale.in/,$30.00,15/01/2025,Mumbai,D2C Skincare,,https://entrackr.com/news/d2c-skincare-brand-foxtale-raises-30-mn-8623443
https://www.zypp.app/,$6.50,15/01/2025,Gurugram,EV,Series C,https://entrackr.com/exclusive/exclusive-zypp-electric-raises-65-mn-in-ongoing-series-c-8622270
https://www.tyreplex.com/,$2.31,15/01/2025,Delhi,B2B Tyre Marketplace,,https://inc42.com/buzz/tyreplex-pockets-inr-20-cr-to-digitise-indias-tyre-space/
https://www.bobabhai.com/,$3.47,13/01/2025,Bengaluru,QSR,Series A,https://entrackr.com/snippets/bubble-tea-brand-boba-bhai-raises-rs-30-cr-in-series-a-round-8614194
https://www.sarla-aviation.com/,$10.00,15/01/2025,Bengaluru,Aerospace - Flying Taxi,Series A,https://entrackr.com/snippets/aerospace-startup-sarla-aviation-raises-10-mn-led-by-accel-8622762
https://www.reput.ai/#/home,$1.00,13/01/2025,Bengaluru,Supply Chain Solution,Pre-Seed,https://entrackr.com/snippets/reputai-closes-1-mn-in-pre-seed-round-led-by-growthcap-ventures-8619352
https://www.bgauss.com/,$18.60,14/01/2025,Mumbai,EV,,https://entrackr.com/news/ev-two-wheeler-manufacturer-bgauss-raises-rs-161-cr-8620040
https://wework.co.in/,$57.90,13/01/2025,Bengaluru,Coworking,,https://entrackr.com/snippets/wework-india-raises-rs-500-cr-via-rights-issue-8614271
https://www.ecozensolutions.com/,$23.00,15/01/2025,Pune,Climate-focused deeptech,Debt,https://entrackr.com/news/climate-tech-startup-ecozen-raises-23-mn-in-debt-8623678
https://tractorfactory.in/#/,$0.50,14/01/2025,Jabalpur,Pre-Owned Tractor Marketplace,Pre-Seed,https://entrackr.com/snippets/tractor-factory-raises-500k-in-pre-seed-round-led-by-all-in-capital-8619966
https://bharatpe.com/,$17.30,14/01/2025,Gurugram,Fintech,Debt,https://inc42.com/buzz/bharatpe-raises-inr-150-cr-debt-eyes-ebitda-profitability-in-fy25/
https://www.eulermotors.com/,$20.00,15/01/2025,Delhi,EV,Debt,https://inc42.com/buzz/euler-motors-raises-20-mn-in-debt-from-responsability-investments/
https://parkmate.in/,$1.20,15/01/2025,Noida,Parking Management,,https://entrackr.com/snippets/cactus-partners-leads-12-mn-round-in-parkmate-8623699
https://www.erlysign.com/,$1.85,15/01/2025,Nagpur,Healthtech,Pre-Series A,https://inc42.com/buzz/erlysign-bags-inr-16-cr-to-develop-cancer-diagnostic-solutions/
https://greenstitch.io/,$1.20,15/01/2025,Bengaluru,SaaS - Fashion,Seed,https://entrackr.com/snippets/greenstitch-bags-12-mn-in-seed-round-8623238
https://www.zerocircle.in/,$2.30,16/01/2025,Pune,Biotech,,https://entrackr.com/snippets/biotech-startup-zerocircle-raises-rs-20-cr-led-by-rainmatter-8626169
https://www.orbitaid.com/,$1.50,15/01/2025,Bengaluru,Spacetech,Pre-Seed,https://entrackr.com/snippets/spacetech-startup-orbitaid-raises-15-mn-led-by-unicorn-india-ventures-8622828
https://kisaansay.com/,$2.00,16/01/2025,Gurugram,D2C Food Brand,Pre-Seed,https://entrackr.com/snippets/kisaansay-raises-2-mn-in-pre-seed-round-led-by-jungle-ventures-8625838
https://www.fambo.in/,$2.50,16/01/2025,Noida,Foodtech,Pre-Series A,https://entrackr.com/snippets/foodtech-startup-fambo-raises-rs-21-cr-in-pre-series-a-funding-8626412
https://motorfloor.com/,,16/01/2025,Bhubaneshwar,Autotech,Pre-Seed,https://entrackr.com/snippets/autotech-startup-motorfloor-raises-pre-seed-round-8626200
https://www.wevois.com/,$4.20,16/01/2025,Jaipur,Waste Management,Series A,https://entrackr.com/snippets/wevois-raises-rs-36-cr-in-series-a-round-from-negen-capital-8626156
https://www.houseofchikankari.in/,$0.46,16/01/2025,Delhi,D2C Clothing Brand,Seed,https://entrackr.com/snippets/house-of-chikankari-bags-rs-4-cr-in-seed-round-8625846
https://www.constelli.com/,$3.00,17/01/2025,Hyderabad,Aerospace,Pre-Series A,https://entrackr.com/snippets/pravega-ventures-leads-3-mn-pre-series-a-round-in-constelli-8629310
https://astrosure.ai/,$6.00,16/01/2025,Chennai,Astrology,Seed,https://entrackr.com/snippets/astrosureai-raises-6-mn-in-seed-round-8626771
https://www.emizainc.com/,$6.00,16/01/2025,Mumbai,Logistics,,https://entrackr.com/exclusive/exclusive-emiza-supply-chain-kicks-off-new-funding-round-8625857
https://sukoonunlimited.com/,$0.43,15/01/2025,Bengaluru,Agetech,Pre-Seed,https://entrackr.com/snippets/agetech-startup-sukoon-unlimited-raises-pre-seed-round-8622991
