Company,Amount ($M),Series,Sector,HQ,Date,Source
https://cloudextel.com/,$24.00,Debt,Network as a Service,Mumbai,24/04/2024,https://economictimes.indiatimes.com/tech/funding/network-as-a-service-provider-cloudextel-raises-rs-200-crore-debt/articleshow/109558788.cms?from=mdr
https://letstransport.in/,$22.00,Series E,Logistics - Truck Aggregator,Bengaluru,24/04/2024,https://entrackr.com/2024/04/letstransport-bags-22-mn-in-series-e-led-by-bertelsmann/
https://www.dhruvaspace.com/,$15.00,Series A,Spacetech,Hyderabad,22/04/2024,https://entrackr.com/2024/04/dhruva-space-raises-15-mn-in-series-a-round/
https://plane.so/,$4.00,Seed,SaaS - Project Management Software,Hyderabad,24/04/2024,https://entrackr.com/2024/04/tech-startup-plane-raises-4-mn-in-seed-round/
https://flashaid.in/,$2.50,Pre-Series A,Healthcare,Mumbai,25/04/2024,https://entrackr.com/2024/04/healthcare-and-insurtech-startup-flashaid-raises-2-5-mn/
https://bobabhai.com/,$1.50,Seed,QSR - Tea,Bengaluru,24/04/2024,https://entrackr.com/2024/04/bubble-tea-brand-boba-bhai-raises-rs-12-5-cr-in-seed-round/
https://adukale.com/,$1.32,Pre-Series A,FMCG,Bengaluru,24/04/2024,https://entrackr.com/2024/04/adukale-raises-rs-11-cr-in-pre-series-a-led-by-force-ventures/
https://karban.in/,$1.07,Seed,Electronics Hardware,Jaipur,24/04/2024,https://entrackr.com/2024/04/karban-raises-seed-round-led-by-all-in-capital-titan-capital-and-rainmatter/
https://bluwheelz.co.in/,$1.00,Bridge Round,Logistics,Delhi,22/04/2024,https://entrackr.com/2024/04/venture-catalysts-leads-1-mn-bridge-round-in-bluwheelz/
https://www.nabhdrishti.in/home,$0.36,Pre-Seed,Spacetech,Bengaluru,23/04/2024,https://entrackr.com/2024/04/nabhdrishti-aerospace-raises-pre-seed-round-led-by-iima-ventures/
https://www.controlone.ai/,$0.35,,Robotics - AI,Bengaluru,25/04/2024,https://entrackr.com/2024/04/ai-startup-control-one-raises-350k-in-pre-seed-round/
