Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.netrasemi.com/,$12.50,Series A,Semiconductor,Thiruvananthapuram,24/07/2025,https://entrackr.com/snippets/semiconductor-startup-netrasemi-raises-rs-107-cr-led-by-zoho-corp-and-unicorn-india-ventures-9530646
https://kluisz.ai/,$9.60,Seed,Cloud Infrastructure Platform,Bengaluru,23/07/2025,https://inc42.com/buzz/former-oyo-executives-ai-cloud-platform-kluisz-ai-bags-9-6-mn/
https://www.edufund.in/,$6.00,Series A,Edtech - Fintech,Ahmedabad,21/07/2025,https://entrackr.com/snippets/edufund-raises-6-mn-series-a-round-led-by-cercano-management-9518911
https://eveez.in/,$5.40,Series A,EV,Delhi-NCR,24/07/2025,https://entrackr.com/snippets/eveez-raises-54-mn-in-series-a-led-by-michael-susan-dell-foundation-9531676
https://www.enliteresearch.com/,$5.32,Series A,Climate Tech,Mumbai,24/07/2025,https://entrackr.com/snippets/enlite-raises-rs-46-cr-in-series-a-round-led-by-avaana-capital-9529908
https://myescplan.com/,$5.00,Seed,Travel Accessories,Bengaluru,22/07/2025,https://inc42.com/buzz/ex-perpule-founders-new-startup-escape-plan-raises-5-mn/
https://ituring.ai/,$5.00,Series A,AI/ML for Banking,Bengaluru,23/07/2025,https://entrackr.com/snippets/ituring-raises-5-mn-in-series-a-round-led-by-dallas-venture-and-mela-ventures-9527330
https://www.sugarcosmetics.com/,$5.00,,Beauty and Personal Care,Mumbai,23/07/2025,https://inc42.com/buzz/exclusive-sugar-cosmetics-mops-up-5-mn-from-anicut-capital-others/
https://www.pristyncare.com/,$4.00,,Healthcare,Gurugram,23/07/2025,https://entrackr.com/exclusive/exclusive-pristyn-care-raises-4-mn-to-scale-in-house-hospitals-preps-for-larger-round-9527708
https://www.hudle.in/,$2.50,Series A,Sports Tech,Delhi,21/07/2025,https://entrackr.com/snippets/hudle-raises-25-mn-in-series-a-round-led-by-sky-impact-capital-9518419
https://grexa.ai/,$1.85,Seed,Marketing Platform,Mumbai,23/07/2025,https://entrackr.com/snippets/marketing-platform-grexa-ai-raises-185-mn-in-seed-round-9526001
https://styleanny.in/,$1.15,Pre-Series A,Fashion Tech,Delhi-NCR,21/07/2025,https://entrackr.com/snippets/anny-raises-rs-10-cr-in-pre-series-a-round-led-by-atomic-capital-9519017
https://ammunicsystems.com/,$1.10,Seed,Defense Tech,Bengaluru,25/07/2025,https://entrackr.com/snippets/defence-tech-startup-ammunic-systems-raises-11-mn-in-seed-round-9536371
https://inboundaerospace.com/,$1.00,Pre-Seed,Spacetech,Chennai,23/07/2025,https://entrackr.com/snippets/space-tech-startup-inbound-aerospace-raises-1-mn-in-seed-funding-round-9526624
https://plenome.com/,$0.75,Seed,Deeptech,Chennai,21/07/2025,https://entrackr.com/snippets/plenome-technologies-raises-rs-65-cr-in-seed-round-9519354
https://bharatsure.com/,$0.69,,Insurtech,Mumbai,24/07/2025,https://entrackr.com/snippets/insurtech-startup-bharatsure-raises-rs-6-cr-led-by-ipv-9530132
https://www.apclub.co.in/,$0.23,Pre-Seed,Fitness,Bengaluru,22/07/2025,https://entrackr.com/snippets/apclub-raises-rs-2-cr-in-pre-seed-round-led-by-curefit-healthcare-9522522
http://magmagroup.in/,,Series A,Industrial Solutions,Ahmedabad,23/07/2025,https://entrackr.com/snippets/gvfl-backs-magma-in-extended-series-a-round-9527285
https://coluxe.com/,,,Jewellery Brand,Delhi,23/07/2025,https://entrackr.com/snippets/coluxe-closes-friends-and-family-round-to-launch-everyday-fine-jewellery-platform-9526895
