Company,Amount ($M),Series,Sector,HQ,Date,Source
https://infra.market/,$125.00,Series F,B2B E-commerce for construction materials,Thane,23/01/2025,https://entrackr.com/news/inframarket-raises-125-mn-led-by-tiger-global-8647119
https://www.namfin.in/,$38.00,Debt,Fintech - NBFC,Jaipur,22/01/2025,https://inc42.com/buzz/namdev-finvest-bags-38-mn-debt-funding-to-diversify-operations/
https://atimotors.com/,$20.00,Series B,Industrial Robotics,Bengaluru,23/01/2025,https://entrackr.com/news/industrial-robotics-startup-ati-motors-raises-20-mn-in-series-b-round-8646163
https://thedeconstruct.in/,$7.52,,D2C Skincare Brand,Bengaluru,22/01/2025,https://entrackr.com/news/deconstruct-raises-rs-65-cr-from-lor%C3%A9als-vc-fund-bold-and-others-8643091
https://vunetsystems.com/,$6.94,Series B,Deeptech,Bengaluru,23/01/2025,https://entrackr.com/snippets/vunet-systems-raises-rs-60-cr-in-series-b-round-8646289
https://medusabeer.com/,$6.46,Series A,Beer Brand,Delhi,24/01/2025,https://entrackr.com/snippets/medusa-beverages-raises-rs-56-cr-in-series-a-funding-8649454
https://www.snabbit.com/,$5.50,Series A,On demand home services,Mumbai,21/01/2025,https://entrackr.com/snippets/quick-service-app-snabbit-raises-55-mn-led-by-elevation-and-nexus-8639619
https://www.landeed.com/,$5.00,,Proptech,Hyderabad,23/01/2025,https://entrackr.com/snippets/y-combinator-backed-landeed-raises-5-mn-8645853
https://www.kisankonnect.in/,$4.50,Series A,D2C - Groceries,Ahmednagar,20/01/2025,https://entrackr.com/snippets/mistry-ventures-leads-45-mn-round-in-kisankonnect-8637095
https://zeelabpharmacy.com/,$2.40,,Healthcare,Delhi,22/01/2025,https://entrackr.com/snippets/otp-ventures-leads-24-mn-round-in-zeelab-pharmacy-8643423
https://procureyard.com/,$1.72,Seed,B2B - Raw Materials Procurement,Gurugram,20/01/2025,https://entrackr.com/snippets/procureyard-raises-172-mn-in-seed-round-8636600
https://workie.in/,$1.50,,Coworking,Indore,22/01/2025,https://entrackr.com/snippets/office-space-management-company-workie-raises-13-cr-8644098
https://www.cancrie.co/,$1.20,Seed,Advanced nanocarbon materials for energy storage,Jaipur,22/01/2025,https://entrackr.com/snippets/cancrie-raises-12-mn-in-seed-funding-round-8644225
https://raaz.app/,$1.00,Seed,Healthtech,Bengaluru,22/01/2025,https://entrackr.com/snippets/healthcare-platform-raaz-app-raises-1-mn-led-by-fireside-ventures-8643414
https://www.postud.io/,$1.00,Pre-Seed,Cloud-based post-production software,Mumbai,21/01/2025,https://entrackr.com/snippets/postudio-raises-1-mn-in-pre-seed-funding-8639868
https://chelviescoffee.com/,$1.00,Pre-Series A,Coffee Brand,Noida,21/01/2025,https://entrackr.com/snippets/chelvies-coffee-raises-1-mn-in-pre-series-a-round-8640133
https://krvvy.com/,$0.70,Pre-Seed,D2C Lingerie Brand,Noida,20/01/2025,https://entrackr.com/snippets/krvvy-raises-rs-61-cr-from-titan-capital-and-all-in-capital-8636581
https://joyspoon.in/,$0.65,Seed,D2C Mouth Freshener,Ahmedabad,21/01/2025,https://entrackr.com/snippets/joyspoon-raises-more-money-in-seed-round-8639852
https://www.prantae.solutions/,$0.58,Seed,Healthtech,Bhubaneshwar,20/01/2025,https://entrackr.com/snippets/prantae-solutions-saises-seed-round-from-ian-group-8637291
https://exsure.in/,$0.35,Seed,Biotech,Bhubaneshwar,22/01/2025,https://entrackr.com/snippets/biotech-startup-exsure-raises-seed-round-led-by-unicorn-india-ventures-8643695
https://www.dreamaerospace.in/,$0.35,Pre-Seed,Aerospace and Defense,Chennai,23/01/2025,https://entrackr.com/snippets/dream-aerospace-raises-rs-3-cr-in-pre-seed-round-8646648
https://www.svastek.com/,$0.23,Seed,Medtech,Delhi,23/01/2025,https://entrackr.com/snippets/ian-group-leads-seed-round-in-medtech-startup-svastek-8647043
