Company,Amount ($M),Date,HQ,Sector,Series,Source
https://thedeconstruct.in/,$7.52,22/01/2025,Bengaluru,D2C Skincare Brand,,https://entrackr.com/news/deconstruct-raises-rs-65-cr-from-lor%C3%A9als-vc-fund-bold-and-others-8643091
https://chelviescoffee.com/,$1.00,21/01/2025,Noida,Coffee Brand,Pre-Series A,https://entrackr.com/snippets/chelvies-coffee-raises-1-mn-in-pre-series-a-round-8640133
https://www.snabbit.com/,$5.50,21/01/2025,Mumbai,On demand home services,Series A,https://entrackr.com/snippets/quick-service-app-snabbit-raises-55-mn-led-by-elevation-and-nexus-8639619
https://www.namfin.in/,$38.00,22/01/2025,Jaipur,Fintech - NBFC,Debt,https://inc42.com/buzz/namdev-finvest-bags-38-mn-debt-funding-to-diversify-operations/
https://joyspoon.in/,$0.65,21/01/2025,Ahmedabad,D2C Mouth Freshener,Seed,https://entrackr.com/snippets/joyspoon-raises-more-money-in-seed-round-8639852
https://procureyard.com/,$1.72,20/01/2025,Gurugram,B2B - Raw Materials Procurement,Seed,https://entrackr.com/snippets/procureyard-raises-172-mn-in-seed-round-8636600
https://zeelabpharmacy.com/,$2.40,22/01/2025,Delhi,Healthcare,,https://entrackr.com/snippets/otp-ventures-leads-24-mn-round-in-zeelab-pharmacy-8643423
https://www.kisankonnect.in/,$4.50,20/01/2025,Ahmednagar,D2C - Groceries,Series A,https://entrackr.com/snippets/mistry-ventures-leads-45-mn-round-in-kisankonnect-8637095
https://www.prantae.solutions/,$0.58,20/01/2025,Bhubaneshwar,Healthtech,Seed,https://entrackr.com/snippets/prantae-solutions-saises-seed-round-from-ian-group-8637291
https://raaz.app/,$1.00,22/01/2025,Bengaluru,Healthtech,Seed,https://entrackr.com/snippets/healthcare-platform-raaz-app-raises-1-mn-led-by-fireside-ventures-8643414
https://www.cancrie.co/,$1.20,22/01/2025,Jaipur,Advanced nanocarbon materials for energy storage,Seed,https://entrackr.com/snippets/cancrie-raises-12-mn-in-seed-funding-round-8644225
https://www.postud.io/,$1.00,21/01/2025,Mumbai,Cloud-based post-production software,Pre-Seed,https://entrackr.com/snippets/postudio-raises-1-mn-in-pre-seed-funding-8639868
https://workie.in/,$1.50,22/01/2025,Indore,Coworking,,https://entrackr.com/snippets/office-space-management-company-workie-raises-13-cr-8644098
https://atimotors.com/,$20.00,23/01/2025,Bengaluru,Industrial Robotics,Series B,https://entrackr.com/news/industrial-robotics-startup-ati-motors-raises-20-mn-in-series-b-round-8646163
https://www.dreamaerospace.in/,$0.35,23/01/2025,Chennai,Aerospace and Defense,Pre-Seed,https://entrackr.com/snippets/dream-aerospace-raises-rs-3-cr-in-pre-seed-round-8646648
https://infra.market/,$125.00,23/01/2025,Thane,B2B E-commerce for construction materials,Series F,https://entrackr.com/news/inframarket-raises-125-mn-led-by-tiger-global-8647119
https://exsure.in/,$0.35,22/01/2025,Bhubaneshwar,Biotech,Seed,https://entrackr.com/snippets/biotech-startup-exsure-raises-seed-round-led-by-unicorn-india-ventures-8643695
https://krvvy.com/,$0.70,20/01/2025,Noida,D2C Lingerie Brand,Pre-Seed,https://entrackr.com/snippets/krvvy-raises-rs-61-cr-from-titan-capital-and-all-in-capital-8636581
https://vunetsystems.com/,$6.94,23/01/2025,Bengaluru,Deeptech,Series B,https://entrackr.com/snippets/vunet-systems-raises-rs-60-cr-in-series-b-round-8646289
https://www.landeed.com/,$5.00,23/01/2025,Hyderabad,Proptech,,https://entrackr.com/snippets/y-combinator-backed-landeed-raises-5-mn-8645853
https://www.svastek.com/,$0.23,23/01/2025,Delhi,Medtech,Seed,https://entrackr.com/snippets/ian-group-leads-seed-round-in-medtech-startup-svastek-8647043
https://medusabeer.com/,$6.46,24/01/2025,Delhi,Beer Brand,Series A,https://entrackr.com/snippets/medusa-beverages-raises-rs-56-cr-in-series-a-funding-8649454
