Company,Amount ($M),Series,Sector,HQ,Date,Source
"https://pharmeasy.in/ ",$216.00,Pre-IPO,Medtech,Mumbai,29/04/2024,https://entrackr.com/2024/04/exclusive-pharmeasy-raises-216-mn-led-by-memg-at-710-mn-valuation/
https://lyskraft.com/,$26.00,Seed,Fashion,Gurugram,26/04/2024,https://entrackr.com/2024/04/lyskraft-founded-by-mohit-gupta-and-mukesh-bansal-bags-26-mn-in-seed-round/
https://www.portea.com/,$20.00,Series E,Healthcare,Bengaluru,29/04/2024,https://entrackr.com/2024/04/exclusive-ipo-bound-portea-medical-raises-20-mn-via-right-issue/
https://chargezone.com/,$19.00,Series B,EV Charging,"Vadodara ",30/04/2024,https://entrackr.com/2024/04/ev-charging-infra-startup-charge-zone-scoops-up-19-mn/
https://www.bankbazaar.com/,$15.60,Series D,Fintech,Chennai,26/04/2024,https://entrackr.com/2024/04/tech-startup-plane-raises-4-mn-in-seed-round/
https://niqorobotics.com/,$9.00,Series B,Agritech Robotics,Bengaluru,01/05/2024,https://entrackr.com/2024/05/exclusive-niqo-robotics-raises-9-mn-in-a-new-round/
Infinity Fincorp,$8.00,Series A,Fintech,Mumbai,02/05/2024,https://inc42.com/buzz/infinity-fincorp-nets-additional-8-mn-to-boost-credit-accessibility-for-micro-entrepreneurs/
https://briskpe.com/,$5.00,Seed,Payments,Mumbai,29/04/2024,https://entrackr.com/2024/04/payu-invests-5-mn-in-cross-border-payments-startup-briskpe/
https://godesi.in/,$4.90,Bridge Round,Food-processing,Bengaluru,02/05/2024,https://inc42.com/buzz/go-desi-bags-inr-41-cr-to-commercialise-age-old-indian-treats/
https://www.cheq.one/,$4.50,Seed,Fintech,Bengaluru,26/04/2024,https://entrackr.com/2024/04/exclusive-creds-competitor-cheq-secures-4-5-mn/
https://www.dexif.in/,$4.00,Seed,Fintech,Noida,02/05/2024,https://entrackr.com/2024/05/fixed-income-startup-dexif-raises-4-mn/
https://www.assertai.com/,$4.00,Series A,SaaS,Mumbai,29/04/2024,https://entrackr.com/2024/04/computer-vision-saas-startup-assert-ai-raises-4-mn/
https://www.damensch.com/,$2.50,Series B,D2C Lifestyle,Bengaluru,02/05/2024,https://entrackr.com/2024/05/exclusive-damensch-raises-fresh-capital-from-existing-investors-at-flat-valuation/
https://thefreshfromfarm.com/,$2.00,Pre-Series A,Agri-produce,Delhi,02/05/2024,https://entrackr.com/2024/05/fresh-from-farm-raises-2-mn-in-pre-series-a-round/
https://matchlog.delivery/,$1.50,Pre-Series A,Logistics,Mumbai,25/04/2024,https://entrackr.com/2024/04/matchlog-solutions-raises-1-5-mn-in-pre-series-a-round/
https://www.reelo.io/,$1.00,Angel,Customer Loyalty & Marketing,Ahmedabad,29/04/2024,https://entrackr.com/2024/04/reelo-raises-1-mn-from-gokul-rajaram/
https://www.pointo.in/,$0.74,Seed,EV-Battery,Kolkata,30/04/2024,https://entrackr.com/2024/04/equirus-innovatex-fund-leads-seed-round-in-pointo/
,,,,,,
