Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.pointo.in/,$0.74,30/04/2024,Kolkata,EV-Battery,Seed,https://entrackr.com/2024/04/equirus-innovatex-fund-leads-seed-round-in-pointo/
https://matchlog.delivery/,$1.50,25/04/2024,Mumbai,Logistics,Pre-Series A,https://entrackr.com/2024/04/matchlog-solutions-raises-1-5-mn-in-pre-series-a-round/
,,,,,,
https://niqorobotics.com/,$9.00,01/05/2024,Bengaluru,Agritech Robotics,Series B,https://entrackr.com/2024/05/exclusive-niqo-robotics-raises-9-mn-in-a-new-round/
"https://pharmeasy.in/ ",$216.00,29/04/2024,Mumbai,Medtech,Pre-IPO,https://entrackr.com/2024/04/exclusive-pharmeasy-raises-216-mn-led-by-memg-at-710-mn-valuation/
https://www.damensch.com/,$2.50,02/05/2024,Bengaluru,D2C Lifestyle,Series B,https://entrackr.com/2024/05/exclusive-damensch-raises-fresh-capital-from-existing-investors-at-flat-valuation/
https://chargezone.com/,$19.00,30/04/2024,"Vadodara ",EV Charging,Series B,https://entrackr.com/2024/04/ev-charging-infra-startup-charge-zone-scoops-up-19-mn/
https://www.assertai.com/,$4.00,29/04/2024,Mumbai,SaaS,Series A,https://entrackr.com/2024/04/computer-vision-saas-startup-assert-ai-raises-4-mn/
Infinity Fincorp,$8.00,02/05/2024,Mumbai,Fintech,Series A,https://inc42.com/buzz/infinity-fincorp-nets-additional-8-mn-to-boost-credit-accessibility-for-micro-entrepreneurs/
https://www.portea.com/,$20.00,29/04/2024,Bengaluru,Healthcare,Series E,https://entrackr.com/2024/04/exclusive-ipo-bound-portea-medical-raises-20-mn-via-right-issue/
https://thefreshfromfarm.com/,$2.00,02/05/2024,Delhi,Agri-produce,Pre-Series A,https://entrackr.com/2024/05/fresh-from-farm-raises-2-mn-in-pre-series-a-round/
https://godesi.in/,$4.90,02/05/2024,Bengaluru,Food-processing,Bridge Round,https://inc42.com/buzz/go-desi-bags-inr-41-cr-to-commercialise-age-old-indian-treats/
https://briskpe.com/,$5.00,29/04/2024,Mumbai,Payments,Seed,https://entrackr.com/2024/04/payu-invests-5-mn-in-cross-border-payments-startup-briskpe/
https://www.bankbazaar.com/,$15.60,26/04/2024,Chennai,Fintech,Series D,https://entrackr.com/2024/04/tech-startup-plane-raises-4-mn-in-seed-round/
https://www.reelo.io/,$1.00,29/04/2024,Ahmedabad,Customer Loyalty & Marketing,Angel,https://entrackr.com/2024/04/reelo-raises-1-mn-from-gokul-rajaram/
https://www.cheq.one/,$4.50,26/04/2024,Bengaluru,Fintech,Seed,https://entrackr.com/2024/04/exclusive-creds-competitor-cheq-secures-4-5-mn/
https://www.dexif.in/,$4.00,02/05/2024,Noida,Fintech,Seed,https://entrackr.com/2024/05/fixed-income-startup-dexif-raises-4-mn/
https://lyskraft.com/,$26.00,26/04/2024,Gurugram,Fashion,Seed,https://entrackr.com/2024/04/lyskraft-founded-by-mohit-gupta-and-mukesh-bansal-bags-26-mn-in-seed-round/
