Company,Amount ($M),Series,Sector,HQ,Date,Source
http://hexahealth.com/,$12.00,Series A,Healthcare,Gurugram,28/04/2025,https://entrackr.com/exclusive/exclusive-hexahealth-secures-fresh-funds-led-by-orios-vp-9009389
https://www.metafin.in/,$10.00,Series A,Fintech - Cleantech focused NBFC,Gurugram,29/04/2025,https://entrackr.com/snippets/metafin-raises-10-mn-in-series-a-round-led-by-vertex-ventures-9013053
https://www.qnulabs.com/,$7.00,Series A,Quantum Cybersecurity,Bengaluru,30/04/2025,https://entrackr.com/snippets/qnu-labs-raises-rs-60-cr-in-series-a-round-led-by-nqm-9016730
https://www.anveshan.farm/,$6.00,Series A,D2C Food Brand,Bengaluru,30/04/2025,https://inc42.com/buzz/d2c-food-brand-anveshan-bags-inr-48-cr-led-by-wipro-consumer-care-ventures/
https://sedna.in/,$5.80,,B2B Restaurant Supplies,Bengaluru,02/05/2025,https://entrackr.com/snippets/sedna-horeca-raises-rs-50-cr-led-by-anicut-capital-9025275
https://www.kaleidofin.com/,$5.30,,Fintech - Neobanking,Chennai,02/05/2025,https://entrackr.com/snippets/neobanking-platform-kaleidofin-raises-53-mn-led-by-idh-farmfit-fund-9025505
https://www.collegedekho.com/,$4.70,Debt,Edtech,Gurugram,29/04/2025,https://entrackr.com/snippets/collegedekho-secures-rs-40-cr-debt-funding-from-recur-club-9013552
https://stimuler.tech/,$3.75,Pre-Series A,Edtech - English Learning,Bengaluru,30/04/2025,https://entrackr.com/snippets/stimuler-raises-375-mn-in-pre-series-a-round-led-by-lightspeed-9016664
https://www.satleolabs.com/,$3.30,Pre-Seed,Spacetech,Ahmedabad,30/04/2025,https://entrackr.com/snippets/satleo-labs-raises-33-mn-in-pre-seed-round-merak-ventures-9016898
https://mugafi.com/,$3.00,Seed,AI Content Creation,Gurugram,28/04/2025,https://inc42.com/buzz/mugafi-nets-3-mn-to-deploy-ai-to-help-filmmakers-write-scripts/
https://www.primebook.in/,$2.00,Pre-Series A,Consumer Electronics - Laptop Brand,Delhi,29/04/2025,https://entrackr.com/snippets/android-laptop-brand-primebook-raises-2-mn-in-pre-series-a-9013913
https://saltoralcare.com/,$1.00,Pre-Series A,Oral Wellness Brand,Mumbai,30/04/2025,https://entrackr.com/snippets/salt-oral-care-raises-1-mn-in-pre-series-a-round-led-by-lotus-holdings-9019477
https://www.carefi.in/,$0.70,Debt,Healthcare-focused fintech,Gurugram,28/04/2025,https://entrackr.com/snippets/carefi-raises-rs-6-cr-debt-round-from-revx-9010019
https://malaki.in/,$0.67,Seed,Beverage Brand,Mumbai,28/04/2025,https://entrackr.com/snippets/malaki-raises-rs-57-cr-in-seed-round-led-by-venture-catalysts-9009681
https://www.uniseoul.in/,$0.59,Seed,Lifestyle Brand,Pune,28/04/2025,https://entrackr.com/snippets/uni-seoul-raises-rs-5-cr-in-seed-round-led-by-sauce-vc-9009267
https://scandalousfoods.in/,$0.24,Seed,B2B Sweets Brand,Mumbai,29/04/2025,https://entrackr.com/snippets/scandalous-foods-raises-funds-in-ongoing-seed-round-led-by-new-age-india-fund-9014552
https://vividobots.com/,$0.17,Seed,Robotics,Chennai,30/04/2025,https://entrackr.com/snippets/vividobots-raises-rs-147-cr-in-seed-round-led-by-ipv-9016984
