Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.qnulabs.com/,$7.00,30/04/2025,Bengaluru,Quantum Cybersecurity,Series A,https://entrackr.com/snippets/qnu-labs-raises-rs-60-cr-in-series-a-round-led-by-nqm-9016730
https://saltoralcare.com/,$1.00,30/04/2025,Mumbai,Oral Wellness Brand,Pre-Series A,https://entrackr.com/snippets/salt-oral-care-raises-1-mn-in-pre-series-a-round-led-by-lotus-holdings-9019477
https://www.uniseoul.in/,$0.59,28/04/2025,Pune,Lifestyle Brand,Seed,https://entrackr.com/snippets/uni-seoul-raises-rs-5-cr-in-seed-round-led-by-sauce-vc-9009267
https://stimuler.tech/,$3.75,30/04/2025,Bengaluru,Edtech - English Learning,Pre-Series A,https://entrackr.com/snippets/stimuler-raises-375-mn-in-pre-series-a-round-led-by-lightspeed-9016664
https://www.collegedekho.com/,$4.70,29/04/2025,Gurugram,Edtech,Debt,https://entrackr.com/snippets/collegedekho-secures-rs-40-cr-debt-funding-from-recur-club-9013552
https://vividobots.com/,$0.17,30/04/2025,Chennai,Robotics,Seed,https://entrackr.com/snippets/vividobots-raises-rs-147-cr-in-seed-round-led-by-ipv-9016984
https://www.metafin.in/,$10.00,29/04/2025,Gurugram,Fintech - Cleantech focused NBFC,Series A,https://entrackr.com/snippets/metafin-raises-10-mn-in-series-a-round-led-by-vertex-ventures-9013053
https://www.carefi.in/,$0.70,28/04/2025,Gurugram,Healthcare-focused fintech,Debt,https://entrackr.com/snippets/carefi-raises-rs-6-cr-debt-round-from-revx-9010019
https://www.satleolabs.com/,$3.30,30/04/2025,Ahmedabad,Spacetech,Pre-Seed,https://entrackr.com/snippets/satleo-labs-raises-33-mn-in-pre-seed-round-merak-ventures-9016898
http://hexahealth.com/,$12.00,28/04/2025,Gurugram,Healthcare,Series A,https://entrackr.com/exclusive/exclusive-hexahealth-secures-fresh-funds-led-by-orios-vp-9009389
https://scandalousfoods.in/,$0.24,29/04/2025,Mumbai,B2B Sweets Brand,Seed,https://entrackr.com/snippets/scandalous-foods-raises-funds-in-ongoing-seed-round-led-by-new-age-india-fund-9014552
https://www.anveshan.farm/,$6.00,30/04/2025,Bengaluru,D2C Food Brand,Series A,https://inc42.com/buzz/d2c-food-brand-anveshan-bags-inr-48-cr-led-by-wipro-consumer-care-ventures/
https://malaki.in/,$0.67,28/04/2025,Mumbai,Beverage Brand,Seed,https://entrackr.com/snippets/malaki-raises-rs-57-cr-in-seed-round-led-by-venture-catalysts-9009681
https://sedna.in/,$5.80,02/05/2025,Bengaluru,B2B Restaurant Supplies,,https://entrackr.com/snippets/sedna-horeca-raises-rs-50-cr-led-by-anicut-capital-9025275
https://mugafi.com/,$3.00,28/04/2025,Gurugram,AI Content Creation,Seed,https://inc42.com/buzz/mugafi-nets-3-mn-to-deploy-ai-to-help-filmmakers-write-scripts/
https://www.primebook.in/,$2.00,29/04/2025,Delhi,Consumer Electronics - Laptop Brand,Pre-Series A,https://entrackr.com/snippets/android-laptop-brand-primebook-raises-2-mn-in-pre-series-a-9013913
https://www.kaleidofin.com/,$5.30,02/05/2025,Chennai,Fintech - Neobanking,,https://entrackr.com/snippets/neobanking-platform-kaleidofin-raises-53-mn-led-by-idh-farmfit-fund-9025505
