Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.rapido.bike/,$120.00,Series E,Mobility,Bengaluru,29/07/2024,https://entrackr.com/2024/07/rapido-joins-unicorn-club-with-120-mn-round-led-by-westbridge/
https://m2pfintech.com/,$80.00,,Fintech,Chennai,29/07/2024,https://entrackr.com/2024/07/exclusive-m2p-fintech-to-raise-80-mn-at-900-mn-valuation/
https://neoassetmanagement.com/,$26.50,Series B,Fintech - Wealth Management,Mumbai,03/08/2024,https://entrackr.com/2024/08/exclusive-neo-kicks-off-series-b-with-26-5-mn/
https://vayana.com/,$20.50,Series D,Fintech,Pune,29/07/2024,https://entrackr.com/2024/07/payu-backed-vayana-network-raises-20-mn-in-series-d/
https://www.simpleenergy.in/,$20.00,Series A,EV,Bengaluru,29/07/2024,https://entrackr.com/2024/07/ev-scooter-maker-simple-energy-raises-20-mn-in-series-a/
https://sharechat.com/,$16.00,Debt,Social Media,Bengaluru,03/08/2024,https://entrackr.com/2024/08/sharechat-raises-16-mn-additional-debt-lays-off-5-employees/
https://bharatpe.com/,$10.00,Debt,Fintech,Gurugram,31/07/2024,https://entrackr.com/2024/07/exclusive-bharatpe-receives-10-mn-debt-from-trifecta-and-innoven/
https://www.meragi.com/,$9.10,Series A,Wedding Services,Bengaluru,30/07/2024,https://entrackr.com/2024/07/wedding-services-startup-meragi-raises-9-1-mn-led-by-accel/
https://countrydelight.in/,$8.45,Debt,E-Commerce - Dairy Brand,Gurugram,04/08/2024,https://entrackr.com/2024/08/exclusive-alteria-infuses-rs-70-cr-debt-in-country-delight/
https://www.galaxeye.space/,$6.50,,Spacetech,Bengaluru,01/08/2024,https://entrackr.com/2024/08/galaxeye-space-raises-6-5-mn-led-by-mela-ventures-and-speciale-invest/
https://www.gnani.ai/,$4.00,Series A,Conversational AI,Bengaluru,30/07/2024,https://entrackr.com/2024/07/gnani-ai-raises-4-mn-in-series-a-round-from-info-edge-ventures/
https://electricpe.com/,$3.00,Pre-Series A,EV Charging,Bengaluru,30/07/2024,https://entrackr.com/2024/07/gfc-leads-3-mn-round-in-ev-charging-startup-electricpe/
https://moxiebeauty.in/,$2.10,Seed,D2C Haircare Brand,Gurugram,29/07/2024,https://entrackr.com/2024/07/moxie-beauty-raises-rs-17-3-cr-led-by-fireside-ventures/
https://lbbrewers.com/,$1.50,Pre-Series A,Beverages,Goa,29/07/2024,https://entrackr.com/2024/07/beverage-startup-lb-brewers-raises-1-5-mn-in-pre-series-a-round/
https://www.nected.ai/,$1.50,Seed,Low-code platform,Gurugram,31/07/2024,https://entrackr.com/2024/07/nected-raises-1-5-mn-led-by-binny-bansals-three-state-ventures/
https://lyfas.com/,$1.50,,Healthcare,Bengaluru,01/08/2024,https://entrackr.com/2024/08/deeptech-startup-acculi-labs-raises-1-5-mn/
https://www.emomee.com/,$1.00,Pre-Seed,Edtech,Mumbai,29/07/2024,https://entrackr.com/2024/07/edutainment-startup-emomee-raises-1-mn-in-pre-seed-funding/
https://toystack.ai/,$0.33,Pre-Seed,Deployment Platform,Bengaluru,29/07/2024,https://entrackr.com/2024/07/toystack-ai-raises-325k-in-pre-seed-round/
https://www.bloq.in/,$0.16,Pre-Seed,AI,Kollam,01/08/2024,https://entrackr.com/2024/08/ipv-leads-pre-seed-round-in-bloq-quantum/
